hour,gti_interval_count,gti_duration_seconds,histogram_counts_before,histogram_counts_after,histogram_retained_fraction,log_path
20220102_07,2,3496.76734961104,104062210.0,100460422.0,0.965388126967513,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.30
20220102_08,1,3544.79674233589,102797011.0,101640388.0,0.988748476354045,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.31
20220102_09,1,3594.3758808542,104003224.0,102861505.0,0.9890222730018446,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.32
20220102_10,2,3477.1519246744,102690873.0,99241153.0,0.9664067516496817,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.33
20220102_11,1,3547.32685962226,102483069.0,101193005.0,0.9874119304526292,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.34
20220102_12,1,3573.92872888595,103533195.0,102379591.0,0.9888576412618194,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.35
20220102_13,2,3465.63153415918,103223536.0,99768229.0,0.966525977176368,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.36
20220102_14,2,52.6100608985871,104248449.0,1452931.0,0.013937195362973697,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.37
20220102_16,2,969.295270554721,105343819.0,28203400.0,0.26772714590876945,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.38
20220102_17,1,3551.41460462473,104318660.0,103184491.0,0.9891278415577808,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.39
20220102_18,1,3584.03733680025,105554684.0,104324784.0,0.9883482195825626,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.40
20220102_19,2,3457.3067974532,103502692.0,100075399.0,0.9668869192310476,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.41
20220102_20,1,3586.09728652518,104821534.0,103667746.0,0.9889928342395753,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.42
20220102_21,1,3563.45273775514,103877449.0,102736086.0,0.989012408265821,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.43
20220102_22,1,3560.6712262379,103814492.0,102715275.0,0.9894117191268441,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.44
20220102_23,1,3558.43724494334,103806576.0,102778285.0,0.9900941632059996,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.45
20220103_00,1,3545.97456925549,103693800.0,102605884.0,0.9895083794788117,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.46
20220103_01,1,3587.1147504542,104961045.0,103825697.0,0.9891831488529864,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.47
20220103_02,1,3541.43065405078,103754968.0,102586679.0,0.9887399223138886,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.48
20220103_03,1,3577.87858864758,104942297.0,103778836.0,0.9889133263397122,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.49
20220103_04,1,3569.16700657457,104840939.0,103724627.0,0.9893523273384646,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.50
20220103_05,1,3561.33104588371,104831696.0,103704019.0,0.9892429766661411,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.51
20220103_06,1,3553.51035052445,104752107.0,103576700.0,0.9887791564899024,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.52
20220103_07,1,3555.73894497938,104695963.0,103510943.0,0.9886813209789187,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.53
20220103_08,1,3556.19797362015,104623071.0,103417986.0,0.9884816514323117,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.54
20220103_09,1,3557.33435852453,104524223.0,103327137.0,0.9885472863070218,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.55
20220103_10,1,3564.67741867527,104524952.0,103345584.0,0.9887168759474771,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.56
20220103_11,1,3554.39463523217,104253171.0,103057795.0,0.9885339123162019,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.57
20220103_12,2,3471.42669232562,104337859.0,100714794.0,0.9652756436184875,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.58
20220103_13,1,3489.13320587017,105340583.0,101701430.0,0.9654534568125562,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.59
20220103_16,1,1167.16122420039,105048714.0,34246424.0,0.32600517127701345,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.60
20220103_17,1,3591.0750312265,106497328.0,105299290.0,0.9887505346613016,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.61
20220103_18,1,3553.53393845726,105428870.0,104252094.0,0.9888381996316569,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.62
20220103_19,1,3567.45711970143,105639002.0,104445049.0,0.9886978012155019,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.63
20220103_20,1,3523.252207716,104469761.0,103259962.0,0.9884196250817497,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.64
20220103_21,1,3561.51531804353,105723462.0,104535435.0,0.988762882168955,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.65
20220103_22,1,3565.14197057113,105776432.0,104618865.0,0.9890564752647357,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.66
20220103_23,1,3562.53404743038,105816018.0,104717626.0,0.989619794613704,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.67
20220104_00,1,3561.03736914229,105789482.0,104641536.0,0.9891487700072111,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.68
20220104_01,1,3559.71112030093,105810537.0,104633239.0,0.9888735277848557,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.69
20220104_02,1,3570.48625610769,106739449.0,105555975.0,0.9889124966346791,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.70
20220104_03,1,3572.09738194942,106776721.0,105620605.0,0.9891725837881836,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.71
20220104_04,1,3564.63834664319,106736172.0,105645757.0,0.9897840162377193,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.72
20220104_05,1,3546.23047588393,106428659.0,105351006.0,0.9898744096738079,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.73
20220104_06,1,3557.39528029226,106547088.0,105422166.0,0.9894420202267752,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.74
20220104_07,1,3566.25243653543,106734226.0,105574856.0,0.9891377860368801,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.75
20220104_08,2,3499.88888958469,106933496.0,103421238.0,0.9671547444778201,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.76
20220104_09,1,3541.98362203315,105651375.0,104479339.0,0.9889065712585378,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.77
20220104_10,1,3587.88626419846,106799036.0,105554507.0,0.9883470015590777,/home/lhaaso/liushijie/energy/pass5_crab_v6_125d_covariance/run_gti_hour.sh.out.79724879.78
