grouping,group_label,cell_ids,n_cells,is_single_cell_point,N0,N0_err,effective_energy_tev,true_energy_p16_tev,true_energy_p84_tev,E2_dnde,E2_dnde_err,chi2,ndof,chi2_over_ndof,ratio_to_stage_f_pl,ratio_to_stage_f_pl_err,ratio_to_full_array_pl_ref,ratio_to_full_array_pl_ref_err,observed_excess_total,model_counts_total,expected_stage_f_counts_total
nhit,"[300,500)",8;9,2,False,2.5807117337056486e-12,9.499581235728284e-14,1.4354825279892494,0.905327889641396,2.2224817230700333,4.341074057786444e-11,1.597946222495787e-12,0.024533607064879275,1,0.024533607064879275,0.9926158504977242,0.0365381177003249,1.3720331203026783,0.05050443997365749,2309.837837837838,2309.3420027612337,2326.521384484509
nhit,"[500,800)",10;11;12,3,False,2.6364895610233263e-12,1.0919366963221952e-13,2.6647370957183143,1.7127798796201301,4.212172117211132,2.6238360631306335e-11,1.0866960843773849e-12,2.801701328925453,2,1.4008506644627265,1.0140696048162474,0.041999021368930446,1.2707995503619882,0.05263182844431234,1226.8335704125177,1226.994964437876,1209.9711485388727
nhit,"[800,1100)",13;14;15,3,False,2.5317834488207837e-12,1.8752242330859205e-13,5.120209989016864,3.479266313777226,7.721511863087803,1.4477135600443768e-11,1.0722826834288522e-12,14.116474826605243,2,7.0582374133026216,0.9737966269168529,0.07212650962476032,1.1003479714271636,0.0814998289766137,369.46941678520625,338.0361382591715,347.1321720731681
nhit,"[1100,2000)",16;17;18,3,False,2.648981524044562e-12,2.2060163962987699e-13,10.71578182409885,7.055832909536405,17.217810019753077,8.094684550392776e-12,6.741083952057193e-13,0.5533567436041518,2,0.2766783718020759,1.0188743725618126,0.08484972625283473,1.02413034872406,0.08528743295207852,212.13513513513513,213.07170651724022,209.12461070298798
predE,"[3,3.25)",8,1,True,2.5703695497391193e-12,1.15689107884186e-13,1.267633590265175,0.8486243835410568,1.8251149113376655,4.804787763204633e-11,2.1625746770709097e-12,0.0,0,,0.9886379495179816,0.04449735346880168,1.393730263380503,0.06273005016654008,1510.7027027027027,1510.7027027027027,1528.064650400339
predE,"[3.25,3.5)",9;10,2,False,2.709716906660359e-12,1.0792197352119135e-13,2.0897223123830195,1.378746925467684,2.9952485701709977,3.3143930574671124e-11,1.320048743496364e-12,0.7210557395021769,1,0.7210557395021769,1.042234945028354,0.04150989052167758,1.3573878968275614,0.0540617288467807,1570.5135135135135,1581.960818723343,1517.8543247562152
predE,"[3.5,3.75)",11;13,2,False,2.4365466469290074e-12,1.4077805398686393e-13,3.798273110359549,2.58980472632576,5.458365692589798,1.795059190253626e-11,1.037143860609635e-12,0.026435182529961063,1,0.026435182529961063,0.9371658177203726,0.05414728269124992,1.1102788982719056,0.06414935781278816,573.1081081081081,573.5322846281517,611.9859194429985
predE,"[3.75,4.0)",12;14;16,3,False,2.488006255586099e-12,2.0544266320776237e-13,6.874941586082702,4.177753882459111,10.111210729899835,1.1079476917319352e-11,9.148679750030665e-13,0.3420997075431427,2,0.17104985377157134,0.9569586611233412,0.07901914855700422,1.031985790433207,0.08521437946675166,296.29302987197724,300.2805426668638,313.7863262707448
predE,"[4.0,4.25)",15;17,2,False,3.209775969560662e-12,3.7579653299722163e-13,12.224129833050712,8.164330874323186,17.527920530677743,8.77138606037837e-12,1.0269428465817586e-12,11.148316174613758,1,11.148316174613758,1.2345720222528391,0.14454213941962082,1.215311077051974,0.14228709218349692,143.09103840682786,114.56232854126799,92.79517636582705
predE,"[4.25,4.5)",18,1,True,2.2599739985355284e-12,7.326506953683238e-13,19.44726060981309,13.174917901710566,27.33947426477555,4.164961238197662e-12,1.3502198473632842e-12,0.0,0,,0.8692509060041153,0.28179849907394794,0.7949908412009453,0.2577244662968474,24.56756756756757,24.56756756756757,28.26291856341334
