grouping,group_label,cell_ids,n_cells,is_single_cell_point,N0,N0_err,effective_energy_tev,true_energy_p16_tev,true_energy_p84_tev,E2_dnde,E2_dnde_err,chi2,ndof,chi2_over_ndof,ratio_to_stage_f_pl,ratio_to_stage_f_pl_err,ratio_to_stage_f_model,ratio_to_stage_f_model_err,ratio_to_full_array_pl_ref,ratio_to_full_array_pl_ref_err,observed_excess_total,model_counts_total,expected_stage_f_counts_total
nhit,"[125,200)",1;2;3;4;5;6;7;8;9;10;11,11,False,3.866505657432291e-12,2.1380852963229668e-13,0.5894157019839374,0.2937458534358482,1.198619091486199,8.094062700328883e-11,4.475823386892952e-12,322.07669752395987,10,32.20766975239599,1.145341232489358,0.0633346350793696,1.145341232489358,0.0633346350793696,1.3841921437792983,0.07654252009722064,8565.23571229654,6992.507262482487,6105.173780642231
nhit,"[200,300)",13;14;15;16;17;18;19;20;21;22;23,11,False,3.640045238475648e-12,1.3546782722046509e-13,0.8637709620835279,0.4562920908782684,1.6760592632197953,6.627671768907564e-11,2.46655257075957e-12,196.7620990149116,10,19.67620990149116,1.0782588386334788,0.04012845239036352,1.0782588386334788,0.04012845239036352,1.4754172881180718,0.05490909073112699,6150.82884266883,4995.043191984229,4632.5084599488655
nhit,"[300,500)",26;27;28;29;30;31;32;33;34;35,10,False,3.3745414541656185e-12,9.492637344691858e-14,1.3852803251882457,0.7902488994471919,2.4788180351462943,4.9197209951842844e-11,1.383925131122686e-12,120.87153887345842,9,13.430170985939824,0.9996109693441366,0.028119211296238157,0.9996109693441366,0.028119211296238157,1.5171911662929343,0.042678822352028106,4379.064607060864,3880.064784275664,3881.5748358798483
nhit,"[500,800)",39;40;41;42;43;44;45;46;47,9,False,3.2480267808254877e-12,1.1087200816929777e-13,2.4535934800578807,1.5000959483125984,4.111383951925847,3.3614826112857913e-11,1.1474484438970978e-12,224.33520844483184,8,28.04190105560398,0.9621346316041831,0.03284264753139507,0.9621346316041831,0.03284264753139507,1.5379191721543597,0.052497161669178734,2991.3483569104874,1884.281916808976,1958.438928310149
nhit,"[800,1100)",51;52;53;54;55;56;57;58;59,9,False,3.1620155943982915e-12,1.7371831264887194e-13,4.3766160157218295,2.8726574067639197,6.917800075859035,2.130744226463445e-11,1.1706118475927132e-12,93.60143346824266,8,11.700179183530333,0.9366562883665275,0.05145905992217338,0.9366562883665275,0.05145905992217338,1.453301391598399,0.07984308045981463,1012.1193058759001,630.5197714200162,673.160239514972
nhit,"[1100,2000)",64;65;66;67;68;69;70,7,False,3.030097281759121e-12,2.2067473897666195e-13,8.533303334337903,5.410232066328992,14.691352024319558,1.123092853048332e-11,8.179216676802962e-13,21.647900442834167,6,3.6079834071390278,0.8975792777081743,0.06536855236018065,0.8975792777081743,0.06536855236018065,1.2142982307226573,0.08843443631914616,411.636367221931,344.4373773181185,383.7403401263725
nhit,"[2000,3000)",79;80;81;82;83,5,False,2.40031722382152e-12,1.5692430179241991e-12,32.45936877551735,18.17266905224625,59.35776471256352,1.933161355496336e-12,1.2638329340501679e-12,5.160441976067572,4,1.290110494016893,0.711025026489391,0.46484316627593,0.711025026489391,0.46484316627593,0.5254502403370983,0.34352089496021354,20.060043670504946,11.81805569493881,16.62115291959438
predE,"[2,2.5)",1;13,2,False,3.78413845006003e-12,4.257680047151669e-13,0.32512492604082355,0.1918704325499762,0.5439130502453945,9.161734553910198e-11,1.0308220727723278e-11,3.263335747287163,1,3.263335747287163,1.1209423133704604,0.1261215408640699,1.1209423133704604,0.1261215408640699,1.039276794663317,0.11693303853709557,1548.5239372400856,1692.4075518489333,1509.8078925758327
predE,"[2.5,3)",2;14;26,3,False,3.0676881189921896e-12,1.091219070961384e-13,0.6726339589703926,0.4001651615234862,1.075555416572851,6.144553202833874e-11,2.1857025151800475e-12,3.314477405671017,2,1.6572387028355084,0.9087144834110471,0.0323242303615507,0.9087144834110471,0.0323242303615507,1.1510561658307954,0.040944659012953966,7152.813151681469,6848.168140835537,7536.1054168846595
predE,"[3,3.25)",3;15;27;39;51,5,False,3.971957539673222e-12,1.239939113419962e-13,1.3084677888531375,0.8502436474169908,1.911242706962576,5.965654102646134e-11,1.862317959122436e-12,200.33717611150752,4,50.08429402787688,1.1765783234120075,0.03672963440894825,1.1765783234120075,0.03672963440894825,1.768737588294099,0.05521526590343103,5446.686540228075,4278.706135553955,3636.567196942708
predE,"[3.25,3.5)",4;16;28;40;52;64,6,False,3.2969722359731994e-12,1.1388952117979802e-13,2.2067889005787817,1.4264194003272548,3.2369893115582196,3.6582310734851857e-11,1.263687272760137e-12,86.68246702455801,5,17.3364934049116,0.9766333166936189,0.03373649908023625,0.9766333166936189,0.03373649908023625,1.5556250286493063,0.05373699775663481,3197.962757819149,2491.4321710047825,2551.0415510290986
predE,"[3.5,3.75)",5;17;29;41;53;65,6,False,3.0588371521156944e-12,1.3142592277277765e-13,3.8009320092022283,2.431428638458702,5.712140695744546,2.3059139671182217e-11,9.907584349612547e-13,104.1002685724962,5,20.82005371449924,0.9060926387251197,0.03893115430473422,0.9060926387251197,0.03893115430473422,1.4269413114869265,0.06130992572620407,2386.843578363345,1280.4320782399245,1413.1359460568003
