scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
month,202201,,40,"[500,800)","[3.25,3.5)",246761
month,202201,,41,"[500,800)","[3.5,3.75)",143750
month,202201,,42,"[500,800)","[3.75,4.0)",46219
month,202201,,43,"[500,800)","[4.0,4.25)",13587
month,202201,,44,"[500,800)","[4.25,4.5)",3358
month,202201,,45,"[500,800)","[4.5,4.75)",1307
month,202201,,46,"[500,800)","[4.75,5.0)",541
month,202201,,47,"[500,800)","[5,6)",293
month,202201,,48,"[500,800)",>=6,0
month,202201,,49,"[800,1100)","[2,2.5)",0
month,202201,,50,"[800,1100)","[2.5,3)",3
month,202201,,51,"[800,1100)","[3,3.25)",1221
month,202201,,52,"[800,1100)","[3.25,3.5)",27748
month,202201,,53,"[800,1100)","[3.5,3.75)",63493
month,202201,,54,"[800,1100)","[3.75,4.0)",37929
month,202201,,55,"[800,1100)","[4.0,4.25)",11876
month,202201,,56,"[800,1100)","[4.25,4.5)",2776
month,202201,,57,"[800,1100)","[4.5,4.75)",432
month,202201,,58,"[800,1100)","[4.75,5.0)",75
month,202201,,59,"[800,1100)","[5,6)",15
month,202201,,60,"[800,1100)",>=6,0
month,202201,,61,"[1100,2000)","[2,2.5)",0
month,202201,,62,"[1100,2000)","[2.5,3)",0
month,202201,,63,"[1100,2000)","[3,3.25)",6
month,202201,,64,"[1100,2000)","[3.25,3.5)",792
month,202201,,65,"[1100,2000)","[3.5,3.75)",11159
month,202201,,66,"[1100,2000)","[3.75,4.0)",26355
month,202201,,67,"[1100,2000)","[4.0,4.25)",23691
month,202201,,68,"[1100,2000)","[4.25,4.5)",12858
month,202201,,69,"[1100,2000)","[4.5,4.75)",5068
month,202201,,70,"[1100,2000)","[4.75,5.0)",1939
month,202201,,71,"[1100,2000)","[5,6)",850
month,202201,,72,"[1100,2000)",>=6,0
month,202201,,73,"[2000,3000)","[2,2.5)",0
month,202201,,74,"[2000,3000)","[2.5,3)",0
month,202201,,75,"[2000,3000)","[3,3.25)",0
month,202201,,76,"[2000,3000)","[3.25,3.5)",0
month,202201,,77,"[2000,3000)","[3.5,3.75)",0
month,202201,,78,"[2000,3000)","[3.75,4.0)",3
month,202201,,79,"[2000,3000)","[4.0,4.25)",150
month,202201,,80,"[2000,3000)","[4.25,4.5)",781
month,202201,,81,"[2000,3000)","[4.5,4.75)",2828
month,202201,,82,"[2000,3000)","[4.75,5.0)",5885
month,202201,,83,"[2000,3000)","[5,6)",10573
month,202201,,84,"[2000,3000)",>=6,7
month,202202,,1,"[125,200)","[2,2.5)",1912682
month,202202,,2,"[125,200)","[2.5,3)",4446457
month,202202,,3,"[125,200)","[3,3.25)",1039596
month,202202,,4,"[125,200)","[3.25,3.5)",493401
month,202202,,5,"[125,200)","[3.5,3.75)",239754
month,202202,,6,"[125,200)","[3.75,4.0)",109348
month,202202,,7,"[125,200)","[4.0,4.25)",45828
month,202202,,8,"[125,200)","[4.25,4.5)",18139
month,202202,,9,"[125,200)","[4.5,4.75)",7571
month,202202,,10,"[125,200)","[4.75,5.0)",3467
month,202202,,11,"[125,200)","[5,6)",2706
month,202202,,12,"[125,200)",>=6,24
month,202202,,13,"[200,300)","[2,2.5)",97543
month,202202,,14,"[200,300)","[2.5,3)",1601227
month,202202,,15,"[200,300)","[3,3.25)",750458
month,202202,,16,"[200,300)","[3.25,3.5)",354660
month,202202,,17,"[200,300)","[3.5,3.75)",168669
month,202202,,18,"[200,300)","[3.75,4.0)",80007
month,202202,,19,"[200,300)","[4.0,4.25)",33396
month,202202,,20,"[200,300)","[4.25,4.5)",12738
month,202202,,21,"[200,300)","[4.5,4.75)",4548
month,202202,,22,"[200,300)","[4.75,5.0)",1625
month,202202,,23,"[200,300)","[5,6)",979
month,202202,,24,"[200,300)",>=6,1
month,202202,,25,"[300,500)","[2,2.5)",505
month,202202,,26,"[300,500)","[2.5,3)",332453
month,202202,,27,"[300,500)","[3,3.25)",574449
month,202202,,28,"[300,500)","[3.25,3.5)",378246
month,202202,,29,"[300,500)","[3.5,3.75)",151274
month,202202,,30,"[300,500)","[3.75,4.0)",64745
month,202202,,31,"[300,500)","[4.0,4.25)",25430
month,202202,,32,"[300,500)","[4.25,4.5)",9979
month,202202,,33,"[300,500)","[4.5,4.75)",3968
month,202202,,34,"[300,500)","[4.75,5.0)",1417
month,202202,,35,"[300,500)","[5,6)",777
month,202202,,36,"[300,500)",>=6,0
month,202202,,37,"[500,800)","[2,2.5)",0
month,202202,,38,"[500,800)","[2.5,3)",2037
month,202202,,39,"[500,800)","[3,3.25)",79880
month,202202,,40,"[500,800)","[3.25,3.5)",230372
month,202202,,41,"[500,800)","[3.5,3.75)",136600
