cell_id,nhit_bin,predE_bin,rho_bin_low_deg,rho_bin_high_deg,rho_bin_center_deg,count,annulus_area_sqdeg,density_per_sqdeg,cumulative_count_within_12deg,cumulative_fraction_within_12deg
1,"[125,200)","[2,2.5)",5.5,5.6,5.55,31737,3.48716784548,9101.08185389,987077,0.615624925937
1,"[125,200)","[2,2.5)",5.6,5.7,5.65,32029,3.54999969856,9022.25428724,1019106,0.635600926546
1,"[125,200)","[2,2.5)",5.7,5.8,5.75,32510,3.61283155163,8998.48208681,1051616,0.655876919546
1,"[125,200)","[2,2.5)",5.8,5.9,5.85,32262,3.6756634047,8777.19106672,1083878,0.675998238714
1,"[125,200)","[2,2.5)",5.9,6,5.95,32181,3.73849525777,8608.00877923,1116059,0.696069039413
1,"[125,200)","[2,2.5)",6,6.1,6.05,32025,3.80132711084,8424.689343,1148084,0.716042545283
1,"[125,200)","[2,2.5)",6.1,6.2,6.15,31957,3.86415896392,8270.1049047,1180041,0.735973640585
1,"[125,200)","[2,2.5)",6.2,6.3,6.25,31429,3.92699081699,8003.3291303,1211470,0.755575430311
1,"[125,200)","[2,2.5)",6.3,6.4,6.35,30850,3.98982267006,7732.1732195,1242320,0.774816106535
1,"[125,200)","[2,2.5)",6.4,6.5,6.45,29975,4.05265452313,7396.3866964,1272295,0.793511058555
1,"[125,200)","[2,2.5)",6.5,6.6,6.55,28836,4.1154863762,7006.70525038,1301131,0.811495633583
1,"[125,200)","[2,2.5)",6.6,6.7,6.65,27638,4.17831822927,6614.62303334,1328769,0.828733034214
1,"[125,200)","[2,2.5)",6.7,6.8,6.75,26076,4.24115008235,6148.33229047,1354845,0.844996239181
1,"[125,200)","[2,2.5)",6.8,6.9,6.85,24126,4.30398193542,5605.50679859,1378971,0.860043258778
1,"[125,200)","[2,2.5)",6.9,7,6.95,22026,4.36681378849,5043.95219646,1400997,0.873780540286
1,"[125,200)","[2,2.5)",7,7.1,7.05,20093,4.42964564156,4536.02875397,1421090,0.886312239066
1,"[125,200)","[2,2.5)",7.1,7.2,7.15,18150,4.49247749463,4040.08701695,1439240,0.897632118271
1,"[125,200)","[2,2.5)",7.2,7.3,7.25,15991,4.55530934771,3510.40923446,1455231,0.907605461982
1,"[125,200)","[2,2.5)",7.3,7.4,7.35,14058,4.61814120078,3044.08189114,1469289,0.916373222966
1,"[125,200)","[2,2.5)",7.4,7.5,7.45,12606,4.68097305385,2693.02981559,1481895,0.924235393614
1,"[125,200)","[2,2.5)",7.5,7.6,7.55,11030,4.74380490692,2325.13777789,1492925,0.931114637009
1,"[125,200)","[2,2.5)",7.6,7.7,7.65,9850,4.80663675999,2049.24992086,1502775,0.937257932335
1,"[125,200)","[2,2.5)",7.7,7.8,7.75,8508,4.86946861306,1747.21323332,1511283,0.942564242653
1,"[125,200)","[2,2.5)",7.8,7.9,7.85,7689,4.93230046614,1558.9074617,1518972,0.947359755116
1,"[125,200)","[2,2.5)",7.9,8,7.95,6860,4.99513231921,1373.33699322,1525832,0.951638232876
1,"[125,200)","[2,2.5)",8,8.1,8.05,6232,5.05796417228,1232.11627994,1532064,0.955525036579
1,"[125,200)","[2,2.5)",8.1,8.2,8.15,5452,5.12079602535,1064.67822054,1537516,0.958925366134
1,"[125,200)","[2,2.5)",8.2,8.3,8.25,5065,5.18362787842,977.114893043,1542581,0.96208432967
1,"[125,200)","[2,2.5)",8.3,8.4,8.35,4402,5.24645973149,839.041987414,1546983,0.96482979018
1,"[125,200)","[2,2.5)",8.4,8.5,8.45,4106,5.30929158457,773.361179095,1551089,0.967390639988
1,"[125,200)","[2,2.5)",8.5,8.6,8.55,3657,5.37212343764,680.736405716,1554746,0.969671455319
1,"[125,200)","[2,2.5)",8.6,8.7,8.65,3265,5.43495529071,600.740912364,1558011,0.971707786206
1,"[125,200)","[2,2.5)",8.7,8.8,8.75,3066,5.49778714378,557.678920594,1561077,0.973620003817
1,"[125,200)","[2,2.5)",8.8,8.9,8.85,2862,5.56061899685,514.690900711,1563939,0.975404989728
1,"[125,200)","[2,2.5)",8.9,9,8.95,2505,5.62345084993,445.456013905,1566444,0.976967320164
1,"[125,200)","[2,2.5)",9,9.1,9.05,2382,5.686282703,418.90284469,1568826,0.978452937368
1,"[125,200)","[2,2.5)",9.1,9.2,9.15,2146,5.74911455607,373.274871995,1570972,0.979791364959
1,"[125,200)","[2,2.5)",9.2,9.3,9.25,1927,5.81194640914,331.558459825,1572899,0.980993205578
1,"[125,200)","[2,2.5)",9.3,9.4,9.35,1939,5.87477826221,330.055010326,1574838,0.982202530414
1,"[125,200)","[2,2.5)",9.4,9.5,9.45,1745,5.93761011528,293.88928645,1576583,0.983290860398
1,"[125,200)","[2,2.5)",9.5,9.6,9.55,1681,6.00044196836,280.14603072,1578264,0.984339274555
1,"[125,200)","[2,2.5)",9.6,9.7,9.65,1527,6.06327382143,251.84414311,1579791,0.985291641252
1,"[125,200)","[2,2.5)",9.7,9.8,9.75,1386,6.1261056745,226.244872949,1581177,0.986156068391
1,"[125,200)","[2,2.5)",9.8,9.9,9.85,1415,6.18893752757,228.633750736,1582592,0.987038582389
1,"[125,200)","[2,2.5)",9.9,10,9.95,1395,6.25176938064,223.136829762,1583987,0.987908622692
1,"[125,200)","[2,2.5)",10,10.1,10.05,1247,6.31460123372,197.478819936,1585234,0.988686357643
1,"[125,200)","[2,2.5)",10.1,10.2,10.15,1226,6.37743308679,192.240354907,1586460,0.989450995214
1,"[125,200)","[2,2.5)",10.2,10.3,10.25,1222,6.44026493986,189.743746789,1587682,0.990213138045
1,"[125,200)","[2,2.5)",10.3,10.4,10.35,1119,6.50309679293,172.071866009,1588801,0.990911041342
1,"[125,200)","[2,2.5)",10.4,10.5,10.45,1115,6.565928646,169.816039758,1589916,0.991606449899
1,"[125,200)","[2,2.5)",10.5,10.6,10.55,1018,6.62876049907,153.573205751,1590934,0.99224136103
1,"[125,200)","[2,2.5)",10.6,10.7,10.65,1074,6.69159235215,160.499914442,1592008,0.99291119851
1,"[125,200)","[2,2.5)",10.7,10.8,10.75,1041,6.75442420522,154.121205357,1593049,0.993560454392
1,"[125,200)","[2,2.5)",10.8,10.9,10.85,959,6.81725605829,140.672433572,1594008,0.994158568119
1,"[125,200)","[2,2.5)",10.9,11,10.95,903,6.88008791136,131.248322933,1594911,0.994721755498
1,"[125,200)","[2,2.5)",11,11.1,11.05,908,6.94291976443,130.780713418,1595819,0.995288061301
1,"[125,200)","[2,2.5)",11.1,11.2,11.15,922,7.00575161751,131.606150252,1596741,0.995863098691
1,"[125,200)","[2,2.5)",11.2,11.3,11.25,910,7.06858347058,128.738665079,1597651,0.996430651863
1,"[125,200)","[2,2.5)",11.3,11.4,11.35,819,7.13141532365,114.843963341,1598470,0.996941449718
1,"[125,200)","[2,2.5)",11.4,11.5,11.45,857,7.19424717672,119.122957406,1599327,0.997475947596
1,"[125,200)","[2,2.5)",11.5,11.6,11.55,870,7.25707902979,119.882944147,1600197,0.998018553376
1,"[125,200)","[2,2.5)",11.6,11.7,11.65,825,7.31991088286,112.706290172,1601022,0.998533093339
1,"[125,200)","[2,2.5)",11.7,11.8,11.75,789,7.38274273594,106.870851149,1601811,0.99902518065
1,"[125,200)","[2,2.5)",11.8,11.9,11.85,801,7.44557458901,107.580683052,1602612,0.999524752179
1,"[125,200)","[2,2.5)",11.9,12,11.95,762,7.50840644208,101.486248231,1603374,1
2,"[125,200)","[2.5,3)",0,0.1,0.05,840,0.0314159265359,26738.0304394,840,0.000241923777882
2,"[125,200)","[2.5,3)",0.1,0.2,0.15,2582,0.0942477796077,27395.8708709,3422,0.000985551390371
2,"[125,200)","[2.5,3)",0.2,0.3,0.25,4135,0.157079632679,26324.2275874,7557,0.00217644998744
2,"[125,200)","[2.5,3)",0.3,0.4,0.35,5607,0.219911485751,25496.6218833,13164,0.0037912912048
2,"[125,200)","[2.5,3)",0.4,0.5,0.45,6854,0.282743338823,24241.0662212,20018,0.00576527403052
2,"[125,200)","[2.5,3)",0.5,0.6,0.55,8237,0.345575191895,23835.6230227,28255,0.00813756707625
2,"[125,200)","[2.5,3)",0.6,0.7,0.65,9794,0.408407044967,23980.9771176,38049,0.0109582831245
2,"[125,200)","[2.5,3)",0.7,0.8,0.75,11082,0.471238898038,23516.7343913,49131,0.0141499489656
2,"[125,200)","[2.5,3)",0.8,0.9,0.85,12096,0.53407075111,22648.6846075,61227,0.0176336513671
2,"[125,200)","[2.5,3)",0.9,1,0.95,13299,0.596902604182,22280.0167177,74526,0.0214638231791
2,"[125,200)","[2.5,3)",1,1.1,1.05,14909,0.659734457254,22598.4861577,89435,0.025757682232
2,"[125,200)","[2.5,3)",1.1,1.2,1.15,16192,0.722566310326,22409.0159873,105627,0.0304210510551
2,"[125,200)","[2.5,3)",1.2,1.3,1.25,17422,0.785398163397,22182.3793484,123049,0.0354386654102
2,"[125,200)","[2.5,3)",1.3,1.4,1.35,19031,0.848230016469,22436.1312739,142080,0.0409196790017
2,"[125,200)","[2.5,3)",1.4,1.5,1.45,20350,0.911061869541,22336.5730477,162430,0.0467805705254
2,"[125,200)","[2.5,3)",1.5,1.6,1.55,21548,0.973893722613,22125.617508,183978,0.0529864914371
2,"[125,200)","[2.5,3)",1.6,1.7,1.65,23163,1.03672557568,22342.4602839,207141,0.0596575396121
2,"[125,200)","[2.5,3)",1.7,1.8,1.75,24660,1.09955742876,22427.2051237,231801,0.06675973052
2,"[125,200)","[2.5,3)",1.8,1.9,1.85,25895,1.16238928183,22277.3905479,257696,0.0742176069822
2,"[125,200)","[2.5,3)",1.9,2,1.95,27248,1.2252211349,22239.2507147,284944,0.0820651535294
2,"[125,200)","[2.5,3)",2,2.1,2.05,28750,1.28805298797,22320.5103117,313694,0.0903452828319
2,"[125,200)","[2.5,3)",2.1,2.2,2.15,30276,1.35088484104,22411.9770095,343970,0.0990649069976
2,"[125,200)","[2.5,3)",2.2,2.3,2.25,31316,1.41371669412,22151.5386572,375286,0.108084055841
2,"[125,200)","[2.5,3)",2.3,2.4,2.35,32566,1.47654854719,22055.4888372,407852,0.117463210305
2,"[125,200)","[2.5,3)",2.4,2.5,2.45,33765,1.53938040026,21934.1496061,441617,0.127187682163
2,"[125,200)","[2.5,3)",2.5,2.6,2.55,35445,1.60221225333,22122.5370898,477062,0.137396001576
2,"[125,200)","[2.5,3)",2.6,2.7,2.65,36992,1.6650441064,22216.8288862,514054,0.148049863947
2,"[125,200)","[2.5,3)",2.7,2.8,2.75,38082,1.72787595947,22039.7765194,552136,0.15901765122
2,"[125,200)","[2.5,3)",2.8,2.9,2.85,39908,1.79070781255,22286.15954,592044,0.170511334705
2,"[125,200)","[2.5,3)",2.9,3,2.95,41134,1.85353966562,22192.1336581,633178,0.182358111704
2,"[125,200)","[2.5,3)",3,3.1,3.05,41845,1.91637151869,21835.5363727,675023,0.194409659901
2,"[125,200)","[2.5,3)",3.1,3.2,3.15,43652,1.97920337176,22055.338336,718675,0.206981632225
2,"[125,200)","[2.5,3)",3.2,3.3,3.25,44726,2.04203522483,21902.6584145,763401,0.219862921379
2,"[125,200)","[2.5,3)",3.3,3.4,3.35,46380,2.10486707791,22034.645554,809781,0.233220569972
2,"[125,200)","[2.5,3)",3.4,3.5,3.45,47500,2.16769893098,21912.6370924,857281,0.246900783603
2,"[125,200)","[2.5,3)",3.5,3.6,3.55,48852,2.23053078405,21901.5134646,906133,0.260970379313
2,"[125,200)","[2.5,3)",3.6,3.7,3.65,50258,2.29336263712,21914.5455614,956391,0.275444909348
2,"[125,200)","[2.5,3)",3.7,3.8,3.75,52015,2.35619449019,22075.8516398,1008406,0.290425463284
2,"[125,200)","[2.5,3)",3.8,3.9,3.85,52893,2.41902634326,21865.4088441,1061299,0.305658885169
2,"[125,200)","[2.5,3)",3.9,4,3.95,54170,2.48185819634,21826.3880185,1115469,0.321260088798
2,"[125,200)","[2.5,3)",4,4.1,4.05,55798,2.54469004941,21927.2284312,1171267,0.337330163748
2,"[125,200)","[2.5,3)",4.1,4.2,4.15,56769,2.60752190248,21771.2456973,1228036,0.353679891065
2,"[125,200)","[2.5,3)",4.2,4.3,4.25,57949,2.67035375555,21700.8701111,1285985,0.37036946369
2,"[125,200)","[2.5,3)",4.3,4.4,4.35,59423,2.73318560862,21741.2969732,1345408,0.387483554943
2,"[125,200)","[2.5,3)",4.4,4.5,4.45,60531,2.79601746169,21649.0064276,1405939,0.40491675518
2,"[125,200)","[2.5,3)",4.5,4.6,4.55,61661,2.85884931477,21568.4680132,1467600,0.422675400499
2,"[125,200)","[2.5,3)",4.6,4.7,4.65,62152,2.92168116784,21272.6839205,1529752,0.440575456026
2,"[125,200)","[2.5,3)",4.7,4.8,4.75,63531,2.98451302091,21286.8898728,1593283,0.458872669756
2,"[125,200)","[2.5,3)",4.8,4.9,4.85,64776,3.04734487398,21256.5373066,1658059,0.477528449084
2,"[125,200)","[2.5,3)",4.9,5,4.95,65495,3.11017672705,21058.2888845,1723554,0.496391303647
2,"[125,200)","[2.5,3)",5,5.1,5.05,66440,3.17300858013,20939.1176614,1789994,0.515526322459
2,"[125,200)","[2.5,3)",5.1,5.2,5.15,67305,3.2358404332,20799.8513491,1857299,0.534910465162
2,"[125,200)","[2.5,3)",5.2,5.3,5.25,68692,3.29867228627,20824.1359064,1925991,0.554694070103
2,"[125,200)","[2.5,3)",5.3,5.4,5.35,68673,3.36150413934,20429.2474896,1994664,0.574472202958
2,"[125,200)","[2.5,3)",5.4,5.5,5.45,69620,3.42433599241,20330.9488772,2064284,0.594523076072
2,"[125,200)","[2.5,3)",5.5,5.6,5.55,70133,3.48716784548,20111.7362592,2134417,0.614721695494
