analysis,group_id,group_label,cell_ids,n_cells,restored_cells,nhit_span,predE_span,N_on,B_on,excess,error,E_p16_TeV,E_p50_TeV,E_p84_TeV,sigma68_dex,model_counts,pull,N0_ratio,N0_ratio_err,E2_dnde,E2_dnde_err,pass5_interp_E2,ratio_to_pass5
v5_migration_12bin,v5_01,1+2+3,1;2;3,3,,"[125,200)","[2,2.5)..[3,3.25)",71039.0,65607.68753211322,5431.312467886768,369.6575273575708,0.2312921972566101,0.4479543531214044,0.8235424526848439,0.27576250478506537,5937.8727677229135,-1.3703502900568512,0.9146899370108256,0.06225420143169033,5.970411454048904e-11,4.0634884265271265e-12,4.387263999999996e-11,1.3608507384212367
v5_migration_12bin,v5_02,4,4,1,4,"[125,200)","[3.25,3.5)",7577.0,7565.296604484195,11.703395515804914,123.05403936679282,1.0742051229261234,1.7948444792420988,2.8092318786342734,0.20875018442622895,161.05961062617467,-1.2137449195404049,0.07266499323017071,0.7640279203977824,2.12124272189696e-12,2.230356865700431e-11,2.8320190441784866e-11,0.07490213479522313
v5_migration_12bin,v5_03,14+15+16,14;15;16,3,,"[200,300)","[2.5,3)..[3.25,3.5)",17885.0,13811.103773882034,4073.896226117965,178.03399611838753,0.4079415877783356,0.7178140639680446,1.2482782058184816,0.24285670307540563,3933.1585593245427,0.7905100703341833,1.0357823526996561,0.04526489167244812,5.294191589581355e-11,2.3136232063713698e-12,4.194800010009669e-11,1.2620843847020855
v5_migration_12bin,v5_04,17,17,1,17,"[200,300)","[3.5,3.75)",2441.0,2335.53914749889,105.46085250110991,69.11251078856048,1.897619827225222,3.1266694393599717,4.8443602359891,0.20351361061387196,97.49097453691552,0.11531744214266879,1.0817499055892252,0.7089118876577712,2.1300824055236628e-11,1.3959240774270021e-11,1.9612095943009006e-11,1.0861064578276036
v5_migration_12bin,v5_05,26+27+28+29,26;27;28;29,4,,"[300,500)","[2.5,3)..[3.5,3.75)",7695.0,4215.052169302311,3479.9478306976894,109.13318546300347,0.6661338523579724,1.146183510657947,1.9594120614481787,0.2342821361945826,3347.7971601198387,1.2109118781532329,1.039473917999596,0.032598505896067165,4.047660527905916e-11,1.269369854302305e-12,3.598437488983005e-11,1.1248383611771093
v5_migration_12bin,v5_06,30,30,1,,"[300,500)","[3.75,4.0)",891.0,785.7225555577202,105.27744444227983,40.947802817217436,3.06602315899138,5.210081789159568,8.075898680151944,0.21030771536187443,63.200431124788,1.0275768276338284,1.665770985555646,0.6479038526868086,2.2019593048690836e-11,8.564550165990318e-12,1.3112910447971754e-11,1.6792300333368575
v5_migration_12bin,v5_07,39+40+41+42,39;40;41;42,4,39,"[500,800)","[3,3.25)..[3.75,4.0)",2384.0,899.4677023003354,1484.5322976996647,57.301550609912255,1.366952067727389,2.169484454733497,3.4888811452611916,0.20346644422191607,1566.5765463150437,-1.4317980533180668,0.9476283180618487,0.036577561910204115,2.4294546342759116e-11,9.377466417952658e-13,2.5256468678141212e-11,0.9619138230430997
v5_migration_12bin,v5_08,43,43,1,43,"[500,800)","[4.0,4.25)",175.0,144.93814658241652,30.061853417583478,17.886814880867316,5.162110539414963,8.700594581048078,13.684177386460341,0.21169569757039364,21.61220396821006,0.47239542118880035,1.3909665789663201,0.8276256742337563,1.1898590169614318e-11,7.079665939117173e-12,8.519188867243999e-12,1.3966811107292159
v5_migration_12bin,v5_09,52+53+54+55,52;53;54;55,4,,"[800,1100)","[3.25,3.5)..[4.0,4.25)",711.0,197.48477733261765,513.5152226673823,30.141081223682367,2.6585650832943526,3.9635150507228127,6.174957073774091,0.18299332314943562,489.4717064769725,0.7976991937342456,1.0491213605858156,0.06157880184868331,1.724203803889958e-11,1.01203167121866e-12,1.6414186418390488e-11,1.0504351296742656
v5_migration_12bin,v5_10,65+66+67,65;66;67,3,,"[1100,2000)","[3.5,3.75)..[4.0,4.25)",278.0,47.620862457701286,230.37913754229874,18.044967787660394,5.0713085645527824,7.6464451503366035,11.93205960935979,0.18579768912360306,247.61719520837445,-0.9552833714595789,0.9303842463300274,0.07287445353896049,8.910071532378766e-12,6.979015352811814e-13,9.565460020439493e-12,0.9314838505769413
