cell_id,nhit_bin,predE_bin,included_in_final_sed_fit,source,events,fit_status,fit_error,conditional_core_fraction,physical_core_fraction,sigma_core_deg,gamma_core,sigma_tail_deg,gamma_tail,conditional_r_target_deg,rayleigh_sigma_deg,original_r_opt_deg,rayleigh_kl_divergence,double_king_kl_divergence,kl_improvement_factor,optimizer_success,optimizer_message,boundary_flags
1,"[100,200)","[2,2.5)",True,formal,355123,ok,,0.9618937101005702,0.6644851176649721,0.36110137530405867,3.9478971020745175,1.6989230639236437,1.05,0.770641901791885,0.5399901866912842,0.8531844615936279,2.1248313356018738,,1461.935270019329,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_tail
2,"[100,200)","[2.5,3)",True,formal,570475,ok,,0.9590220831520455,0.698052172247899,0.32203552431323473,4.246955320314192,1.3035947104411003,1.05,0.6739951156566371,0.4830918610095978,0.7632851600646973,4.460743580190014,,5514.177525853273,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_tail
3,"[100,200)","[3,3.25)",True,formal,119345,ok,,0.9623850828168419,0.6704255165182698,0.30938703422735814,3.3111751471411854,1.675344358532654,1.05,0.7064472985249608,0.5123275518417358,0.8094775080680847,3.75032411743018,,1410.0832855186466,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_tail
4,"[100,200)","[3.25,3.5)",True,formal,54366,ok,,0.9939799603296257,0.23906972750422387,0.3520445903257341,2.1897042555468897,17.6022295162867,1.050000096890718,0.9961484976316421,0.6858871579170227,1.0837016105651855,0.34213247334259467,,124.30311963270331,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sigma_ratio;gamma_tail
5,"[100,200)","[3.5,3.75)",True,formal,30637,ok,,0.14287219511382634,0.14053066235465003,0.3337556596291721,99.99999999999999,0.6003941887668924,2.4584347865838714,1.3734001975544325,0.8448566794395447,1.3348735570907593,0.24733557200841974,,92.01446252955739,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core
6,"[100,200)","[3.75,4.0)",True,formal,19553,ok,,0.13946793799780985,0.13352392468746108,0.40084581746959336,99.99999999999999,0.8031855641005826,2.35559122142067,1.8265041998096676,0.9930925369262695,1.5690861940383911,0.25673385429716283,,64.55356943367953,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core
7,"[100,200)","[4.0,4.25)",False,formal,13002,ok,,0.037597082921166924,0.03203770921271036,0.3390421316592138,99.99999999999999,0.877898950008883,1.8189679634683977,2.37467470585453,1.1287057399749756,1.7833549976348877,0.31858528539469644,,49.154913491023166,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core
8,"[100,200)","[4.25,4.5)",False,formal,9017,ok,,0.10453101168942046,0.08282507502412037,0.646552494480491,99.99999999999999,1.5043174410895654,2.1752422141793146,2.953836708678882,1.2385355234146118,1.9568861722946167,0.42852177826317894,,38.229689069502236,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core
9,"[100,200)","[4.5,4.75)",False,formal,7232,ok,,0.9129342272395646,0.1843879035769417,1.1628862509985094,1.081711214394301,55.07990208185303,8.529300000976534,3.4400359415700437,1.3120602369308472,2.0730550289154053,0.6211650218824337,,34.333742571179066,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
10,"[100,200)","[4.75,5.0)",False,formal,6518,ok,,0.426700079125075,0.06801075107008346,1.6856078546957405,99.99999999999999,10.977771134416512,52.802974299234386,3.6995230739549534,1.3739988803863525,2.1709182262420654,0.7263046946998271,,21.438788368312377,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,gamma_core
