nhit_bin,cell_ids,n_cells,N_on,B_on,excess,significance,fit_reliable,unreliable_reason,fit_status,sigma_obs_deg,r68_obs_deg,fit_chi2_over_ndof
"[125,200)","1,2,3",3,71039.0,65607.68753211322,5431.312467886768,14.692822588279242,1,,fit,0.3847052280311457,0.5807480059382178,0.809318059476283
"[200,300)","14,15,16",3,17885.0,13811.103773882034,4073.896226117965,22.882687098754662,1,,fit,0.332202447163515,0.5014902182259614,0.8165268923931459
"[300,500)","26,27,28,29,30",5,8586.0,5000.774724860032,3585.225275139969,30.7580120064111,1,,fit,0.2764182424916574,0.41727881878168904,1.2990824855780523
"[500,800)","40,41,42",3,1952.0,750.9431892176251,1201.056810782375,23.101761260667434,1,,fit,0.21078976640711905,0.31820658414136854,0.798431733510428
"[800,1100)","52,53,54,55",4,711.0,197.48477733261765,513.5152226673823,17.037053808935845,1,,fit,0.1878197997775306,0.2835313020172563,1.0420713911729604
"[1100,2000)","65,66,67,68,69",5,368.0,86.56091728728576,281.43908271271425,13.20043856529815,1,,fit,0.14516129032258066,0.21913434950104796,0.6836797116135772
"[2000,3000)","81,82,83",3,38.0,21.546088779934742,16.453911220065258,2.1322716335930205,0,N_on_lt_200;excess_lt_100;significance_lt_5,fit,0.17797552836484987,0.26867046682120826,0.4556935667329833
