selector,model,cells,chi2,ndof,chi2_over_ndof,phi0,gamma,alpha,beta,max_abs_pull,total_expected_counts,closure_note
active30,pl,30,180.98729652075312,28,6.463832018598326,2.0427419363736823e-12,2.5278740132777906,,,7.359323945098846,10925.098601889915,official pass5 folded counts used as pseudo-observed excess
active30,logpar,30,2.542146239230645,27,0.09415356441594981,2.28077069008433e-12,,2.6786753775292467,0.12471263574033024,0.6934455860758852,10925.098601889915,official pass5 folded counts used as pseudo-observed excess
drop4,pl,26,173.4576627798125,24,7.227402615825521,2.0359509250938702e-12,2.528017858681726,,,7.2513187609316105,10431.965987298452,official pass5 folded counts used as pseudo-observed excess
drop4,logpar,26,2.4750170093204567,23,0.10760943518784594,2.279879386409509e-12,,2.678100820349573,0.12430929247622971,0.6869148582992713,10431.965987298452,official pass5 folded counts used as pseudo-observed excess
nhit_only,pl,7,37.25301666802202,5,7.450603333604404,2.17257678499734e-12,2.4486428290564954,,,3.579206669697928,4712.344154647692,official pass5 folded counts used as pseudo-observed excess
nhit_only,logpar,7,0.15706432919246793,4,0.03926608229811698,2.276171185765894e-12,,2.6804367096333532,0.12597060548089326,0.2956356267155311,4712.344154647692,official pass5 folded counts used as pseudo-observed excess
