fake_source,selector,cells,N_on,B_on,excess,combined_known_background_sigma,positive_excess_cells,negative_excess_cells
offsource_ra93p63,active30,30,3084,5858.391245564205,-2774.391245564203,-46.44060930056865,1,29
offsource_ra93p63,drop4,26,2449,4656.004032467904,-2207.0040324679035,-39.09090643457456,1,25
offsource_ra93p63,nhit_only,7,4387,5934.245037205247,-1547.2450372052472,-30.606700035723534,3,4
offsource_ra73p63,active30,30,3793,6662.129900573285,-2869.129900573286,-45.14070309087106,2,25
offsource_ra73p63,drop4,26,3081,5497.91229324308,-2416.91229324308,-39.39611706179421,2,21
offsource_ra73p63,nhit_only,7,4854,6682.078796106706,-1828.0787961067058,-32.03258576018732,3,4
