run,spectrum,nhit_bin,cells,total_excess,total_expected_counts,total_observed_over_expected,valid_ratio_cells,median_observed_over_expected,cells_observed_over_expected_gt_1,cells_observed_over_expected_gt_1p5
drop4,official_pass5,"[1100,2000)",5,281.43908271271425,258.81921413236535,1.087396403919149,5,1.117294824532246,4,1
drop4,official_pass5,"[125,200)",3,5431.312467886768,3536.1071300842814,1.5359581223313545,3,1.5665175177026653,3,2
drop4,official_pass5,"[200,300)",3,4073.896226117965,2687.225892195484,1.5160229878514457,3,1.91683847937185,3,2
drop4,official_pass5,"[2000,3000)",3,16.453911220065258,8.785939840552071,1.8727548240338696,3,1.6130173114311257,2,2
drop4,official_pass5,"[300,500)",5,3585.225275139969,2506.7238217863387,1.4302434292841522,5,1.450779449665564,5,2
drop4,official_pass5,"[500,800)",3,1201.056810782375,996.8174448170714,1.2048914442932768,3,1.0857754063178404,3,0
drop4,official_pass5,"[800,1100)",4,513.5152226673823,437.4865444423602,1.1737851808035187,4,1.0718366492896534,4,1
drop4,tutorial_v099,"[1100,2000)",5,281.43908271271425,281.03891883915844,1.0014238735161973,5,1.0302406412900256,3,1
drop4,tutorial_v099,"[125,200)",3,5431.312467886768,3771.1670598961578,1.440220595275438,3,1.471264643070768,3,1
drop4,tutorial_v099,"[200,300)",3,4073.896226117965,2850.1360029510747,1.429369062353442,3,1.814379711113937,3,2
drop4,tutorial_v099,"[2000,3000)",3,16.453911220065258,9.724929031192595,1.6919312384994825,3,1.4529730549985342,2,1
drop4,tutorial_v099,"[300,500)",5,3585.225275139969,2653.7786053740715,1.3509888382850244,5,1.3748557211997694,5,2
drop4,tutorial_v099,"[500,800)",3,1201.056810782375,1062.6177335177408,1.1302811659338101,3,1.0124412484868304,2,0
drop4,tutorial_v099,"[800,1100)",4,513.5152226673823,471.6258264214456,1.088819131394438,4,0.9970355453694884,1,1
