selector,run,cell_id,nhit_bin,predE_bin,N_on,B_on,excess,expected_counts,observed_over_expected,required_delta_b,required_delta_b_over_b,pull_conservative,containment_r_opt
active30,active30,2,"[125,200)","[2.5,3)",40293,36636.02456968762,3656.9754303123773,2334.4618805638493,1.5665175177026653,1322.513549748528,0.03609871882340547,4.768206082246453,0.6565228700637817
active30,active30,15,"[200,300)","[3,3.25)",4457,3144.754706932895,1312.2452930671052,684.5883506559871,1.91683847937185,627.656942411118,0.19958852149180087,7.198887902486793,0.702869176864624
active30,active30,14,"[200,300)","[2.5,3)",10510,8162.742528325416,2347.257471674584,1789.9261544256358,1.3113711232560812,557.3313172489482,0.06827745887058924,4.078583828298172,0.64971524477005
active30,active30,27,"[300,500)","[3,3.25)",3067,1545.419045004803,1521.580954995197,1048.8023905673288,1.450779449665564,472.77856442786833,0.30592256899901155,6.96134887237813,0.6196183562278748
active30,active30,1,"[125,200)","[2,2.5)",21284,20166.67191083177,1117.3280891682298,826.6158471987317,1.3516896548193156,290.7122419694981,0.014415479324248488,1.4278991432171353,0.5589009523391724
active30,active30,3,"[125,200)","[3,3.25)",9462,8804.991051593839,657.0089484061609,375.02940232170016,1.7518865036682612,281.97954608446076,0.032024966798054624,2.0863352657234926,0.6549341678619385
active30,active30,16,"[200,300)","[3.25,3.5)",2918,2503.606538623724,414.3934613762758,212.7113871138614,1.9481489308066842,201.6820742624144,0.08055661748402468,2.739071071228481,0.6853578090667725
active30,active30,26,"[300,500)","[2.5,3)",1834,1008.1763984630026,825.8236015369974,629.1194873976918,1.3126657464593223,196.7041141393056,0.1951088266291369,3.6896734323056495,0.5843835473060608
active30,active30,28,"[300,500)","[3.25,3.5)",1706,905.5029146436214,800.4970853563786,608.0046981650542,1.3165968746166972,192.4923871913245,0.21258063787357737,3.7667630450708094,0.7103378176689148
active30,active30,40,"[500,800)","[3.25,3.5)",1155,396.8788199362221,758.121180063778,583.698983953634,1.298822168455238,174.422196110144,0.43948476801602415,4.427645556885017,0.590565025806427
active30,active30,29,"[300,500)","[3.5,3.75)",1088,755.9538111908837,332.0461888091163,164.59855536807532,2.017309253210604,167.44763344104098,0.22150511177032647,3.8994557354750743,0.7223257422447205
active30,active30,39,"[500,800)","[3,3.25)",432,148.5245130827103,283.4754869172897,233.44696009949809,1.2143036122486615,50.0285268177916,0.3368368344014144,2.0763828494834216,0.590565025806427
active30,active30,30,"[300,500)","[3.75,4.0)",891,785.7225555577202,105.27744444227983,56.19869028818857,1.8733077924487906,49.07875415409126,0.0624632114821424,1.1985686844583265,0.6642460227012634
active30,active30,55,"[800,1100)","[4.0,4.25)",105,38.063762432081,66.936237567919,19.434470877886223,3.4442016964857687,47.50176669003277,1.24795247907488,3.971411975559503,0.8465465307235718
active30,active30,41,"[500,800)","[3.5,3.75)",559,195.55135881066178,363.4486411893382,334.73648332291054,1.0857754063178404,28.712157866427674,0.1468266855370081,1.0452530185884898,0.7030451893806458
active30,active30,69,"[1100,2000)","[4.5,4.75)",46,18.928737590024877,27.071262409975123,4.545350931533239,5.955813493336462,22.525911478441884,1.1900377070213417,2.7955283032729654,0.7991706728935242
active30,active30,67,"[1100,2000)","[4.0,4.25)",93,17.83737579388189,75.16262420611811,59.60296599896509,1.2610550992952798,15.55965820715302,0.8723064640758361,1.477940449352131,0.7426062822341919
active30,active30,53,"[800,1100)","[3.5,3.75)",280,72.54814598870522,207.45185401129478,192.8496696378216,1.0757179641577639,14.602184373473193,0.20127577589297127,0.7776937525902928,0.6843349933624268
active30,active30,43,"[500,800)","[4.0,4.25)",175,144.93814658241652,30.061853417583478,17.56341831773333,1.7116174581590875,12.498435099850148,0.08623288895682914,0.6987512971478861,0.6689862012863159
active30,active30,17,"[200,300)","[3.5,3.75)",2441,2335.53914749889,105.46085250110991,93.82926401251014,1.1239654665419623,11.631588488599775,0.004980258413161667,0.16829931883367544,0.6527048945426941
active30,active30,66,"[1100,2000)","[3.75,4.0)",131,20.70683964618334,110.29316035381666,98.71446455503877,1.117294824532246,11.578695798777886,0.5591725244712589,0.9400632248343613,0.7136972546577454
active30,active30,52,"[800,1100)","[3.25,3.5)",174,31.844042170756428,142.15595782924356,133.11039633154903,1.067955334421543,9.045561497694536,0.2840582062160881,0.6304728362042269,0.715205192565918
