scheme,model,phi0,gamma,phi0_err,gamma_err,chi2,ndof,chi2_over_ndof,p_value,alpha,beta,alpha_err,beta_err
R,pl,2.3223204120473157e-12,2.6632487094524913,3.013024383995769e-14,0.010840312692027565,607.499885052267,42,14.464282977434928,2.3809425351799406e-101,,,,
B,pl,2.1248546632373318e-12,2.6562440869137456,2.7018336439810788e-14,0.010698279867879412,575.718809495818,42,13.707590702281383,6.49959411466362e-95,,,,
R,logpar,2.5150374586009766e-12,,3.875977053415977e-14,,516.2144488951685,41,12.590596314516306,1.724381811037636e-83,2.7744276512601207,0.10719892401177146,0.02150001511179167,0.013890049094392294
B,logpar,2.2979317960607643e-12,,3.4613534043520924e-14,,480.5152751200419,41,11.719884759025412,2.422886490854453e-76,2.7606450747821047,0.10714774344716506,0.020479614183641193,0.013577385215307616
