model,parameter,r_value,r_error,b_value,b_error,b_minus_r,relative_difference,relative_difference_percent
pl,phi0,2.3223204120473157e-12,3.013024383995769e-14,2.1248546632373318e-12,2.7018336439810788e-14,-1.974657488099839e-13,-0.08502950229675743,-8.502950229675742
pl,gamma,2.6632487094524913,0.010840312692027565,2.6562440869137456,0.010698279867879412,-0.007004622538745675,-0.0026301045463326934,-0.26301045463326933
logpar,phi0,2.5150374586009766e-12,3.875977053415977e-14,2.2979317960607643e-12,3.4613534043520924e-14,-2.1710566254021236e-13,-0.08632303339966169,-8.63230333996617
logpar,alpha,2.7744276512601207,0.02150001511179167,2.7606450747821047,0.020479614183641193,-0.013782576478015951,-0.004967718827252902,-0.4967718827252902
logpar,beta,0.10719892401177146,0.013890049094392294,0.10714774344716506,0.013577385215307616,-5.118056460640119e-05,-0.00047743543210173526,-0.047743543210173524
