grouping,group_label,r_E_eff,r_E16,r_E50,r_E84,r_E2_dnde,r_E2_dnde_err,b_E_eff,b_E16,b_E50,b_E84,b_E2_dnde,b_E2_dnde_err,independent_b_over_r,r_over_official,b_over_official,fixed_shape_n0_r,fixed_shape_n0_r_err,fixed_shape_n0_b,fixed_shape_n0_b_err,fixed_shape_b_over_r
nhit,"[100,200)",0.5052154012349993,0.2455346113656038,0.5052154012349993,1.0462227748204027,6.126519501341687e-11,2.440755202219076e-12,0.5085578261773259,0.25790217456384484,0.5085578261773259,0.9880646287814212,5.800369568513477e-11,2.2903518371112377e-12,0.94676423820135,1.3135261728572372,1.2456343171859847,2.467256831031576e-12,9.824243371530084e-14,2.3415190380566636e-12,9.245794370682534e-14,0.9490374121601517
nhit,"[200,300)",0.8393653057825821,0.45446884634356866,0.8393653057825821,1.5879736768735924,5.920388747372658e-11,1.3948762724899542e-12,0.8464566395242419,0.47493879642847,0.8464566395242419,1.5515314643501055,5.253758582383325e-11,1.2373194790319919e-12,0.8874009472291545,1.4842154722460346,1.3212006931896343,2.974810047911977e-12,7.007268452841538e-14,2.646922570180861e-12,6.233801580750378e-14,0.8897786842016147
nhit,"[300,500)",1.3060963299597481,0.740347937338875,1.3060963299597481,2.3270628708318237,4.034170264034654e-11,7.786543304647229e-13,1.321521863988319,0.7682544167097229,1.321521863988319,2.3242465079976333,3.588701071344049e-11,6.931280997949613e-13,0.8895760060843138,1.2188557400788749,1.09034891555405,2.5685651963960006e-12,4.954332197305282e-14,2.2969185329815076e-12,4.436309256465992e-14,0.8942418655381436
nhit,"[500,800)",2.397493707948575,1.484158188192902,2.397493707948575,3.9229514147509708,2.6054595651062958e-11,5.763073372314259e-13,2.425771477039517,1.5227388683356675,2.425771477039517,3.9440353803567243,2.3490116639597673e-11,5.190921748569648e-13,0.9015728723711488,1.098134867989113,0.9973004580028799,2.4556335191629513e-12,5.4308987498789395e-14,2.231297347896208e-12,4.93079285574743e-14,0.9086442787508404
nhit,"[800,1100)",4.316840866497981,2.858548997968595,4.316840866497981,6.7198597972704555,1.558247254266924e-11,5.831147704757625e-13,4.372546782489094,2.9140749878869268,4.372546782489094,6.787452701104491,1.398653558750979e-11,5.21777305596466e-13,0.8975812759631489,0.9863814268558427,0.8940697573993149,2.3197661217591767e-12,8.674858283782178e-14,2.1014722488356722e-12,7.83968639641125e-14,0.9058983270442957
nhit,"[1100,2000)",8.398733947211678,5.382400840911506,8.398733947211678,14.294728091628226,7.738839654108455e-12,3.7360863755992236e-13,8.592064816890803,5.508197817025438,8.592064816890803,14.576249701005066,7.103975372256299e-12,3.37519043777836e-13,0.91796389249193,0.8579963588030476,0.8043602150228698,2.117291676591506e-12,1.0197387998514883e-13,1.978686140248887e-12,9.400993373392663e-14,0.9345363995546654
nhit,"[2000,3000)",33.48796053309486,18.987206684890456,33.48796053309486,60.163969907249545,2.316119192190687e-12,5.216400936870557e-13,34.436521535459306,19.43383541332542,34.436521535459306,60.68175278200142,2.016465327979447e-12,4.579256812461171e-13,0.8706224337583359,1.1564005478130603,1.0427759695843677,3.0118065226527957e-12,6.789782151509033e-13,2.7146392016825494e-12,6.164762609697434e-13,0.9013325329050348
predE,"[2,2.5)",0.29692946838165063,0.16987488291530561,0.29692946838165063,0.5115679801406389,2.385313452249466e-11,6.206729957405829e-12,0.29794557397570826,0.17366144665112077,0.29794557397570826,0.49700447371428813,2.2173145359399564e-11,5.769586610192234e-12,0.9295694592460884,0.46393147300403864,0.4314332634272107,8.093138654851982e-13,2.1058836561349112e-13,7.531149526808104e-13,1.959650683966123e-13,0.9305598047913147
predE,"[2.5,3)",0.6050729649318358,0.3540373691070616,0.6050729649318358,0.9705108839662918,5.997884090036317e-11,1.3339965610732839e-12,0.6118111952035835,0.3700248583362922,0.6118111952035835,0.9615160286835112,5.3064703313497274e-11,1.1839107601426156e-12,0.8847237211810802,1.3498234073079387,1.1980857642717926,2.592719278286231e-12,5.767867857206562e-14,2.3065791375111766e-12,5.1461398811314326e-14,0.8896370528149924
predE,"[3,3.25)",1.1578092289714363,0.7674117206764072,1.1578092289714363,1.6939498755240658,4.702732195187883e-11,9.864059928339675e-13,1.1670559560232667,0.803830695355352,1.1670559560232667,1.6759906132200342,4.2050550985914156e-11,8.82323063541441e-13,0.8941727753271342,1.344114106856938,1.206153189156376,2.7905536994476515e-12,5.853699339594784e-14,2.5068092083505477e-12,5.2598967874800265e-14,0.8983196448958259
predE,"[3.25,3.5)",1.896216271496522,1.2809776677671851,1.896216271496522,2.748689523127654,3.2116279937286875e-11,7.468330861715657e-13,1.9131806302942997,1.330185373490266,1.9131806302942997,2.7291453216468287,2.904105173802271e-11,6.742243069674594e-13,0.9042470608280557,1.1778907525104463,1.0704847243905904,2.5739142806963917e-12,5.986363481978665e-14,2.341977830387161e-12,5.437194196236941e-14,0.9098895980924127
predE,"[3.5,3.75)",3.1408384276355585,2.099653483075546,3.1408384276355585,4.577588055973832,1.8712631556074754e-11,5.729639311263981e-13,3.162858086932166,2.1827983507551556,3.162858086932166,4.537546764615956,1.719572116291246e-11,5.241275467388321e-13,0.9189365542405578,0.9408997043536925,0.8687849391446595,2.1515034141194385e-12,6.591456149389512e-14,1.989624681918385e-12,6.064398774469829e-14,0.9247601787946469
predE,"[3.75,4.0)",5.294285589611926,3.4223633483360465,5.294285589611926,7.718760879666233,1.3807196997893503e-11,5.316836718175743e-13,5.313214919257801,3.5985529772141716,5.313214919257801,7.636239946103761,1.2541198348722041e-11,4.802480924355094e-13,0.9083087863985275,1.0262350391036819,0.9348423361585881,2.446280789495797e-12,9.422806386220541e-14,2.229046328398327e-12,8.535829012486331e-14,0.9111980676828827
predE,"[4.0,4.25)",9.283989202857102,6.20165550519329,9.283989202857102,13.596369244347713,9.913813307913435e-12,5.372492159194196e-13,9.2996852900973,6.422124985205815,9.2996852900973,13.431479073366267,8.95797026309071e-12,4.820626610358003e-13,0.9035847241485021,1.2069768142297828,1.092350445877168,2.9835934333094325e-12,1.617099680172711e-13,2.699420932223257e-12,1.4526617075354171e-13,0.904754951558206
predE,"[4.25,4.5)",16.699670359852885,11.038311422259206,16.699670359852885,24.230706764815782,7.722566392049788e-12,6.200090116941423e-13,16.7121730345042,11.436975802508513,16.7121730345042,23.949937817772156,6.941939199483119e-12,5.55819904700079e-13,0.8989160917580058,1.7076652438937754,1.5362971375824066,4.345899034867922e-12,3.49009857168241e-13,3.907344156705905e-12,3.128491325554094e-13,0.8990876514517678
predE,"[4.5,4.75)",29.904660591649524,19.662203483770536,29.904660591649524,44.41451547451554,4.6715907739861665e-12,7.321655698090038e-13,29.945952451659828,20.424791681639906,29.945952451659828,44.17389004929538,4.177332665694031e-12,6.531241492260678e-13,0.8941991856297815,2.026955338998464,1.8155731544276454,5.246797432099884e-12,8.245900942575861e-13,4.71016885429019e-12,7.364328560503323e-13,0.8977226422871591
predE,"[4.75,5.0)",57.66862218971933,40.45969510771356,57.66862218971933,79.99694501799524,6.437660929886426e-13,8.209506016396321e-13,56.32663283571872,39.22297761239588,56.32663283571872,78.50771921894291,6.171420174055125e-13,7.691685855489059e-13,0.9586432465563237,0.6584057313814972,0.610972429625042,1.7264036224198151e-12,2.202988683971652e-12,1.6035352165847555e-12,1.9985495714642257e-12,0.9288298493820113
