nhit_bin,internal_cell_ids,n_cells,observed_excess,error_conservative,error_sqrt_n,pl_model_counts,pl_pull,logpar_model_counts,logpar_pull
"[100,200)",1;2;3;4;5;6,6,18395.56563628064,935.3226365077023,668.290356057904,24963.119341620917,-7.021698662038308,21360.65738000071,-3.1701272138468686
"[200,300)",15;16;17;18;19;20;21,7,11957.61018373233,345.7114256374349,256.3922775748131,10938.21387644598,2.9486913989225294,10759.87328536391,3.4645568805253966
"[300,500)",28;29;30;31;32;33;34,7,9564.719863555052,205.59494190384387,160.98757716047533,8975.720307259235,2.8648543142237943,9416.501953136012,0.7209219694147974
"[500,800)",42;43;44;45;46;47;48,7,4365.679138847881,101.15493493227169,85.43418519538885,4206.029969292217,1.57826377588555,4507.531641271845,-1.4023290363336283
"[800,1100)",56;57;58;59;60;61;62,7,1345.0886786694205,49.7082621033021,43.68065933568311,1382.2549911165816,-0.7476888322895551,1399.9538110087715,-1.1037427183700788
"[1100,2000)",70;71;72;73;74;75,6,827.5394397691213,39.50266522946115,34.55430508634199,923.9086261377214,-2.439561629799294,782.441062574088,1.1416540360775143
"[2000,3000)",86;87;88;89,4,44.34096357899562,11.817742441811989,9.591663046625438,77.93441307379076,-2.8426283327972355,33.87431256120581,0.8856726290427581
