method,spectrum,cell_id,nhit_bin,predE_bin,excess,official_expected_counts,observed_over_expected,excess_minus_expected,pull_conservative
rayleigh_baseline,official_pass5,1,"[125,200)","[2,2.5)",1117.3280891682298,1190.4945543770737,0.938541117269429,-73.16646520884387,-0.3593736963952694
rayleigh_baseline,official_pass5,2,"[125,200)","[2.5,3)",3656.9754303123773,2779.8193230031366,1.3155442873753458,877.1561073092407,3.162509062192086
rayleigh_baseline,official_pass5,3,"[125,200)","[3,3.25)",657.0089484061609,408.8878176227195,1.6068195727278491,248.1211307834414,1.835820620725554
rayleigh_baseline,official_pass5,14,"[200,300)","[2.5,3)",2347.257471674584,2271.0593625544752,1.0335517910172112,76.19810912010871,0.5576223082855325
rayleigh_baseline,official_pass5,15,"[200,300)","[3,3.25)",1312.2452930671052,767.4085088068825,1.7099696941167617,544.8367842602227,6.2489851860375865
rayleigh_baseline,official_pass5,16,"[200,300)","[3.25,3.5)",414.3934613762758,241.9765753897253,1.7125354415354355,172.4168859865505,2.341616657425815
rayleigh_baseline,official_pass5,26,"[300,500)","[2.5,3)",825.8236015369974,860.182911404161,0.9600558097450744,-34.359309867163574,-0.6444940581133405
rayleigh_baseline,official_pass5,27,"[300,500)","[3,3.25)",1521.580954995197,1329.8369087587616,1.1441861366409245,191.74404623643545,2.823303128534457
rayleigh_baseline,official_pass5,28,"[300,500)","[3.25,3.5)",800.4970853563786,677.9500923150175,1.1807610831984638,122.54699304136113,2.3980454053694285
rayleigh_baseline,official_pass5,29,"[300,500)","[3.5,3.75)",332.0461888091163,194.10731113373853,1.7106320564109967,137.93887767537777,3.212267242257793
rayleigh_baseline,official_pass5,30,"[300,500)","[3.75,4.0)",105.27744444227983,62.756729538362926,1.6775482918995033,42.520714903916904,1.038412612606362
rayleigh_baseline,official_pass5,40,"[500,800)","[3.25,3.5)",758.121180063778,768.4358065571563,0.9865771136569088,-10.314626493378341,-0.26183313352788967
rayleigh_baseline,official_pass5,41,"[500,800)","[3.5,3.75)",363.4486411893382,372.2167098277472,0.9764436458468868,-8.768068638408977,-0.31919754182614946
rayleigh_baseline,official_pass5,42,"[500,800)","[3.75,4.0)",79.48698952925884,91.54534040940139,0.8682800148405565,-12.058350880142555,-0.6055628106117587
rayleigh_baseline,official_pass5,52,"[800,1100)","[3.25,3.5)",142.15595782924356,150.59815904012564,0.943942201785928,-8.442201210882075,-0.5884188109923479
rayleigh_baseline,official_pass5,53,"[800,1100)","[3.5,3.75)",207.45185401129478,218.7609410733584,0.9483039019370864,-11.309087062063611,-0.602307581572787
rayleigh_baseline,official_pass5,54,"[800,1100)","[3.75,4.0)",96.97117325892498,96.15988689292773,1.0084368481724673,0.8112863659972476,0.056384374516229706
rayleigh_baseline,official_pass5,55,"[800,1100)","[4.0,4.25)",66.936237567919,21.26322103818768,3.1479820224652166,45.67301652973131,3.8185182877453303
rayleigh_baseline,official_pass5,65,"[1100,2000)","[3.5,3.75)",44.923352982363944,76.53973782787769,0.5869284930579124,-31.616384845513743,-3.980869213744887
rayleigh_baseline,official_pass5,66,"[1100,2000)","[3.75,4.0)",110.29316035381666,105.72121453189696,1.0432453017321353,4.571945821919698,0.3711919034590627
rayleigh_baseline,official_pass5,67,"[1100,2000)","[4.0,4.25)",75.16262420611811,63.86368538841751,1.1769227495873549,11.298938817700602,1.0732342890255646
rayleigh_baseline,official_pass5,68,"[1100,2000)","[4.25,4.5)",23.9886827604404,23.44335360370655,1.0232615676900265,0.5453291567338496,0.06816011841758884
rayleigh_baseline,official_pass5,69,"[1100,2000)","[4.5,4.75)",27.071262409975123,5.031199711141823,5.380677366081209,22.0400626988333,2.7352331176239284
rayleigh_baseline,official_pass5,81,"[2000,3000)","[4.5,4.75)",4.110992663272295,5.448473220750535,0.7545219544469011,-1.3374805574782398,-0.4761856433070484
rayleigh_baseline,official_pass5,82,"[2000,3000)","[4.75,5.0)",4.207423108797498,2.696740356967508,1.560188431907014,1.5106827518299895,0.3581408376449174
rayleigh_baseline,official_pass5,83,"[2000,3000)","[5,6)",8.135495447995465,0.966610214931947,8.416521284712717,7.168885233063518,1.2319108059574317
two_1d_gaussian,official_pass5,1,"[125,200)","[2,2.5)",1105.3280891682443,1190.3254767171843,0.9285931543838283,-84.99738754893997,-0.41754440015530475
two_1d_gaussian,official_pass5,2,"[125,200)","[2.5,3)",3618.975430312348,2779.0273370802647,1.3022453511071106,839.9480932320835,3.0291070696970466
two_1d_gaussian,official_pass5,3,"[125,200)","[3,3.25)",645.0089484061609,408.81805992990337,1.5777408378601356,236.19088847625756,1.7481243717844634
two_1d_gaussian,official_pass5,14,"[200,300)","[2.5,3)",2312.2574716745858,2267.9960372033015,1.0195156577636104,44.26143447128425,0.32421181014974354
two_1d_gaussian,official_pass5,15,"[200,300)","[3,3.25)",1301.2452930671052,766.6258501930001,1.6973668351250002,534.6194428741051,6.136239051426821
two_1d_gaussian,official_pass5,16,"[200,300)","[3.25,3.5)",412.3934613762776,241.93009844777885,1.7045975842699608,170.46336292849878,2.315512730157841
two_1d_gaussian,official_pass5,26,"[300,500)","[2.5,3)",825.8236015369986,859.4611997843004,0.9608619932397834,-33.63759824730187,-0.6309565670382726
two_1d_gaussian,official_pass5,27,"[300,500)","[3,3.25)",1519.5809549951969,1329.3669267162284,1.143086174671752,190.2140282789685,2.801382057320519
two_1d_gaussian,official_pass5,28,"[300,500)","[3.25,3.5)",798.497085356379,677.6992915244919,1.1782468940762076,120.79779383188713,2.3647220966643827
