method,spectrum,nhit_bin,cells,N_on,B_on,excess,official_expected_counts,observed_over_expected,N_on_over_B_on
rayleigh_baseline,official_pass5,all,26,100579.0,85476.10100347275,15102.898996527238,12787.171174598647,1.181097741659134,1.1766914824052823
two_1d_gaussian,official_pass5,all,26,100462.0,85471.09851316834,14990.901486831659,12780.072677531563,1.1729903158678368,1.1753914685502964
mc_quantile_715,official_pass5,all,26,294362.0,298528.6489807498,-4166.648980749822,13917.864677044267,-0.29937415526263705,0.9860427165199195
observed_data,official_pass5,all,26,119121.0,102291.56635138624,16829.433648613758,13618.361289094713,1.2357899229836413,1.1645241562809023
double_rayleigh_mixture,official_pass5,all,26,98919.0,83343.28068213243,15575.719317867579,12558.435994014957,1.240259481777077,1.1868863235330591
