cell_id,nhit_bin,predE_bin,target_containment,observed_excess_r715_deg,mc_quantile_r715_deg,observed_over_mc_quantile_r715,rayleigh_r_opt_deg,positive_shell_excess,raw_shell_excess,fit_reliable,significance
1,"[125,200)","[2,2.5)",0.7129790300890827,2.601578263200811,2.4080681800842285,1.0803590549125623,0.7816073894500732,2480.0793228149414,966.830192565918,1,5.48801044774423
2,"[125,200)","[2.5,3)",0.7129790300890827,1.6003251598567885,0.8369305729866028,1.9121360976765343,0.7211480140686035,6664.589447021484,4958.464584350586,1,13.18490271253323
14,"[200,300)","[2.5,3)",0.7129790300890827,1.416369401395242,0.6456910371780396,2.1935714139465428,0.5542443990707397,5482.408248901367,4453.807708740234,1,17.177370207868186
15,"[200,300)","[3,3.25)",0.7129790300890827,0.8488612081276132,0.5583140254020691,1.5204010100163738,0.5468682050704956,2043.9329643249512,1227.7787475585938,1,15.050748469485397
16,"[200,300)","[3.25,3.5)",0.7129790300890827,2.911549204102852,0.797756552696228,3.6496713117084476,0.72874516248703,1029.4726877212524,264.2201328277588,1,5.627932707024539
26,"[300,500)","[2.5,3)",0.7129790300890827,1.024348922136886,0.5859699249267578,1.748125421735463,0.4214111268520355,1489.6572713851929,631.5170202255249,1,15.490369460214396
27,"[300,500)","[3,3.25)",0.7129790300890827,0.9542946683320751,0.4804638624191284,1.986194473663879,0.39609426259994507,3825.0010681152344,3311.508930206299,1,22.404264199469456
28,"[300,500)","[3.25,3.5)",0.7129790300890827,2.4351980102988113,0.4177631437778473,5.829135591706887,0.4156150817871094,1663.29248046875,974.8124446868896,1,15.664426436824806
29,"[300,500)","[3.5,3.75)",0.7129790300890827,1.7505090888061234,0.6279533505439758,2.7876419280026354,0.6477468013763428,644.6789031028748,433.9902443885803,1,7.732563242527117
40,"[500,800)","[3.25,3.5)",0.7129790300890827,0.4846912309801244,0.40718746185302734,1.190339281996536,0.3107539117336273,1536.8942232131958,1066.6803827285767,1,19.244637146812043
41,"[500,800)","[3.5,3.75)",0.7129790300890827,2.0598415576987983,0.3307889997959137,6.2270557937829105,0.32525408267974854,1124.2958345413208,759.5217995643616,1,13.231182103148099
53,"[800,1100)","[3.5,3.75)",0.7129790300890827,2.034950461505374,0.2708326578140259,7.513681983295842,0.2622322738170624,688.849648475647,468.5617654323578,1,11.048621678886763
