method,spectrum,nhit_bin,cells,N_on,B_on,excess,official_expected_counts,observed_over_expected,N_on_over_B_on
rayleigh_baseline,official_pass5,"[125,200)",3,71039.0,65607.68753211322,5431.312467886768,4379.20169500293,1.2402517276343752,1.0827846960042342
rayleigh_baseline,official_pass5,"[200,300)",3,17885.0,13811.103773882034,4073.896226117965,3280.444446751083,1.2418732559707597,1.2949725302782857
rayleigh_baseline,official_pass5,"[300,500)",5,8586.0,5000.774724860032,3585.225275139969,3124.833953150042,1.1473330515772917,1.716933969714126
rayleigh_baseline,official_pass5,"[500,800)",3,1952.0,750.9431892176251,1201.056810782375,1232.197856794305,0.9747272356949663,2.5993977014875167
rayleigh_baseline,official_pass5,"[800,1100)",4,711.0,197.48477733261765,513.5152226673823,486.78220804459943,1.054917813718314,3.6002774978573875
rayleigh_baseline,official_pass5,"[1100,2000)",5,368.0,86.56091728728576,281.43908271271425,274.5991910630405,1.0249086372876586,4.251341269624606
rayleigh_baseline,official_pass5,"[2000,3000)",3,38.0,21.546088779934742,16.453911220065258,9.11182379264999,1.805775835276548,1.7636611631985994
two_1d_gaussian,official_pass5,"[125,200)",3,70977.0,65607.68753211325,5369.312467886753,4378.170873727352,1.226382574537479,1.0818396847969776
two_1d_gaussian,official_pass5,"[200,300)",3,17837.0,13811.103773882032,4025.8962261179686,3276.5519858440803,1.2286990237027624,1.2914970658414195
two_1d_gaussian,official_pass5,"[300,500)",5,8581.0,5000.77472486003,3580.225275139971,3123.3914586971223,1.146262107226678,1.7159341246350943
two_1d_gaussian,official_pass5,"[500,800)",3,1950.0,750.9431892176248,1199.0568107823754,1231.7676197116427,0.973444009725694,2.59673438417042
two_1d_gaussian,official_pass5,"[800,1100)",4,711.0,197.48477733261768,513.5152226673822,486.6968250712738,1.0551028817419983,3.600277497857387
two_1d_gaussian,official_pass5,"[1100,2000)",5,368.0,81.55842698285622,286.4415730171438,274.3839296098394,1.0439444227817927,4.512102717201185
two_1d_gaussian,official_pass5,"[2000,3000)",3,38.0,21.54608877993475,16.45391122006525,9.109984870250575,1.8061403453914493,1.763661163198599
mc_quantile_715,official_pass5,"[125,200)",3,257915.0,273122.38946442696,-15207.389464426953,4854.502004267571,-3.132636355090225,0.9443202386510767
mc_quantile_715,official_pass5,"[200,300)",3,21900.0,17149.003262723076,4750.996737276924,3482.6801282963775,1.3641783230896285,1.2770421501758182
mc_quantile_715,official_pass5,"[300,500)",5,11136.0,7066.234667493389,4069.7653325066112,3452.010961102851,1.1789549275377733,1.5759453972323683
mc_quantile_715,official_pass5,"[500,800)",3,2391.0,948.5037918433875,1442.4962081566125,1372.7592695082465,1.0508005592803955,2.5208122735631515
mc_quantile_715,official_pass5,"[800,1100)",4,650.0,160.88490673595837,489.1150932640416,481.1365431290832,1.0165827149255173,4.040155246301439
mc_quantile_715,official_pass5,"[1100,2000)",5,332.0,62.351098210136456,269.64890178986354,266.31651162310493,1.0125128935733232,5.324685683660125
mc_quantile_715,official_pass5,"[2000,3000)",3,38.0,19.28178931692015,18.71821068307985,8.45925911703179,2.212748235290817,1.970771455668497
observed_data,official_pass5,"[125,200)",3,71039.0,65607.68753211325,5431.312467886753,4379.20169500293,1.2402517276343719,1.0827846960042335
observed_data,official_pass5,"[200,300)",3,23363.0,19241.453351639655,4121.546648360343,3417.277980421728,1.2060905410603153,1.2142014209134118
observed_data,official_pass5,"[300,500)",5,21136.0,16137.910455291856,4998.089544708144,3672.270746965945,1.3610351439467254,1.3097110718611775
observed_data,official_pass5,"[500,800)",3,2466.0,998.9232289416432,1467.0767710583568,1379.1176438038235,1.0637792777503217,2.468658179680856
observed_data,official_pass5,"[800,1100)",4,711.0,197.48477733261768,513.5152226673822,486.78220804459943,1.0549178137183137,3.600277497857387
observed_data,official_pass5,"[1100,2000)",5,368.0,86.56091728728575,281.43908271271425,274.5991910630405,1.0249086372876586,4.251341269624607
observed_data,official_pass5,"[2000,3000)",3,38.0,21.54608877993475,16.45391122006525,9.11182379264999,1.8057758352765472,1.763661163198599
double_rayleigh_mixture,official_pass5,"[125,200)",3,66294.0,59858.24463345233,6435.755366547676,4288.371671842712,1.5007457046702843,1.1075166070431506
double_rayleigh_mixture,official_pass5,"[200,300)",3,16432.0,12459.423107752546,3972.576892247455,3198.4932081149827,1.2420151095423695,1.3188411580449197
double_rayleigh_mixture,official_pass5,"[300,500)",5,8210.0,4681.591491736364,3528.4085082636357,3151.288568384736,1.119671661828228,1.7536771447256236
double_rayleigh_mixture,official_pass5,"[500,800)",3,1790.0,650.0892546428452,1139.910745357155,1192.1186103474986,0.9562058132997981,2.7534680618331624
double_rayleigh_mixture,official_pass5,"[800,1100)",4,606.0,157.07914553487925,448.9208544651207,458.59852264688385,0.9788972975187388,3.85792778498046
double_rayleigh_mixture,official_pass5,"[1100,2000)",5,319.0,60.77577516263198,258.224224837368,260.6295550865449,0.9907710764100481,5.248801831755777
double_rayleigh_mixture,official_pass5,"[2000,3000)",3,5268.0,5476.077273850831,-208.07727385083172,8.935857591599595,-23.28565240861052,0.9620024949530142
