grouping,group_label,cell_ids,n_cells,is_single_cell_point,N0,N0_err,effective_energy_tev,true_energy_p16_tev,true_energy_p84_tev,E2_dnde,E2_dnde_err,chi2,ndof,chi2_over_ndof,ratio_to_stage_f_pl,ratio_to_stage_f_pl_err,ratio_to_stage_f_model,ratio_to_stage_f_model_err,ratio_to_full_array_pl_ref,ratio_to_full_array_pl_ref_err,observed_excess_total,model_counts_total,expected_stage_f_counts_total
nhit,"[125,200)",1;2;3;4,4,False,3.211021436514781e-12,1.929949983884791e-13,0.5601815415999363,0.28307583457870533,1.0669580108403334,7.632308116870955e-11,4.587316907839352e-12,7.234463093156571,3,2.411487697718857,1.0655855572294368,0.0640458766676736,1.0655855572294368,0.0640458766676736,1.2602061784645964,0.07574334030167931,6403.029978628871,6215.940800248538,5833.356841294116
nhit,"[200,300)",14;15;16;17,4,False,3.173586965157788e-12,1.2620042496772456e-13,0.8495001727542802,0.4697946604148837,1.5344172109174583,6.356371327347689e-11,2.527665923672125e-12,75.68121555867673,3,25.22707185289224,1.0531628335543728,0.041879929119310155,1.0531628335543728,0.041879929119310155,1.3988491945962136,0.0556264456471336,4940.99314341808,4426.766288381641,4203.306599266823
nhit,"[300,500)",26;27;28;29;30,5,False,3.1486865155895135e-12,8.948173223232566e-14,1.3395050173536476,0.7654050857965142,2.3397042905041956,4.960997273983314e-11,1.4098533705339659e-12,96.09589119463843,4,24.023972798659607,1.0448995566024528,0.029694738383973754,1.0448995566024528,0.029694738383973754,1.4948562379047452,0.04248194443738406,4147.588186822876,3754.6857938360176,3593.346145197516
nhit,"[500,800)",39;40;41;42;43,5,False,2.9492951179778755e-12,9.908630218813356e-14,2.4426887499876613,1.5083837140969725,3.9776189881669684,3.1122029538488355e-11,1.0455945235053309e-12,7.953702450986957,4,1.9884256127467392,0.9787310187301661,0.03288203913255334,0.9787310187301661,0.03288203913255334,1.4195011988439423,0.04769042063227116,1702.8854428214722,1653.8472215130464,1689.7872754240445
nhit,"[800,1100)",52;53;54;55,4,False,2.808620066965021e-12,1.4741793045344045e-13,4.35436928920645,2.911037304667401,6.752824360061673,1.8409077301226765e-11,9.66249621735703e-13,21.906919215343038,3,7.302306405114346,0.9320476484738421,0.048921011794409,0.9320476484738421,0.048921011794409,1.251207363001152,0.06567296238862684,568.9434294691202,523.0007246591479,561.1308880136355
nhit,"[1100,2000)",65;66;67;68;69,5,False,2.4558747090313873e-12,1.830959518094848e-13,8.569078429312613,5.56791944677243,14.471994073181692,8.232849444328269e-12,6.137940993366071e-13,34.96970613705053,4,8.742426534262632,0.8149882123332396,0.06076085310944822,0.8149882123332396,0.06076085310944822,0.8927164890626154,0.06655582821869928,299.66064746538314,240.39411541485373,294.9663710185777
nhit,"[2000,3000)",81;82;83,3,False,4.7206219627804555e-12,2.4575018533693666e-12,47.487830554091296,31.66670968347868,74.52764547068932,1.6859956026102407e-12,8.777100455946772e-13,3.404163465649527,2,1.7020817328247635,1.56655029688581,0.8155281842830875,1.56655029688581,0.8155281842830875,0.5958501964113625,0.3101928037357491,19.460146955911235,7.968953659657263,5.086944016734715
predE,"[2,2.5)",1,1,True,2.8741472975522283e-12,4.438798774875388e-13,0.32141131919278304,0.18599425343300766,0.5410890869657227,7.99067133060108e-11,1.2340697410641123e-11,1.2532169426967929e-30,0,,0.9537930251084991,0.14730265616316635,0.9537930251084991,0.14730265616316635,0.8992787167332738,0.1388835314566765,1315.135852381798,1315.1358523817978,1378.8482592774194
predE,"[2.5,3)",2;14;26,3,False,2.7839619516034994e-12,9.90125833449579e-14,0.664048150387189,0.3942947384809229,1.0613250785843604,6.204669359520335e-11,2.206712421962403e-12,3.046393234373428,2,1.523196617186714,0.9238647907392474,0.032857575348633886,0.9238647907392474,0.032857575348633886,1.1520602425072763,0.04097342663536161,7152.813151681469,6877.2363030719935,7443.985713070684
predE,"[3,3.25)",3;15;27;39,4,False,3.3117068978687902e-12,1.0381471756189939e-13,1.2865878992921789,0.8358597988500611,1.8826518361542686,5.3417122380203953e-11,1.6745091410230226e-12,20.732886186352506,3,6.910962062117502,1.098998281361938,0.03445117569251828,1.098998281361938,0.03445117569251828,1.5654260604185222,0.04907265930779376,4154.7318219000945,3705.481460501695,3371.68995015139
