cell_id,cell_index,nhit_bin,predE_bin,input_files,input_dir,events,truth_range_events,sumw_total
37,36,"[500,800)","[3,3.25)",9340,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_500_800/predE_3_3p25,27769,27732,10457155.919128418
38,37,"[500,800)","[3.25,3.5)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_500_800/predE_3p25_3p5,89513,88998,32134513.158996582
39,38,"[500,800)","[3.5,3.75)",9987,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_500_800/predE_3p5_3p75,68604,67855,23091089.38515377
40,39,"[500,800)","[3.75,4.0)",9288,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_500_800/predE_3p75_4p0,26703,25987,8289807.905752182
41,40,"[500,800)","[4.0,4.25)",6502,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_500_800/predE_4p0_4p25,10601,10475,2486122.6837911606
42,41,"[500,800)","[4.25,4.5)",4077,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_500_800/predE_4p25_4p5,5257,5174,904997.0192451477
43,42,"[500,800)","[4.5,4.75)",3990,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_500_800/predE_4p5_4p75,5154,5127,623813.811873436
44,43,"[500,800)","[4.75,5.0)",4136,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_500_800/predE_4p75_5p0,5397,5365,463604.03871154785
45,44,"[500,800)",>=5,9322,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_500_800/predE_ge_5,28138,27622,669104.6322937012
46,45,"[800,1100)","[3.25,3.5)",7898,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_800_1100/predE_3p25_3p5,15783,15783,5342978.480926514
47,46,"[800,1100)","[3.5,3.75)",9593,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_800_1100/predE_3p5_3p75,32787,32730,10622509.68058014
48,47,"[800,1100)","[3.75,4.0)",8931,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_800_1100/predE_3p75_4p0,22615,22350,6673800.961956024
49,48,"[800,1100)","[4.0,4.25)",5879,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_800_1100/predE_4p0_4p25,9020,8901,2068203.1447906494
50,49,"[800,1100)","[4.25,4.5)",2450,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_800_1100/predE_4p25_4p5,2841,2804,485669.5097427368
51,50,"[800,1100)","[4.5,4.75)",1212,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_800_1100/predE_4p5_4p75,1287,1279,136087.8495054245
52,51,"[800,1100)","[4.75,5.0)",1373,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_800_1100/predE_4p75_5p0,1482,1479,87769.87299156189
