tau,npts,chi2,ndof,chi2_ndof,max_abs_pull,max_overlap,group_index,nhit,cells,predE,E50,p16,p84,sigma68,excess,err,model,pull,obs_model_ratio
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,5,"[300,500)",26;27,"[2.5,3)..[3,3.25)",0.9730250303661069,0.6029138298940203,1.4789636468039842,0.19485112653964798,2347.4045565321944,86.33999909351289,2404.555754603212,-0.6619318817587466,0.9762321177366717
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,6,"[300,500)",28;29,"[3.25,3.5)..[3.5,3.75)",1.9407546888949936,1.293695730435672,2.9628253525026715,0.17993695366993046,1132.543274165495,66.74920767945119,903.2441084387942,3.43523427016334,1.253861789503428
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,7,"[300,500)",30,"[3.75,4.0)",5.198551667715338,3.061372893434971,8.056720123706725,0.21012102240389585,105.27744444227983,40.947802817217436,64.56428996012312,0.9942695744602428,1.6305831676814289
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,8,"[500,800)",40;41,"[3.25,3.5)..[3.5,3.75)",2.350555519025096,1.5877814746105643,3.4556351765856563,0.1688685778641441,1121.569821253116,48.0253076902885,1175.2220633167951,-1.117166024415257,0.9543471453282132
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,9,"[500,800)",42,"[3.75,4.0)",4.92505376794929,3.2153920609880586,7.305780741001346,0.17821634951131093,79.48698952925884,19.9126344432559,94.20255788919711,-0.7390066041674465,0.8437880171231973
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,10,"[800,1100)",52;53,"[3.25,3.5)..[3.5,3.75)",3.531790922435416,2.4856090153363892,4.981613660910575,0.1509686141122506,349.6078118405384,23.630323488252582,379.9385588707854,-1.2835519177435493,0.9201693370623055
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,11,"[800,1100)",54;55,"[3.75,4.0)..[4.0,4.25)",6.20747793335945,4.483390547037468,8.910285168502023,0.14914251590192396,163.90741082684397,18.71076131997723,120.66345663817403,2.311180900079087,1.3583848448693367
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,12,"[1100,2000)",65;66;67,"[3.5,3.75)..[4.0,4.25)",7.619364845557113,5.059728411330851,11.875295345148995,0.18525860676524575,230.37913754229874,18.044967787660394,252.04002486440604,-1.2003838176380432,0.9140577480352157
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,13,"[1100,2000)",68;69,"[4.25,4.5)..[4.5,4.75)",18.418943809807256,12.931820861154577,26.43621291199294,0.1552697805218073,51.059945170415524,11.355177445975228,27.665584289403885,2.060237366814873,1.8456123910591633
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,14,"[2000,3000)",81;82;83,"[4.5,4.75)..[5,6)",46.32823054335853,31.260270765976696,72.63878632274192,0.18308792189950296,16.453911220065258,7.7166112238426745,7.258593931871306,1.1916263527417827,2.26681797804101
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,1,"[125,200)",1;2,"[2,2.5)..[2.5,3)",0.4283518106748925,0.22777046771231627,0.7507889631341904,0.2590102330597204,4774.303519480607,344.0635064643145,5165.5204275890965,-1.137048541208963,0.9242637961474325
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,2,"[125,200)",3,"[3,3.25)",1.0245178310407024,0.6379131376068546,1.610532200966142,0.20110393306542518,657.0089484061609,135.1554329340624,442.03607489460103,1.5905603559158266,1.4863242746936842
