run,spectrum,cell_id,nhit_bin,predE_bin,N_on,B_on,excess,expected_counts,observed_over_expected,excess_minus_expected,pull_conservative,containment_r_opt
active_psfborrow_30cell,official_pass5,1,"[125,200)","[2,2.5)",21284,19968.864147618202,1315.135852381798,826.6158471987317,1.5909879502535333,488.52000518306636,2.405222731922757,0.5589009523391724
active_psfborrow_30cell,official_pass5,2,"[125,200)","[2.5,3)",40293,36471.56728338443,3821.432716615571,2334.4618805638493,1.636965138917826,1486.9708360517216,5.366882012505412,0.6565228700637817
active_psfborrow_30cell,official_pass5,3,"[125,200)","[3,3.25)",9462,8608.263008837717,853.7369911622827,375.02940232170016,2.2764534883852847,478.70758884058256,3.5611320292186948,0.6549341678619385
active_psfborrow_30cell,official_pass5,4,"[125,200)","[3.25,3.5)",7577,7164.275581530781,412.724418469219,148.2929721617196,2.78316910405657,264.4314463074994,2.177938277672722,0.5925980806350708
active_psfborrow_30cell,official_pass5,14,"[200,300)","[2.5,3)",10510,8063.048695781249,2446.951304218751,1789.9261544256358,1.3670682995321368,657.0251497931151,4.821036230207478,0.64971524477005
active_psfborrow_30cell,official_pass5,15,"[200,300)","[3,3.25)",4457,3054.242916298109,1402.7570837018911,684.5883506559871,2.049051933702552,718.168733045904,8.286489598919623,0.702869176864624
active_psfborrow_30cell,official_pass5,16,"[200,300)","[3.25,3.5)",2918,2326.62977858909,591.3702214109098,212.7113871138614,2.7801530958676777,378.65883429704843,5.228663288042571,0.6853578090667725
active_psfborrow_30cell,official_pass5,17,"[200,300)","[3.5,3.75)",2441,1941.0854659134725,499.9145340865275,93.82926401251014,5.32791703470971,406.0852700740174,6.134466721660013,0.6527048945426941
active_psfborrow_30cell,official_pass5,26,"[300,500)","[2.5,3)",1834,949.5708691528525,884.4291308471475,629.1194873976918,1.4058205930093277,255.30964344945562,4.8391164996494345,0.5843835473060608
active_psfborrow_30cell,official_pass5,27,"[300,500)","[3,3.25)",3067,1490.2521433497482,1576.7478566502518,1048.8023905673288,1.5033793504201889,527.9454660829231,7.820554297461672,0.6196183562278748
active_psfborrow_30cell,official_pass5,28,"[300,500)","[3.25,3.5)",1706,851.5580776600565,854.4419223399435,608.0046981650542,1.4053212498499303,246.43722417488937,4.872967961888915,0.7103378176689148
active_psfborrow_30cell,official_pass5,29,"[300,500)","[3.5,3.75)",1088,610.0835700288637,477.91642997113627,164.59855536807532,2.903527487847141,313.31787460306094,7.603361543091211,0.7223257422447205
