grouping,group_label,cell_ids,n_cells,is_single_cell_point,N0,N0_err,effective_energy_tev,true_energy_p16_tev,true_energy_p84_tev,E2_dnde,E2_dnde_err,chi2,ndof,chi2_over_ndof,ratio_to_stage_f_pl,ratio_to_stage_f_pl_err,ratio_to_stage_f_model,ratio_to_stage_f_model_err,ratio_to_full_array_pl_ref,ratio_to_full_array_pl_ref_err,observed_excess_total,model_counts_total,expected_stage_f_counts_total
nhit,"[100,200)",7;8;9,3,False,3.1110044530443665e-12,2.2669078185632128e-13,0.5502814072242369,0.2776442983077628,1.0649549010821362,6.494986412166151e-11,4.73272722730857e-12,70.12073820659437,2,35.060369103297184,1.017872693974717,0.07416972888017849,1.017872693974717,0.07416972888017849,1.05930403788045,0.07718872286913206,7841.944010928213,7257.241774080019,7129.812811601254
nhit,"[200,300)",17;18;19;20;21,5,False,3.3902101191323758e-12,1.3683188223257e-13,0.8716516845470703,0.4701322965144838,1.6146678125625058,6.263156011024565e-11,2.5278652224778616e-12,36.34324196353381,4,9.085810490883453,1.1092244833416205,0.044769282298327516,1.1092244833416205,0.044769282298327516,1.4030357060262124,0.05662776339780408,4871.715205282694,4556.586572094454,4107.90299035539
nhit,"[300,500)",28;29;30;31;32,5,False,3.1395127988590306e-12,1.103968133781163e-13,1.6222345204693662,1.030775481300512,2.7092902424969547,4.338744513570974e-11,1.5256620980621394e-12,16.674241278789975,4,4.168560319697494,1.0272001852056405,0.036120135324603724,1.0272001852056405,0.036120135324603724,1.4920429677117222,0.05246571669287781,2883.902671150252,2697.0189177277907,2625.602055540772
nhit,"[500,800)",38;39;40;41;42,5,False,2.7824970103210603e-12,1.1496327954890781e-13,2.7410393587842945,1.7982819014077183,4.3413309385068475,2.690654962096864e-11,1.1116867958162007e-12,3.893878521301604,4,0.973469630325401,0.9103901233894192,0.03761421265344183,0.9103901233894192,0.03761421265344183,1.328796233927324,0.05490132508242883,1268.5131567244568,1245.072316570628,1367.6250264394052
nhit,"[800,1100)",47;48;49,3,False,2.673301516071553e-12,1.9964551171415145e-13,5.019615140808662,3.4894942733706342,7.450664343058714,1.507653138694429e-11,1.1259342822070186e-12,17.101144094613076,2,8.550572047306538,0.8746630411626867,0.06532093345272566,0.8746630411626867,0.06532093345272566,1.1303237897529714,0.0844139989639204,369.46941678520625,330.44529500952365,377.7972538662018
nhit,"[1100,2000)",55;56;57,3,False,3.4387540896211173e-12,2.882118319362423e-13,9.960243656921554,6.8345653477135055,15.411138150248917,8.930809977469502e-12,7.48516770085341e-13,2.388163296593222,2,1.194081648296611,1.1251073220721308,0.09429846798234318,1.1251073220721308,0.09429846798234318,1.0743256998470674,0.09004231473941318,212.13513513513513,206.09204091721335,183.17545079846235
predE,"[2,3)",7;17,2,False,2.799439779126286e-12,1.3385813600747707e-13,0.5608073379155609,0.29670948341296893,0.965693728503585,5.824209860232336e-11,2.7849067567739935e-12,1.7360924078181903,1,1.7360924078181903,0.9159335361319789,0.04379631838039727,0.9159335361319789,0.04379631838039727,0.9624037387793387,0.04601833964073913,7752.975817923181,8180.10524366545,8930.893914213837
predE,"[3,3.25)",8;18;28,3,False,3.5097772137535066e-12,1.2452690030068324e-13,1.2772505979339408,0.8304070666522857,1.8735879366853003,5.5169200758387153e-11,1.9574033176769442e-12,43.24878413030114,2,21.62439206515057,1.1483449933086318,0.04074328191891205,1.1483449933086318,0.04074328191891205,1.608666631238844,0.057075494256537795,4439.303698435276,3496.081500404169,3044.4522515234703
predE,"[3.25,3.5)",9;19;29;38,4,False,3.013826868622375e-12,1.1489615008817114e-13,2.113479419840086,1.3804960126813628,3.045265771201106,3.52351752504523e-11,1.343270917818018e-12,40.99695796373162,3,13.665652654577206,0.9860776865607055,0.03759224892883891,0.9860776865607055,0.03759224892883891,1.4543331842685179,0.055443557676657096,3137.261222877013,2153.6787010027756,2184.086234132821
predE,"[3.5,3.75)",20;30;39;47,4,False,2.6895561585256442e-12,1.4158872861599135e-13,3.6317693677195413,2.381855736313637,5.272871364212757,2.058561837273912e-11,1.0837072592557038e-12,18.270068390326383,3,6.090022796775461,0.8799813095721553,0.04632564909760318,0.8799813095721553,0.04632564909760318,1.2344808560602942,0.06498788818976473,1151.1368554789608,910.3392472670487,1034.4983891869856
predE,"[3.75,4.0)",21;31;40;48;55,5,False,3.0330234790177704e-12,2.387544008085085e-13,6.451075309251775,4.010382172817823,9.551832217390281,1.3141529923848186e-11,1.0344786726450116e-12,12.002962076277552,4,3.000740519069388,0.9923585215235815,0.07811675901378407,0.9923585215235815,0.07811675901378407,1.1714693418487443,0.09221605527076636,663.0553531228402,445.38709576123176,448.81671905978385
predE,"[4.0,4.25)",32;41;49;56,4,False,4.789850012106621e-12,5.222139723185992e-13,10.95071921867672,6.833461852901767,15.745091998395095,1.1021403037972272e-11,1.2016097887066072e-12,12.350817206310206,3,4.116939068770068,1.5671650777570476,0.17086036065136748,1.5671650777570476,0.17086036065136748,1.4154389755259011,0.15431840414954015,269.8786349683215,197.00333589227466,125.70681843818844
predE,"[4.25,4.5)",42;57,2,False,4.209711971254259e-12,1.3222870494252792e-12,18.210755309098953,12.522238019759566,25.399324669475632,4.778362789884362e-12,1.5009025029893478e-12,0.031089936542028095,1,0.031089936542028095,1.3773528549099379,0.4326319365725428,1.3773528549099379,0.4326319365725428,0.8716542526079668,0.27379002118678963,34.06801320036614,32.31443625939811,23.46126204639919
