cell,nhit,pred,is_fit,bgfrac,lima,relerr_pct,pull_F,obs_pass5,pull_pass5,r715,bg_frac_spread,bg_shift_sigma,offsource_sigma,label
1,"[125,200)","[2,2.5)",True,0.9475038484698257,nan,18.22153965488597,-1.09257,0.9385411172694289,-0.3593736963952705,1.0803590549125623,0.5893667994085163,3.2344511527075155,13.721310909243861,clean
2,"[125,200)","[2.5,3)",True,0.9092404281063118,nan,7.584432147909788,1.88999,1.3155442873753456,3.1625090621920844,1.9121360976765343,0.1954681955158184,2.5772291412704895,22.7940677952284,clean
3,"[125,200)","[3,3.25)",True,0.9305634169936419,nan,20.57132300282,1.57969,1.6068195727278491,1.835820620725554,nan,0.4438450119574114,2.1575909915787492,6.467491735308464,clean
14,"[200,300)","[2.5,3)",True,0.7766643699643593,nan,5.821612900570453,-1.42557,1.0335517910172112,0.5576223082855325,2.1935714139465428,0.05961861456493261,1.0240910136620498,8.809419802911496,clean
15,"[200,300)","[3,3.25)",True,0.7055765552912037,nan,6.644187842401641,5.53795,1.7099696941167617,6.2489851860375865,1.5204010100163738,0.11065295816182721,1.6654098406981526,6.173433569613093,background
16,"[200,300)","[3.25,3.5)",True,0.857987161968377,nan,17.768513805288464,2.12991,1.712535441535435,2.3416166574258144,3.6496713117084476,0.5063992113211871,2.8499806842059403,3.688452637892718,mixed
26,"[300,500)","[2.5,3)",True,0.5497145029787364,nan,6.455623944725199,-2.37572,0.9600558097450744,-0.6444940581133405,1.748125421735463,0.13116767101133708,2.031835685201465,3.220889807249731,background
27,"[300,500)","[3,3.25)",True,0.5038862226947515,nan,4.463436027609783,1.33548,1.1441861366409245,2.823303128534457,1.986194473663879,0.05464100504394937,1.224191513129185,2.7163122269115996,clean
28,"[300,500)","[3.25,3.5)",True,0.5307754482084533,nan,6.383891577728912,1.55813,1.1807610831984638,2.3980454053694285,5.829135591706887,0.09674272001234833,1.5154192209317696,2.3093163668092527,clean
29,"[300,500)","[3.5,3.75)",True,0.6948104882269152,nan,12.932322292564724,3.00981,1.7106320564109967,3.212267242257793,2.7876419280026354,0.4362395178839849,3.3732496609274527,2.50725255250257,mixed
30,"[300,500)","[3.75,4.0)",True,0.881843496697778,nan,38.895133743171144,1.04622,1.6775482918995033,1.038412612606362,nan,1.150021548415038,2.956723470881363,3.85799568987316,clean
40,"[500,800)","[3.25,3.5)",True,0.343618025918807,nan,5.1962528177137095,-1.41263,0.9865771136569088,-0.26183313352788967,1.190339281996536,0.08101615020424734,1.5591264137123624,1.0765431731042217,clean
41,"[500,800)","[3.5,3.75)",True,0.3498235399117384,nan,7.557903686943209,-0.886141,0.9764436458468868,-0.31919754182614946,6.2270557937829105,0.1653962418601952,2.188387795228569,0.8640678968747268,clean
