cell_id,nhit_bin,predE_bin,input_files,raw_events,selected_events,positive_baseline_weight_events,sum_baseline_weight,effective_events,max_radius_deg,weighted_r712979_deg,unweighted_r712979_deg,weighted_survival_at_5deg,unweighted_survival_at_5deg,missing_crab_probability_mass,angle_check_max_absdiff_rad
1,"[100,200)","[2,2.5)",10000,355123,318520,278820,130014327.14392208,36849.065208978915,85.19041230373051,6.418721052532143,0.8216096434573996,0.29521665219530424,0.08721901293482356,0.0,3.120514914176087e-13
2,"[100,200)","[2.5,3)",10000,570475,533990,495234,225588590.40473148,134003.32553337765,92.32809435314189,1.0513425563452783,0.7461981162841611,0.20424892068366768,0.1045094477424671,0.0,9.063264190794368e-13
3,"[100,200)","[3,3.25)",10000,119345,109712,106536,43210422.74230038,46860.288314268306,95.51844818880843,1.0348208952095133,0.8396813886781859,0.17930385034194574,0.13479838121627533,0.0,7.395655810850388e-13
