cell_id,nhit_bin,predE_bin,N_on,B_on,excess,error_conservative,error_sqrt_n,pl_model,pl_pull,logpar_model,logpar_pull,preferred_model,preferred_counts,preferred_pull
1,"[125,200)","[2,2.5)",21284,19458.568228583776,1825.4317714162244,201.8478838843345,145.89036979869508,2080.3158992399444,-1.2627535296321317,1585.3153980796678,1.189590738905894,logpar,1585.3153980796678,1.189590738905894
2,"[125,200)","[2.5,3)",40293,35965.0145618443,4327.985438155702,276.1485371350793,200.73116349984124,4341.903740339464,-0.050401506117536785,3970.7480402236733,1.293642188505543,logpar,3970.7480402236733,1.293642188505543
3,"[125,200)","[3,3.25)",9462,8517.20235058434,944.7976494156592,134.08654798518882,97.27281223445738,567.0024392107315,2.817547441423124,571.5020905471614,2.7839896281745724,logpar,571.5020905471614,2.7839896281745724
4,"[125,200)","[3.25,3.5)",7577,6789.891710843769,787.108289156231,119.86196940999997,87.04596486914255,213.09234691874744,4.788974727037932,217.8371583367215,4.749389098324091,logpar,217.8371583367215,4.749389098324091
14,"[200,300)","[2.5,3)",10510,8054.957184973014,2455.0428150269863,136.25328320804977,102.51829105091443,3092.5039797577488,-4.678501315505193,2952.0579267786534,-3.6477294348405374,logpar,2952.0579267786534,-3.6477294348405374
15,"[200,300)","[3,3.25)",4457,3032.4125244861643,1424.5874755138357,86.54139197220117,66.76076692189807,982.1371541125338,5.112586143095847,1022.6399570382724,4.644569602077545,logpar,1022.6399570382724,4.644569602077545
16,"[200,300)","[3.25,3.5)",2918,2284.694142538827,633.3058574611732,72.12970360772896,54.01851534427802,294.1861248073397,4.701526773187734,308.40749549878785,4.504362914470251,logpar,308.40749549878785,4.504362914470251
17,"[200,300)","[3.5,3.75)",2441,1881.765301336673,559.234698663327,65.74773989527452,49.4064773081425,130.38922068148943,6.522588893016229,133.5642648732513,6.474297587538364,logpar,133.5642648732513,6.474297587538364
26,"[300,500)","[2.5,3)",1834,911.7475439601089,922.2524560398911,52.39988114452273,42.82522621072771,1000.7963549574316,-1.4989327685860718,998.7298753617238,-1.4594960456284694,logpar,998.7298753617238,-1.4594960456284694
27,"[300,500)","[3,3.25)",3067,1499.233915977259,1567.766084022741,67.57391446392062,55.380501984001555,1444.5071229205319,1.8240612828197225,1539.1583953885017,0.4233540244218606,logpar,1539.1583953885017,0.4233540244218606
28,"[300,500)","[3.25,3.5)",1706,852.6237510290774,853.3762489709226,50.58284048003905,41.30375285612676,802.5461721607517,1.0048877510196252,866.6764404409772,-0.2629388018512553,logpar,866.6764404409772,-0.2629388018512553
