cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form,annulus_inner_deg,annulus_outer_deg,surface_fit_chi2,surface_fit_ndof,surface_condition_number,annulus_residual_rms
1,"[125,200)","[2,2.5)",3939808,608464,3331344,3137,0.012947561755783479,43.47639258630079,0.0,1.0488365505282944,0.7816073894500732,0.4946882128715515,0.5589009523391724,996.2718254372742,,,0.0,192,3760,67851.0,242285,241198,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,29567.86561486868,3754,24.829738928312427,3.5314140036848647
2,"[125,200)","[2.5,3)",9200327,1341799,7858528,6432,0.012027420724113558,43.47639258630079,0.0,2.4492663689226304,0.7211480140686035,0.4564227759838104,0.6565228700637817,2212.6134182074325,,,0.0,164,3760,153090.0,534778,527407,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,60497.752242519084,3754,26.363624913770817,4.910071175262639
3,"[125,200)","[3,3.25)",2149690,282556,1867134,2110,0.018693575965908586,43.47639258630079,0.0,0.5722800309825172,0.7878195643424988,0.49862000346183777,0.6549341678619385,566.8623703685353,,,0.0,192,3760,32662.0,112873,109585,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,10376.334074456989,3754,24.191595166942555,1.7343579593658143
4,"[125,200)","[3.25,3.5)",1021240,128223,893017,2914,0.056359275878075196,43.47639258630079,0.0,0.2718695527450869,1.0632951259613037,0.6729716062545776,0.5925980806350708,673.7021974462117,,,0.0,360,4400,19921.0,51704,49190,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,5556.525823346912,4394,35.126958118358026,1.1943428885278107
5,"[125,200)","[3.5,3.75)",496152,61824,434328,3507,0.13789713746461152,43.47639258630079,0.0,0.1320831756820927,1.339789867401123,0.8479682803153992,0.571363091468811,621.4684329318575,,,0.0,556,5032,11717.0,25432,23241,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,3569.459374235363,5026,48.73852589061102,0.9950173300021149
6,"[125,200)","[3.75,4.0)",226753,27943,198810,2763,0.23255618213955054,43.47639258630079,0.0,0.06036508234460723,1.5549670457839966,0.9841563105583191,0.5086243748664856,486.0644679269013,,,0.0,756,5648,6248.0,11881,10304,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,2673.5517242911137,5642,65.70651812355179,0.9278710752600055
7,"[125,200)","[4.0,4.25)",95276,11601,83675,1744,0.340758108636186,43.47639258630079,0.0,0.02536391397452205,1.7794854640960693,1.1262567043304443,0.42438438534736633,377.2623248870349,,,0.0,1004,6280,2898.0,5118,4142,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,1689.6748408632031,6274,87.04104390771474,0.6998722081845881
8,"[125,200)","[4.25,4.5)",37999,4631,33368,935,0.4435483870967742,43.47639258630079,0.0,0.010115909222866865,1.9745076894760132,1.2496883869171143,0.32057854533195496,196.65300086724142,,,0.0,1224,4928,879.0,2108,1587,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,671.3827356860761,4922,127.31209751261171,0.4196048712148975
9,"[125,200)","[4.5,4.75)",15749,1864,13885,441,0.5011363636363636,43.47639258630079,0.0,0.004192622288768922,2.0433428287506104,1.2932549715042114,0.255362868309021,73.54229140939754,,,0.0,1304,4928,358.0,880,602,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,324.14523227312213,4922,127.1846322931694,0.27282312839100875
10,"[125,200)","[4.75,5.0)",7028,812,6216,212,0.5623342175066313,43.47639258630079,0.0,0.0018709600257456333,2.217029094696045,1.4031829833984375,0.1933191567659378,57.76548047905044,,,0.0,1544,4928,154.0,377,279,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,148.1521060921794,4922,127.18387348850612,0.1788803684290169
