cell_id,cell_index,nhit_bin,predE_bin,input_files,input_dir,events,truth_range_events,sumw_total
38,37,"[500,800)","[2.5,3)",871,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_500_800/predE_2p5_3,913,913,374060.98455810547
39,38,"[500,800)","[3,3.25)",9340,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_500_800/predE_3_3p25,27769,27732,10457155.919128418
40,39,"[500,800)","[3.25,3.5)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_500_800/predE_3p25_3p5,89513,88998,32134513.158996582
41,40,"[500,800)","[3.5,3.75)",9987,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_500_800/predE_3p5_3p75,68604,67855,23091089.38515377
42,41,"[500,800)","[3.75,4.0)",9288,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_500_800/predE_3p75_4p0,26703,25987,8289807.905752182
43,42,"[500,800)","[4.0,4.25)",6502,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_500_800/predE_4p0_4p25,10601,10475,2486122.6837911606
44,43,"[500,800)","[4.25,4.5)",4077,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_500_800/predE_4p25_4p5,5257,5174,904997.0192451477
45,44,"[500,800)","[4.5,4.75)",3990,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_500_800/predE_4p5_4p75,5154,5127,623813.811873436
46,45,"[500,800)","[4.75,5.0)",4136,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_500_800/predE_4p75_5p0,5397,5365,463604.03871154785
47,46,"[500,800)","[5,6)",9301,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_500_800/predE_5_6,27712,27208,666430.566986084
48,47,"[500,800)",>=6,415,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_500_800/predE_ge_6,426,414,2674.0653076171875
49,48,"[800,1100)","[2,2.5)",0,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_800_1100/predE_2_2p5,0,0,0.0
50,49,"[800,1100)","[2.5,3)",5,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_800_1100/predE_2p5_3,5,5,1851.4540100097656
51,50,"[800,1100)","[3,3.25)",1034,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_800_1100/predE_3_3p25,1093,1093,393677.6619567871
52,51,"[800,1100)","[3.25,3.5)",7898,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_800_1100/predE_3p25_3p5,15783,15783,5342978.480926514
53,52,"[800,1100)","[3.5,3.75)",9593,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_800_1100/predE_3p5_3p75,32787,32730,10622509.68058014
54,53,"[800,1100)","[3.75,4.0)",8931,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_800_1100/predE_3p75_4p0,22615,22350,6673800.961956024
55,54,"[800,1100)","[4.0,4.25)",5879,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_800_1100/predE_4p0_4p25,9020,8901,2068203.1447906494
56,55,"[800,1100)","[4.25,4.5)",2450,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_800_1100/predE_4p25_4p5,2841,2804,485669.5097427368
