logE_true_lo,logE_true_hi,theta_true_deg_lo,theta_true_deg_hi,denominator_count,denominator_sumw
2.1,2.2,48.0,49.0,42929748,16566896057.371216
2.1,2.2,49.0,50.0,42742976,16494819409.951172
2.2,2.3,0.0,1.0,521749,201346661.7842102
2.2,2.3,1.0,2.0,1556832,600792576.8115234
2.2,2.3,2.0,3.0,2602397,1004283570.428009
2.2,2.3,3.0,4.0,3636523,1403360172.327118
2.2,2.3,4.0,5.0,4657320,1797293018.0236816
2.2,2.3,5.0,6.0,5679925,2191923583.820343
2.2,2.3,6.0,7.0,6694026,2583272395.3408813
2.2,2.3,7.0,8.0,7715718,2977550627.923279
2.2,2.3,8.0,9.0,8706920,3360062551.9592285
2.2,2.3,9.0,10.0,9728083,3754136639.667206
2.2,2.3,10.0,11.0,10680290,4121600114.9734497
2.2,2.3,11.0,12.0,11658640,4499152360.510254
2.2,2.3,12.0,13.0,12576207,4853248012.6597595
2.2,2.3,13.0,14.0,13513496,5214954525.325928
2.2,2.3,14.0,15.0,14453611,5577751611.555634
2.2,2.3,15.0,16.0,15340796,5920122633.129272
2.2,2.3,16.0,17.0,16216149,6257927601.481476
2.2,2.3,17.0,18.0,17081668,6591937559.067993
2.2,2.3,18.0,19.0,17933490,6920661746.626282
2.2,2.3,19.0,20.0,18737642,7230989741.058655
2.2,2.3,20.0,21.0,19570841,7552527180.0416565
2.2,2.3,21.0,22.0,20305931,7836203655.915985
2.2,2.3,22.0,23.0,21094251,8140421968.586884
2.2,2.3,23.0,24.0,21801432,8413328162.230225
2.2,2.3,24.0,25.0,22496247,8681462228.242035
2.2,2.3,25.0,26.0,23153457,8935084256.441803
2.2,2.3,26.0,27.0,23811044,9188851771.63147
2.2,2.3,27.0,28.0,24438189,9430871501.81717
2.2,2.3,28.0,29.0,24992078,9644621218.920593
2.2,2.3,29.0,30.0,25543355,9857362946.587372
2.2,2.3,30.0,31.0,26084040,10066017145.880127
2.2,2.3,31.0,32.0,26567293,10252507926.595001
2.2,2.3,32.0,33.0,27036275,10433491426.586151
2.2,2.3,33.0,34.0,27430499,10585625280.978241
2.2,2.3,34.0,35.0,27834362,10741478894.24469
2.2,2.3,35.0,36.0,28182114,10875678872.258606
2.2,2.3,36.0,37.0,28489494,10994299007.417908
2.2,2.3,37.0,38.0,28793418,11111585447.518616
2.2,2.3,38.0,39.0,29044597,11208517215.783234
2.2,2.3,39.0,40.0,29294782,11305065392.355652
2.2,2.3,40.0,41.0,29441372,11361635519.276733
2.2,2.3,41.0,42.0,29585754,11417353563.243713
2.2,2.3,42.0,43.0,29684641,11455514762.103424
2.2,2.3,43.0,44.0,29779207,11492008456.232758
2.2,2.3,44.0,45.0,29774560,11490215145.776367
2.2,2.3,45.0,46.0,29782527,11493289667.92099
2.2,2.3,46.0,47.0,29749846,11480677836.841736
2.2,2.3,47.0,48.0,29694210,11459207507.478333
2.2,2.3,48.0,49.0,29586221,11417533781.875763
2.2,2.3,49.0,50.0,29430991,11357629417.308197
2.3,2.4,0.0,1.0,359882,138881031.56158447
2.3,2.4,1.0,2.0,1079299,416509184.908905
2.3,2.4,2.0,3.0,1795692,692970355.079956
2.3,2.4,3.0,4.0,2500707,965040673.868866
2.3,2.4,4.0,5.0,3209005,1238377925.782013
2.3,2.4,5.0,6.0,3911659,1509537117.8251648
2.3,2.4,6.0,7.0,4621490,1783465965.3762817
2.3,2.4,7.0,8.0,5315497,2051288218.4230042
2.3,2.4,8.0,9.0,6008033,2318542802.074127
2.3,2.4,9.0,10.0,6677008,2576705027.717285
2.3,2.4,10.0,11.0,7352415,2837349408.052826
2.3,2.4,11.0,12.0,8029416,3098608924.3615723
2.3,2.4,12.0,13.0,8676803,3348440186.7741394
2.3,2.4,13.0,14.0,9329401,3600282411.2672424
2.3,2.4,14.0,15.0,9952972,3840922909.352417
2.3,2.4,15.0,16.0,10554278,4072971185.076599
2.3,2.4,16.0,17.0,11168464,4309989944.699707
2.3,2.4,17.0,18.0,11774781,4543972001.077423
2.3,2.4,18.0,19.0,12352722,4767003556.592102
2.3,2.4,19.0,20.0,12908157,4981349886.126251
2.3,2.4,20.0,21.0,13459573,5194145254.884796
2.3,2.4,21.0,22.0,14002725,5403751487.07962
2.3,2.4,22.0,23.0,14511157,5599959023.5469055
2.3,2.4,23.0,24.0,15014676,5794270598.259888
2.3,2.4,24.0,25.0,15487412,5976702793.635864
2.3,2.4,25.0,26.0,15954096,6156799479.030762
2.3,2.4,26.0,27.0,16388745,6324533629.355621
2.3,2.4,27.0,28.0,16804900,6485130813.12561
2.3,2.4,28.0,29.0,17237753,6652171874.235992
2.3,2.4,29.0,30.0,17580491,6784436913.8749695
2.3,2.4,30.0,31.0,17942442,6924116387.298889
2.3,2.4,31.0,32.0,18286455,7056873458.535004
2.3,2.4,32.0,33.0,18605246,7179897180.011902
2.3,2.4,33.0,34.0,18890667,7290043180.393524
2.3,2.4,34.0,35.0,19174627,7399625370.450897
2.3,2.4,35.0,36.0,19397035,7485454204.534149
2.3,2.4,36.0,37.0,19642380,7580134590.57312
2.3,2.4,37.0,38.0,19851047,7660660674.714203
2.3,2.4,38.0,39.0,19985751,7712643909.428558
2.3,2.4,39.0,40.0,20154778,7777872634.737854
2.3,2.4,40.0,41.0,20272439,7823278854.150238
2.3,2.4,41.0,42.0,20359238,7856775207.561951
2.3,2.4,42.0,43.0,20464409,7897361446.858063
2.3,2.4,43.0,44.0,20512289,7915838680.48233
2.3,2.4,44.0,45.0,20490860,7907569076.486206
2.3,2.4,45.0,46.0,20514841,7916823515.490875
2.3,2.4,46.0,47.0,20482584,7904375309.036865
2.3,2.4,47.0,48.0,20464486,7897391161.7074585
2.3,2.4,48.0,49.0,20364276,7858719407.70813
2.3,2.4,49.0,50.0,20296870,7832706951.365662
2.4,2.5,0.0,1.0,239689,95022819.01504517
2.4,2.5,1.0,2.0,720811,285930816.9621277
2.4,2.5,2.0,3.0,1207459,478972513.3645935
2.4,2.5,3.0,4.0,1674403,664147511.9353943
2.4,2.5,4.0,5.0,2155481,855323712.4061584
2.4,2.5,5.0,6.0,2621148,1039761377.0831299
2.4,2.5,6.0,7.0,3094522,1227511684.9673462
2.4,2.5,7.0,8.0,3559502,1412084006.6062622
2.4,2.5,8.0,9.0,4021432,1595417188.8608398
2.4,2.5,9.0,10.0,4466462,1771934943.0795288
2.4,2.5,10.0,11.0,4935791,1958127412.2338562
2.4,2.5,11.0,12.0,5371562,2130673452.7531128
2.4,2.5,12.0,13.0,5809882,2305384676.015442
2.4,2.5,13.0,14.0,6247998,2478560633.848694
2.4,2.5,14.0,15.0,6677710,2649025987.294983
2.4,2.5,15.0,16.0,7072379,2805767088.4877625
2.4,2.5,16.0,17.0,7495862,2973554519.599304
2.4,2.5,17.0,18.0,7885625,3128442888.592682
2.4,2.5,18.0,19.0,8261727,3277663379.433441
2.4,2.5,19.0,20.0,8636696,3426517732.005493
2.4,2.5,20.0,21.0,9012291,3574720928.182831
2.4,2.5,21.0,22.0,9357052,3712013828.209961
2.4,2.5,22.0,23.0,9731499,3860490516.9098816
2.4,2.5,23.0,24.0,10066537,3993252172.2013245
2.4,2.5,24.0,25.0,10381197,4118257288.9825745
2.4,2.5,25.0,26.0,10684298,4238747997.5842896
2.4,2.5,26.0,27.0,10974374,4353555399.456604
2.4,2.5,27.0,28.0,11283702,4476339447.196594
2.4,2.5,28.0,29.0,11534253,4576159561.331818
2.4,2.5,29.0,30.0,11799984,4681341940.42334
2.4,2.5,30.0,31.0,12012858,4765472282.289124
2.4,2.5,31.0,32.0,12245147,4857819878.236176
2.4,2.5,32.0,33.0,12455579,4941155035.793671
2.4,2.5,33.0,34.0,12692010,5035025200.194275
2.4,2.5,34.0,35.0,12828603,5089094458.66391
2.4,2.5,35.0,36.0,13015980,5163724463.852417
2.4,2.5,36.0,37.0,13163502,5222048921.4747925
2.4,2.5,37.0,38.0,13266226,5262681033.590027
2.4,2.5,38.0,39.0,13382184,5309512398.509644
2.4,2.5,39.0,40.0,13484951,5349086024.385712
2.4,2.5,40.0,41.0,13583116,5389063380.551636
2.4,2.5,41.0,42.0,13650424,5415569154.042725
2.4,2.5,42.0,43.0,13699480,5434702112.981079
2.4,2.5,43.0,44.0,13741347,5451301356.000458
2.4,2.5,44.0,45.0,13741458,5451641625.404236
2.4,2.5,45.0,46.0,13738671,5450125922.600555
2.4,2.5,46.0,47.0,13720906,5443316441.188171
2.4,2.5,47.0,48.0,13704228,5436212587.548218
2.4,2.5,48.0,49.0,13654593,5416530848.986847
2.4,2.5,49.0,50.0,13575749,5385822855.028717
2.5,2.6,0.0,1.0,146330,65523977.67852783
2.5,2.6,1.0,2.0,443930,198783977.38555908
2.5,2.6,2.0,3.0,734220,328770688.79333496
2.5,2.6,3.0,4.0,1020320,456881192.5439453
2.5,2.6,4.0,5.0,1309711,586465347.7026062
2.5,2.6,5.0,6.0,1598697,715868151.0471497
2.5,2.6,6.0,7.0,1886340,844669582.8204346
2.5,2.6,7.0,8.0,2171871,972525298.4667664
2.5,2.6,8.0,9.0,2448625,1096450829.2427063
2.5,2.6,9.0,10.0,2732212,1223436056.1812744
2.5,2.6,10.0,11.0,2994784,1341011138.9873047
2.5,2.6,11.0,12.0,3279809,1468640276.811554
2.5,2.6,12.0,13.0,3545088,1587427506.1875
2.5,2.6,13.0,14.0,3816114,1708788140.1948853
2.5,2.6,14.0,15.0,4072712,1823688171.7971191
2.5,2.6,15.0,16.0,4320015,1934426067.3197937
2.5,2.6,16.0,17.0,4577199,2049588499.3246765
2.5,2.6,17.0,18.0,4816004,2156521141.2266846
2.5,2.6,18.0,19.0,5050907,2261706536.761566
2.5,2.6,19.0,20.0,5269475,2359577409.1270447
2.5,2.6,20.0,21.0,5513315,2468764634.693451
2.5,2.6,21.0,22.0,5724390,2563280274.6066284
2.5,2.6,22.0,23.0,5940321,2659970345.160187
2.5,2.6,23.0,24.0,6140971,2749817855.0433044
2.5,2.6,24.0,25.0,6341719,2839709247.587616
2.5,2.6,25.0,26.0,6532271,2925035052.238739
2.5,2.6,26.0,27.0,6699158,2999764089.776062
2.5,2.6,27.0,28.0,6869374,3075983794.4472046
2.5,2.6,28.0,29.0,7046390,3155248418.4664917
2.5,2.6,29.0,30.0,7198765,3223479239.8890686
2.5,2.6,30.0,31.0,7341540,3287411351.6436768
2.5,2.6,31.0,32.0,7470562,3345185114.0166626
2.5,2.6,32.0,33.0,7598821,3402617218.5274963
2.5,2.6,33.0,34.0,7719417,3456617967.6023254
2.5,2.6,34.0,35.0,7827812,3505155325.3585205
2.5,2.6,35.0,36.0,7938305,3554632130.2900696
2.5,2.6,36.0,37.0,8028773,3595142095.52359
2.5,2.6,37.0,38.0,8099680,3626892992.026367
2.5,2.6,38.0,39.0,8176437,3661263414.7330627
2.5,2.6,39.0,40.0,8227195,3683991946.5379333
2.5,2.6,40.0,41.0,8280298,3707770527.7356567
2.5,2.6,41.0,42.0,8317403,3724385488.384613
2.5,2.6,42.0,43.0,8364377,3745419612.1286926
2.5,2.6,43.0,44.0,8379956,3752395611.911743
2.5,2.6,44.0,45.0,8379443,3752165899.613861
2.5,2.6,45.0,46.0,8395800,3759490273.99292
2.5,2.6,46.0,47.0,8374806,3750089533.287781
2.5,2.6,47.0,48.0,8360334,3743609228.463318
2.5,2.6,48.0,49.0,8328025,3729141831.5193176
2.5,2.6,49.0,50.0,8293694,3713769018.8515015
2.6,2.7,0.0,1.0,100740,45109584.57824707
2.6,2.7,1.0,2.0,301270,134903360.59051514
2.6,2.7,2.0,3.0,498229,223098106.16275024
2.6,2.7,3.0,4.0,702899,314745700.71932983
2.6,2.7,4.0,5.0,905760,405583257.17285156
2.6,2.7,5.0,6.0,1106620,495524801.32995605
2.6,2.7,6.0,7.0,1295609,580150722.3132629
2.6,2.7,7.0,8.0,1497109,670378847.1148987
2.6,2.7,8.0,9.0,1689138,756366026.159729
2.6,2.7,9.0,10.0,1881450,842479927.583313
2.6,2.7,10.0,11.0,2068511,926242524.3749695
2.6,2.7,11.0,12.0,2255548,1009994374.392456
2.6,2.7,12.0,13.0,2448383,1096342465.936493
2.6,2.7,13.0,14.0,2622929,1174501067.7807922
2.6,2.7,14.0,15.0,2786052,1247544652.9024658
2.6,2.7,15.0,16.0,2973340,1331408896.2664795
2.6,2.7,16.0,17.0,3137930,1405109377.9592896
2.6,2.7,17.0,18.0,3307330,1480963692.3086548
2.6,2.7,18.0,19.0,3469928,1553772191.7453613
2.6,2.7,19.0,20.0,3650492,1634625547.2127686
2.6,2.7,20.0,21.0,3801765,1702362912.5880432
2.6,2.7,21.0,22.0,3942101,1765202883.417633
2.6,2.7,22.0,23.0,4080268,1827071614.5316162
2.6,2.7,23.0,24.0,4223335,1891134478.7052917
2.6,2.7,24.0,25.0,4367829,1955836328.1598206
2.6,2.7,25.0,26.0,4504449,2017012340.1221008
2.6,2.7,26.0,27.0,4608782,2063730806.3500366
2.6,2.7,27.0,28.0,4733508,2119580896.1466064
2.6,2.7,28.0,29.0,4849697,2171608268.8144836
2.6,2.7,29.0,30.0,4945657,2214577454.203888
2.6,2.7,30.0,31.0,5047633,2260240497.651886
2.6,2.7,31.0,32.0,5151352,2306684025.5739746
2.6,2.7,32.0,33.0,5242169,2347350266.815216
2.6,2.7,33.0,34.0,5310739,2378054696.183197
2.6,2.7,34.0,35.0,5389538,2413339490.25885
2.6,2.7,35.0,36.0,5459840,2444819478.4960938
2.6,2.7,36.0,37.0,5522070,2472684968.354187
2.6,2.7,37.0,38.0,5582462,2499727434.423767
2.6,2.7,38.0,39.0,5622289,2517561258.3764954
2.6,2.7,39.0,40.0,5674533,2540955194.615387
2.6,2.7,40.0,41.0,5703819,2554068945.796234
2.6,2.7,41.0,42.0,5735738,2568361707.659973
2.6,2.7,42.0,43.0,5755850,2577367504.4143677
2.6,2.7,43.0,44.0,5765000,2581464712.0666504
2.6,2.7,44.0,45.0,5769392,2583431371.739746
2.6,2.7,45.0,46.0,5767810,2582722980.2090454
2.6,2.7,46.0,47.0,5773367,2585211306.2116394
2.6,2.7,47.0,48.0,5763236,2580674824.165161
2.6,2.7,48.0,49.0,5737874,2569318170.561096
2.6,2.7,49.0,50.0,5701986,2553248160.9190063
2.7,2.8,0.0,1.0,68810,30811897.109680176
2.7,2.8,1.0,2.0,210230,94137263.90594482
2.7,2.8,2.0,3.0,346629,155214315.9894104
2.7,2.8,3.0,4.0,490241,219521221.49319458
2.7,2.8,4.0,5.0,623361,279129995.5556946
2.7,2.8,5.0,6.0,756252,338636227.48132324
2.7,2.8,6.0,7.0,896657,401507095.2866516
2.7,2.8,7.0,8.0,1030911,461623654.4286804
2.7,2.8,8.0,9.0,1160439,519623994.6237488
2.7,2.8,9.0,10.0,1298178,581301074.9317017
2.7,2.8,10.0,11.0,1426708,638854528.4342041
2.7,2.8,11.0,12.0,1556778,697097566.6126099
2.7,2.8,12.0,13.0,1683558,753867401.1652222
2.7,2.8,13.0,14.0,1805278,808371457.4970093
2.7,2.8,14.0,15.0,1927891,863275383.3843689
2.7,2.8,15.0,16.0,2048551,917304790.5236511
2.7,2.8,16.0,17.0,2163092,968594218.0318604
2.7,2.8,17.0,18.0,2289733,1025301810.8507385
2.7,2.8,18.0,19.0,2396887,1073283470.8258972
2.7,2.8,19.0,20.0,2507820,1122957299.9505615
2.7,2.8,20.0,21.0,2606040,1166938473.2409668
2.7,2.8,21.0,22.0,2714490,1215500459.0213013
2.7,2.8,22.0,23.0,2816652,1261246789.9691162
2.7,2.8,23.0,24.0,2915348,1305441107.6138916
2.7,2.8,24.0,25.0,3010722,1348147892.600647
2.7,2.8,25.0,26.0,3096870,1386723438.4835815
2.7,2.8,26.0,27.0,3185294,1426318136.7836304
2.7,2.8,27.0,28.0,3267465,1463112852.6301575
2.7,2.8,28.0,29.0,3347260,1498843637.8338623
2.7,2.8,29.0,30.0,3415063,1529204618.2106628
2.7,2.8,30.0,31.0,3478019,1557395197.9873962
2.7,2.8,31.0,32.0,3544287,1587068832.5995789
2.7,2.8,32.0,33.0,3609163,1616119154.309906
2.7,2.8,33.0,34.0,3656890,1637490458.093567
2.7,2.8,34.0,35.0,3701924,1657655884.2589111
2.7,2.8,35.0,36.0,3769748,1688026268.0631104
2.7,2.8,36.0,37.0,3803356,1703075334.1590576
2.7,2.8,37.0,38.0,3840524,1719718505.09021
2.7,2.8,38.0,39.0,3875400,1735335359.0881348
2.7,2.8,39.0,40.0,3899963,1746334234.6687927
2.7,2.8,40.0,41.0,3926965,1758425251.174469
2.7,2.8,41.0,42.0,3943905,1766010682.6094055
2.7,2.8,42.0,43.0,3961666,1773963743.2774048
2.7,2.8,43.0,44.0,3964790,1775362615.048523
2.7,2.8,44.0,45.0,3977212,1780924966.2459717
2.7,2.8,45.0,46.0,3967778,1776700588.4326782
2.7,2.8,46.0,47.0,3972312,1778730833.1862793
2.7,2.8,47.0,48.0,3976722,1780705552.9400024
2.7,2.8,48.0,49.0,3940572,1764518224.3465576
2.7,2.8,49.0,50.0,3926717,1758314201.1747131
2.8,2.9,0.0,1.0,48360,21654749.952392578
2.8,2.9,1.0,2.0,145410,65112018.00201416
2.8,2.9,2.0,3.0,240330,107615509.84405518
2.8,2.9,3.0,4.0,331610,148489074.2703247
2.8,2.9,4.0,5.0,426639,191041374.37838745
2.8,2.9,5.0,6.0,524619,234915079.9270935
2.8,2.9,6.0,7.0,613988,274932932.460083
2.8,2.9,7.0,8.0,710789,318278702.72769165
2.8,2.9,8.0,9.0,803479,359783640.1364441
2.8,2.9,9.0,10.0,893707,400186137.6282654
2.8,2.9,10.0,11.0,984741,440949547.6192932
2.8,2.9,11.0,12.0,1071460,479780777.1710205
2.8,2.9,12.0,13.0,1167060,522588760.947876
2.8,2.9,13.0,14.0,1244990,557484432.2421265
2.8,2.9,14.0,15.0,1334519,597573929.9362488
2.8,2.9,15.0,16.0,1409000,630925200.2258301
2.8,2.9,16.0,17.0,1487639,666138349.1403503
2.8,2.9,17.0,18.0,1569141,702633498.6568909
2.8,2.9,18.0,19.0,1650832,739213279.0200195
2.8,2.9,19.0,20.0,1725290,772554250.317688
2.8,2.9,20.0,21.0,1797100,804709494.1986084
2.8,2.9,21.0,22.0,1873939,839116635.0503845
2.8,2.9,22.0,23.0,1935849,866838834.5862122
2.8,2.9,23.0,24.0,2014909,902240499.8309631
2.8,2.9,24.0,25.0,2063081,923811066.7190247
2.8,2.9,25.0,26.0,2128461,953087070.6869202
2.8,2.9,26.0,27.0,2181557,976862517.408844
2.8,2.9,27.0,28.0,2246439,1005915525.8127136
2.8,2.9,28.0,29.0,2301011,1030351899.1460876
2.8,2.9,29.0,30.0,2346501,1050721514.0206604
2.8,2.9,30.0,31.0,2385326,1068106660.1517944
2.8,2.9,31.0,32.0,2445550,1095073898.802185
2.8,2.9,32.0,33.0,2479577,1110310585.6638489
2.8,2.9,33.0,34.0,2519278,1128087989.052185
2.8,2.9,34.0,35.0,2554138,1143697678.5339966
2.8,2.9,35.0,36.0,2588321,1159004219.427765
2.8,2.9,36.0,37.0,2622521,1174318372.6199036
2.8,2.9,37.0,38.0,2647147,1185345458.4827576
2.8,2.9,38.0,39.0,2671383,1196197909.2653503
