cell_id,nhit_bin,predE_bin,core_fraction,tail_fraction,sigma_core_deg,gamma_core,sigma_tail_deg,gamma_tail,kl_divergence,density_crossover_deg,survival_crossover_deg,empirical_survival_90deg,model_survival_90deg,boundary_flags
1,"[100,200)","[2,2.5)",0.6992361059888983,0.3007638940111017,0.32533131644410285,2.777401743539599,29.324828792860785,1000.0000000000003,0.027441157156745014,4.0375,0.597642117547581,0.0,0.001718078985696701,gamma_tail_excess:upper
2,"[100,200)","[2.5,3)",0.7863564346444897,0.21364356535551032,0.29064455050725196,2.9196946812394704,19.007607800447904,3.5496352320969056,0.021172663639205086,3.5125,0.692300814445766,1.759049039532493e-05,0.0027579476764510043,
3,"[100,200)","[3,3.25)",0.8163381481153313,0.18366185188466866,0.27897077736666054,2.483257733367249,19.887758195075346,4.77792652130032,0.016932999935866125,4.3375,0.8200000000000001,0.00019483569782294185,0.0012958259135872796,
