source_file_id,status,yyyymm,relative_path,obs_path,time_path,event_entries,time_entries,common_entries,entry_mismatch,selected_rows,parquet_relative_path,matched_mjd_min,matched_mjd_max,matched_mjd_start_utc_yyyymm,matched_mjd_end_utc_yyyymm,matched_span_seconds,matched_gap_count,matched_gap_seconds,rough_live_time_seconds,selected_mjd_min,selected_mjd_max
10,processed,202201,0101/Esg20220101_10.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_10.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_10.time.root,23341,23341,23341,False,15643,obs_events/yyyymm=202201/part-000010.parquet,59580.0835377,59580.124792,202201,202201,3564.37225475,3,259.806155926,3304.56609882,59580.0835377,59580.124792
11,processed,202201,0101/Esg20220101_11.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_11.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_11.time.root,22481,22481,22481,False,14924,obs_events/yyyymm=202201/part-000011.parquet,59580.1252704,59580.166461,202201,202201,3558.87050552,5,432.231420767,3126.63908475,59580.1252704,59580.166461
12,processed,202201,0101/Esg20220101_12.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_12.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_12.time.root,21758,21758,21758,False,14476,obs_events/yyyymm=202201/part-000012.parquet,59580.16694,59580.2079164,202201,202201,3540.35792111,9,817.453713343,2722.90420777,59580.16694,59580.2079163
13,processed,202201,0101/Esg20220101_13.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_13.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_13.time.root,22793,22793,22793,False,15040,obs_events/yyyymm=202201/part-000013.parquet,59580.2083951,59580.2495141,202201,202201,3552.67761766,8,682.554949215,2870.12266845,59580.2083951,59580.2495141
14,processed,202201,0101/Esg20220101_14.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_14.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_14.time.root,2749,2749,2749,False,1845,obs_events/yyyymm=202201/part-000014.parquet,59580.2499942,59580.2544403,202201,202201,384.137324989,1,84.7708569607,299.366468028,59580.2499942,59580.2544403
15,processed,202201,0101/Esg20220101_16.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_16.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_16.time.root,4963,4963,4963,False,3285,obs_events/yyyymm=202201/part-000015.parquet,59580.3664416,59580.3747984,202201,202201,722.030220414,0,0,722.030220414,59580.3664416,59580.3747984
16,processed,202201,0101/Esg20220101_17.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_17.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_17.time.root,23137,23137,23137,False,15289,obs_events/yyyymm=202201/part-000016.parquet,59580.3752842,59580.4161429,202201,202201,3530.19834096,4,339.370458573,3190.82788238,59580.3752842,59580.4161429
17,processed,202201,0101/Esg20220101_18.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_18.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_18.time.root,23196,23196,23196,False,15386,obs_events/yyyymm=202201/part-000017.parquet,59580.4166256,59580.4581305,202201,202201,3586.02306268,3,298.402888211,3287.62017447,59580.4166256,59580.4581305
18,processed,202201,0101/Esg20220101_19.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_19.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_19.time.root,23261,23261,23261,False,15434,obs_events/yyyymm=202201/part-000018.parquet,59580.4586192,59580.4997869,202201,202201,3556.88747338,5,426.881351089,3130.00612229,59580.4586192,59580.4997869
19,processed,202201,0101/Esg20220101_20.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_20.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_20.time.root,27117,27117,27117,False,18049,obs_events/yyyymm=202201/part-000019.parquet,59580.5002698,59580.5415775,202201,202201,3568.98506228,6,513.5300186,3055.45504368,59580.5002698,59580.5415775
20,processed,202201,0101/Esg20220101_21.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_21.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_21.time.root,51036,51036,51036,False,34431,obs_events/yyyymm=202201/part-000020.parquet,59580.54207,59580.582897,202201,202201,3527.45236473,7,597.051502182,2930.40086254,59580.54207,59580.582897
21,processed,202201,0101/Esg20220101_22.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_22.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_22.time.root,115743,115743,115743,False,77839,obs_events/yyyymm=202201/part-000021.parquet,59580.5833791,59580.6247417,202201,202201,3573.7360084,8,720.736087044,2852.99992135,59580.5833791,59580.6247417
22,processed,202201,0101/Esg20220101_23.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_23.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_23.time.root,275581,275581,275581,False,175541,obs_events/yyyymm=202201/part-000022.parquet,59580.6252122,59580.6661695,202201,202201,3538.71415362,4,331.434009341,3207.28014428,59580.6252122,59580.6661695
23,processed,202201,0102/Esg20220102_00.root,/mnt/mydisk/WCDA_observation_eval/0102/Esg20220102_00.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0102/Esg20220102_00.time.root,316091,316091,316091,False,198900,obs_events/yyyymm=202201/part-000023.parquet,59580.6666101,59580.7080661,202201,202201,3581.79542203,4,329.347530263,3252.44789177,59580.6666101,59580.708066
24,processed,202201,0102/Esg20220102_01.root,/mnt/mydisk/WCDA_observation_eval/0102/Esg20220102_01.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0102/Esg20220102_01.time.root,148283,148283,148283,False,100119,obs_events/yyyymm=202201/part-000024.parquet,59580.7085089,59580.7499066,202201,202201,3576.75553788,4,337.397183594,3239.35835429,59580.708509,59580.7499066
25,processed,202201,0102/Esg20220102_02.root,/mnt/mydisk/WCDA_observation_eval/0102/Esg20220102_02.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0102/Esg20220102_02.time.root,83343,83343,83343,False,57151,obs_events/yyyymm=202201/part-000025.parquet,59580.7503603,59580.7912256,202201,202201,3530.75689317,8,678.940066136,2851.81682704,59580.7503603,59580.7912256
26,processed,202201,0102/Esg20220102_03.root,/mnt/mydisk/WCDA_observation_eval/0102/Esg20220102_03.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0102/Esg20220102_03.time.root,91737,91737,91737,False,62859,obs_events/yyyymm=202201/part-000026.parquet,59580.7916742,59580.8330179,202201,202201,3572.09551425,6,508.238050598,3063.85746365,59580.7916742,59580.8330179
27,processed,202201,0102/Esg20220102_04.root,/mnt/mydisk/WCDA_observation_eval/0102/Esg20220102_04.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0102/Esg20220102_04.time.root,177240,177240,177240,False,117998,obs_events/yyyymm=202201/part-000027.parquet,59580.8334543,59580.8748223,202201,202201,3574.19567385,3,252.492709877,3321.70296398,59580.8334543,59580.8748223
28,processed,202201,0102/Esg20220102_05.root,/mnt/mydisk/WCDA_observation_eval/0102/Esg20220102_05.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0102/Esg20220102_05.time.root,292138,292138,292138,False,185126,obs_events/yyyymm=202201/part-000028.parquet,59580.875246,59580.9166031,202201,202201,3573.25427507,1,82.2185070952,3491.03576797,59580.875246,59580.9166031
29,processed,202201,0102/Esg20220102_06.root,/mnt/mydisk/WCDA_observation_eval/0102/Esg20220102_06.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0102/Esg20220102_06.time.root,211728,211728,211728,False,139355,obs_events/yyyymm=202201/part-000029.parquet,59580.917021,59580.9578573,202201,202201,3528.25837147,1,82.5765291927,3445.68184228,59580.917021,59580.9578573
30,processed,202201,0102/Esg20220102_07.root,/mnt/mydisk/WCDA_observation_eval/0102/Esg20220102_07.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0102/Esg20220102_07.time.root,100778,100778,100778,False,68587,obs_events/yyyymm=202201/part-000030.parquet,59580.9582835,59580.9997417,202201,202201,3581.9913662,7,637.91039153,2944.08097467,59580.9582835,59580.9997417
31,processed,202201,0102/Esg20220102_08.root,/mnt/mydisk/WCDA_observation_eval/0102/Esg20220102_08.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0102/Esg20220102_08.time.root,51270,51270,51270,False,34988,obs_events/yyyymm=202201/part-000031.parquet,59581.0001828,59581.0412107,202201,202201,3544.81199384,2,170.896315807,3373.91567803,59581.0001828,59581.0412105
