scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
month,202201,,56,"[1100,2000)","[4.0,4.25)",23691
month,202201,,57,"[1100,2000)","[4.25,4.5)",12858
month,202201,,58,"[1100,2000)","[4.5,4.75)",5068
month,202201,,59,"[1100,2000)","[4.75,5.0)",1939
month,202201,,60,"[1100,2000)",>=5,850
month,202201,,61,"[2000,3000)","[4.0,4.25)",150
month,202201,,62,"[2000,3000)","[4.25,4.5)",781
month,202201,,63,"[2000,3000)","[4.5,4.75)",2828
month,202201,,64,"[2000,3000)","[4.75,5.0)",5885
month,202201,,65,"[2000,3000)",>=5,10580
month,202202,,1,"[30,60)","[2,3)",8704262
month,202202,,2,"[60,100)","[2,3)",11148748
month,202202,,3,"[60,100)","[3,3.25)",590806
month,202202,,4,"[60,100)","[3.25,3.5)",304220
month,202202,,5,"[60,100)","[3.5,3.75)",156523
month,202202,,6,"[60,100)","[3.75,4.0)",81754
month,202202,,7,"[100,200)","[2,3)",11429783
month,202202,,8,"[100,200)","[3,3.25)",1426919
month,202202,,9,"[100,200)","[3.25,3.5)",674161
month,202202,,10,"[100,200)","[3.5,3.75)",325336
month,202202,,11,"[100,200)","[3.75,4.0)",149192
month,202202,,12,"[100,200)","[4.0,4.25)",64303
month,202202,,13,"[100,200)","[4.25,4.5)",26774
month,202202,,14,"[100,200)","[4.5,4.75)",11946
month,202202,,15,"[100,200)","[4.75,5.0)",5683
month,202202,,16,"[100,200)",>=5,5546
month,202202,,17,"[200,300)","[2,3)",1698770
month,202202,,18,"[200,300)","[3,3.25)",750458
month,202202,,19,"[200,300)","[3.25,3.5)",354660
month,202202,,20,"[200,300)","[3.5,3.75)",168669
month,202202,,21,"[200,300)","[3.75,4.0)",80007
month,202202,,22,"[200,300)","[4.0,4.25)",33396
month,202202,,23,"[200,300)","[4.25,4.5)",12738
month,202202,,24,"[200,300)","[4.5,4.75)",4548
month,202202,,25,"[200,300)","[4.75,5.0)",1625
month,202202,,26,"[200,300)",>=5,980
month,202202,,27,"[300,500)","[2,3)",332958
month,202202,,28,"[300,500)","[3,3.25)",574449
month,202202,,29,"[300,500)","[3.25,3.5)",378246
month,202202,,30,"[300,500)","[3.5,3.75)",151274
month,202202,,31,"[300,500)","[3.75,4.0)",64745
month,202202,,32,"[300,500)","[4.0,4.25)",25430
month,202202,,33,"[300,500)","[4.25,4.5)",9979
month,202202,,34,"[300,500)","[4.5,4.75)",3968
month,202202,,35,"[300,500)","[4.75,5.0)",1417
month,202202,,36,"[300,500)",>=5,777
month,202202,,37,"[500,800)","[3,3.25)",79880
month,202202,,38,"[500,800)","[3.25,3.5)",230372
month,202202,,39,"[500,800)","[3.5,3.75)",136600
month,202202,,40,"[500,800)","[3.75,4.0)",44104
month,202202,,41,"[500,800)","[4.0,4.25)",12796
month,202202,,42,"[500,800)","[4.25,4.5)",3185
month,202202,,43,"[500,800)","[4.5,4.75)",1177
month,202202,,44,"[500,800)","[4.75,5.0)",484
month,202202,,45,"[500,800)",>=5,275
month,202202,,46,"[800,1100)","[3.25,3.5)",25238
month,202202,,47,"[800,1100)","[3.5,3.75)",59164
month,202202,,48,"[800,1100)","[3.75,4.0)",36502
