scope,yyyymm,source_file_id,step,count
file,202201,21,after_finite,81701
file,202201,21,after_cell_selection,77839
file,202201,22,input_entries,275581
file,202201,22,after_match_status,275581
file,202201,22,after_pincness,275581
file,202201,22,after_fitstat,275581
file,202201,22,after_theta,275581
file,202201,22,after_dcedge,197531
file,202201,22,after_finite,197531
file,202201,22,after_cell_selection,175541
file,202201,23,input_entries,316091
file,202201,23,after_match_status,316091
file,202201,23,after_pincness,316091
file,202201,23,after_fitstat,316091
file,202201,23,after_theta,316091
file,202201,23,after_dcedge,226873
file,202201,23,after_finite,226873
file,202201,23,after_cell_selection,198900
file,202201,24,input_entries,148283
file,202201,24,after_match_status,148283
file,202201,24,after_pincness,148283
file,202201,24,after_fitstat,148283
file,202201,24,after_theta,148283
file,202201,24,after_dcedge,106044
file,202201,24,after_finite,106044
file,202201,24,after_cell_selection,100119
file,202201,25,input_entries,83343
file,202201,25,after_match_status,83343
file,202201,25,after_pincness,83343
file,202201,25,after_fitstat,83343
file,202201,25,after_theta,83343
file,202201,25,after_dcedge,59379
file,202201,25,after_finite,59379
file,202201,25,after_cell_selection,57151
file,202201,26,input_entries,91737
file,202201,26,after_match_status,91737
file,202201,26,after_pincness,91737
file,202201,26,after_fitstat,91737
file,202201,26,after_theta,91737
file,202201,26,after_dcedge,65377
file,202201,26,after_finite,65377
file,202201,26,after_cell_selection,62859
file,202201,27,input_entries,177240
file,202201,27,after_match_status,177240
file,202201,27,after_pincness,177240
file,202201,27,after_fitstat,177240
file,202201,27,after_theta,177240
file,202201,27,after_dcedge,126121
file,202201,27,after_finite,126121
file,202201,27,after_cell_selection,117998
file,202201,28,input_entries,292138
file,202201,28,after_match_status,292138
file,202201,28,after_pincness,292138
file,202201,28,after_fitstat,292138
file,202201,28,after_theta,292138
file,202201,28,after_dcedge,208165
file,202201,28,after_finite,208165
file,202201,28,after_cell_selection,185126
file,202201,29,input_entries,211728
file,202201,29,after_match_status,211728
file,202201,29,after_pincness,211728
file,202201,29,after_fitstat,211728
file,202201,29,after_theta,211728
file,202201,29,after_dcedge,151150
file,202201,29,after_finite,151150
file,202201,29,after_cell_selection,139355
file,202201,30,input_entries,100778
file,202201,30,after_match_status,100778
file,202201,30,after_pincness,100778
file,202201,30,after_fitstat,100778
file,202201,30,after_theta,100778
file,202201,30,after_dcedge,71399
file,202201,30,after_finite,71399
file,202201,30,after_cell_selection,68587
file,202201,31,input_entries,51270
file,202201,31,after_match_status,51270
file,202201,31,after_pincness,51270
file,202201,31,after_fitstat,51270
file,202201,31,after_theta,51270
file,202201,31,after_dcedge,36630
file,202201,31,after_finite,36630
file,202201,31,after_cell_selection,34988
file,202201,32,input_entries,28677
file,202201,32,after_match_status,28677
file,202201,32,after_pincness,28677
file,202201,32,after_fitstat,28677
file,202201,32,after_theta,28677
file,202201,32,after_dcedge,20607
file,202201,32,after_finite,20607
file,202201,32,after_cell_selection,19329
file,202201,33,input_entries,22670
file,202201,33,after_match_status,22670
file,202201,33,after_pincness,22670
file,202201,33,after_fitstat,22670
file,202201,33,after_theta,22670
file,202201,33,after_dcedge,16087
file,202201,33,after_finite,16087
file,202201,33,after_cell_selection,14950
file,202201,34,input_entries,22455
file,202201,34,after_match_status,22455
file,202201,34,after_pincness,22455
file,202201,34,after_fitstat,22455
file,202201,34,after_theta,22455
file,202201,34,after_dcedge,15980
file,202201,34,after_finite,15980
file,202201,34,after_cell_selection,14870
file,202201,35,input_entries,22849
file,202201,35,after_match_status,22849
file,202201,35,after_pincness,22849
file,202201,35,after_fitstat,22849
file,202201,35,after_theta,22849
file,202201,35,after_dcedge,16417
file,202201,35,after_finite,16417
file,202201,35,after_cell_selection,15261
file,202201,36,input_entries,22546
file,202201,36,after_match_status,22546
file,202201,36,after_pincness,22546
file,202201,36,after_fitstat,22546
file,202201,36,after_theta,22546
file,202201,36,after_dcedge,16089
file,202201,36,after_finite,16089
file,202201,36,after_cell_selection,14950
file,202201,37,input_entries,747
file,202201,37,after_match_status,747
file,202201,37,after_pincness,747
file,202201,37,after_fitstat,747
file,202201,37,after_theta,747
file,202201,37,after_dcedge,542
file,202201,37,after_finite,542
file,202201,37,after_cell_selection,516
file,202201,38,input_entries,6628
file,202201,38,after_match_status,6628
file,202201,38,after_pincness,6628
file,202201,38,after_fitstat,6628
file,202201,38,after_theta,6628
file,202201,38,after_dcedge,4696
file,202201,38,after_finite,4696
file,202201,38,after_cell_selection,4369
file,202201,39,input_entries,23150
file,202201,39,after_match_status,23150
file,202201,39,after_pincness,23150
file,202201,39,after_fitstat,23150
file,202201,39,after_theta,23150
file,202201,39,after_dcedge,16401
file,202201,39,after_finite,16401
file,202201,39,after_cell_selection,15258
file,202201,40,input_entries,23639
file,202201,40,after_match_status,23639
file,202201,40,after_pincness,23639
file,202201,40,after_fitstat,23639
file,202201,40,after_theta,23639
file,202201,40,after_dcedge,16984
file,202201,40,after_finite,16984
file,202201,40,after_cell_selection,15763
file,202201,41,input_entries,22748
file,202201,41,after_match_status,22748
file,202201,41,after_pincness,22748
file,202201,41,after_fitstat,22748
file,202201,41,after_theta,22748
file,202201,41,after_dcedge,16246
file,202201,41,after_finite,16246
file,202201,41,after_cell_selection,15070
file,202201,42,input_entries,29277
file,202201,42,after_match_status,29277
file,202201,42,after_pincness,29277
file,202201,42,after_fitstat,29277
file,202201,42,after_theta,29277
file,202201,42,after_dcedge,20910
file,202201,42,after_finite,20910
file,202201,42,after_cell_selection,19515
file,202201,43,input_entries,55809
file,202201,43,after_match_status,55809
file,202201,43,after_pincness,55809
file,202201,43,after_fitstat,55809
file,202201,43,after_theta,55809
file,202201,43,after_dcedge,39645
file,202201,43,after_finite,39645
file,202201,43,after_cell_selection,37848
file,202201,44,input_entries,119756
file,202201,44,after_match_status,119756
file,202201,44,after_pincness,119756
file,202201,44,after_fitstat,119756
file,202201,44,after_theta,119756
file,202201,44,after_dcedge,85055
file,202201,44,after_finite,85055
file,202201,44,after_cell_selection,80854
file,202201,45,input_entries,286588
file,202201,45,after_match_status,286588
file,202201,45,after_pincness,286588
file,202201,45,after_fitstat,286588
file,202201,45,after_theta,286588
file,202201,45,after_dcedge,205622
file,202201,45,after_finite,205622
file,202201,45,after_cell_selection,182062
file,202201,46,input_entries,307580
file,202201,46,after_match_status,307580
file,202201,46,after_pincness,307580
file,202201,46,after_fitstat,307580
file,202201,46,after_theta,307580
file,202201,46,after_dcedge,221441
file,202201,46,after_finite,221441
file,202201,46,after_cell_selection,194887
file,202201,47,input_entries,143465
file,202201,47,after_match_status,143465
