cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form
1,"[30,60)","[2,3)",34648,34648,0,1698,0.04900715770030016,43.476392586300896,0.0,0.009295362047851086,1.354568362236023,0.8573217391967773,0.24797916412353516,518.6532075290816,,,0.01707877218723297,,,,,,,,False,False,direct_expectation
2,"[60,100)","[2,3)",29077,29077,0,1967,0.06764796918526671,43.476392586300896,0.0,0.007802216801792383,1.0863629579544067,0.6875714659690857,0.487374871969223,391.1222932449309,,,0.016018444672226906,,,,,,,,False,False,direct_expectation
3,"[60,100)","[3,3.25)",1179,1179,0,68,0.05767599660729432,43.476392586300896,0.0,0.00031643506372347474,1.3247969150543213,0.8384790420532227,0.3588121235370636,19.567707721027546,,,0.02151092141866684,,,,,,,,False,False,direct_expectation
4,"[100,200)","[2,3)",25525,25525,0,1938,0.07592556317335945,43.476392586300896,0.0,0.0068504405207931995,0.7923517823219299,0.501488447189331,0.6310978531837463,226.2655565111927,,,0.011667239479720592,,,,,,,,False,False,direct_expectation
5,"[100,200)","[3,3.25)",1642,1642,0,105,0.06394640682095006,43.476392586300896,0.0,0.0004408430540934205,0.8389869928359985,0.5310044288635254,0.6328651309013367,7.268305349280126,,,0.008006088435649872,,,,,,,,False,False,direct_expectation
6,"[200,300)","[2,3)",4274,4274,0,304,0.07112774918109499,43.476392586300896,0.0,0.0011473078047856688,0.5577100515365601,0.3529810607433319,0.6482003927230835,21.482978940359317,,,0.008470715954899788,,,,,,,,False,False,direct_expectation
7,"[200,300)","[3,3.25)",1039,1039,0,72,0.06929740134744947,43.476392586300896,0.0,0.0002789476711768657,0.5468682050704956,0.34611910581588745,0.702869176864624,5.766913905972615,,,0.00975570734590292,,,,,,,,False,False,direct_expectation
8,"[300,500)","[3,3.25)",1218,1218,0,81,0.0665024630541872,43.476392586300896,0.0,0.00032677181297913194,0.39609426259994507,0.25069257616996765,0.6196183562278748,4.28424251335673,,,0.0051483572460711,,,,,,,,False,False,direct_expectation
9,"[300,500)","[3.25,3.5)",464,464,0,26,0.05603448275862069,43.476392586300896,0.0,0.00012459112622309476,0.4156150817871094,0.2630475163459778,0.7103378176689148,0.4426541938446462,,,0.003095483873039484,,,,,,,,False,False,direct_expectation
10,"[500,800)","[3.25,3.5)",487,487,0,38,0.07802874743326489,43.476392586300896,0.0,0.00013069504348095506,0.3107539117336273,0.19667969644069672,0.590565025806427,0.5312500039581209,,,0.0031067251693457365,,,,,,,,False,False,direct_expectation
11,"[500,800)","[3.5,3.75)",138,138,0,6,0.043478260869565216,43.476392586300896,0.0,3.70734378520865e-05,0.32525408267974854,0.2058570235967636,0.7030451893806458,0.0,,,0.0,,,,,,,,False,False,direct_expectation
12,"[500,800)","[3.75,4.0)",24,24,0,1,0.041666666666666664,43.476392586300896,0.0,6.4405617195006926e-06,0.5331345796585083,0.33742696046829224,0.7524763941764832,0.0,,,0.0,,,,,,,,False,False,direct_expectation
13,"[800,1100)","[3.5,3.75)",121,121,0,12,0.09917355371900827,43.476392586300896,0.0,3.2499759981874377e-05,0.2622322738170624,0.16596980392932892,0.6843349933624268,0.0,,,0.0,,,,,,,,False,False,direct_expectation
14,"[800,1100)","[3.75,4.0)",53,53,0,4,0.07547169811320754,43.476392586300896,0.0,1.421547494828701e-05,0.29693174362182617,0.18793147802352905,0.7769456505775452,0.0,,,0.0,,,,,,,,False,False,direct_expectation
15,"[800,1100)","[4.0,4.25)",6,6,0,1,0.16666666666666666,43.476392586300896,0.0,1.6001990843506064e-06,0.5141045451164246,0.32538262009620667,0.8465465307235718,0.0,,,0.0,,,,,,,,False,False,direct_expectation
16,"[1100,2000)","[3.75,4.0)",54,54,0,1,0.018518518518518517,43.476392586300896,0.0,1.4501589248538949e-05,0.2172287553548813,0.1374865472316742,0.7136972546577454,0.0,,,0.0,,,,,,,,False,False,direct_expectation
17,"[1100,2000)","[4.0,4.25)",34,34,0,4,0.11764705882352941,43.476392586300896,0.0,9.127360499405768e-06,0.23240472376346588,0.1470915973186493,0.7426062822341919,0.0,,,0.0,,,,,,,,False,False,direct_expectation
18,"[1100,2000)","[4.25,4.5)",17,17,0,0,0.0,43.476392586300896,0.0,4.541037924354896e-06,0.29243433475494385,0.1850850135087967,0.8714531660079956,0.0,,,0.0,,,,,,,,False,False,direct_expectation
