cell_id,nhit_bin,predE_bin,r_opt_deg,sigma_deg,containment_r_opt,N_on,B_on,N_off,alpha,excess,excess_err_stat,excess_err_conservative,known_b_sigma,li_ma_sigma,background_mode,background_form,statistic_kind,statistic_note
1,"[30,60)","[2,3)",1.354568362236023,0.8573217391967773,0.24797916412353516,155030,132380.59375,nan,nan,22649.40625,393.73849189531876,536.1068864974595,60.5913824999949,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
2,"[60,100)","[2,3)",1.0863629579544067,0.6875714659690857,0.487374871969223,185722,169831.0955169455,nan,nan,15890.904483054503,430.9547540055684,596.2827311912911,37.98122374505982,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
3,"[60,100)","[3,3.25)",1.3247969150543213,0.8384790420532227,0.3588121235370636,11105,9388.568701124144,nan,nan,1716.4312988758556,105.38026380684383,143.15574980113144,17.212037395679168,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
4,"[100,200)","[2,3)",0.7923517823219299,0.501488447189331,0.6310978531837463,121656,116452.02347083927,nan,nan,5203.976529160733,348.7922017476882,487.96313740982447,15.138202660986144,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
5,"[100,200)","[3,3.25)",0.8389869928359985,0.5310044288635254,0.6328651309013367,14285,12745.121621621623,nan,nan,1539.8783783783765,119.5198728245642,164.40839887798197,13.378304022338423,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
6,"[200,300)","[2,3)",0.5577100515365601,0.3529810607433319,0.6482003927230835,11259,8710.000711237552,nan,nan,2548.9992887624485,106.10843510296436,141.31171469923345,26.120499919718824,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
7,"[200,300)","[3,3.25)",0.5468682050704956,0.34611910581588745,0.702869176864624,4457,3068.2773826458033,nan,nan,1388.7226173541967,66.76076692189807,86.74835665674482,23.46662025879066,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
8,"[300,500)","[3,3.25)",0.39609426259994507,0.25069257616996765,0.6196183562278748,3067,1556.2972972972973,nan,nan,1510.7027027027027,55.380501984001555,67.99483287204475,33.76153706550719,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
9,"[300,500)","[3.25,3.5)",0.4156150817871094,0.2630475163459778,0.7103378176689148,1706,906.8648648648648,nan,nan,799.1351351351352,41.30375285612676,51.11618985081796,23.618167632922464,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
10,"[500,800)","[3.25,3.5)",0.3107539117336273,0.19667969644069672,0.590565025806427,1155,383.6216216216216,nan,nan,771.3783783783783,33.98529093593286,39.22526764244728,31.675270170802534,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
