run,spectrum,cells,total_excess,total_expected_counts,total_observed_over_expected,source_visible_live_days,valid_ratio_cells,median_observed_over_expected,cells_observed_over_expected_gt_1,cells_observed_over_expected_gt_1p5,spectrum_method,energy_min_tev,energy_max_tev
annnorm_drop4_26,official_pass5,26,15102.898996527238,10431.965987298452,1.4477519400385246,15.611713218574396,26,1.3146313105380099,24,10,loglog_piecewise_powerlaw_interpolation_with_endpoint_slope_extrapolation,0.56,15.85
annnorm_drop4_26,tutorial_v099,26,15102.898996527238,11100.089076030841,1.3606106124985906,15.611713218574396,26,1.2413604129021938,19,8,loglog_piecewise_powerlaw_interpolation_with_endpoint_slope_extrapolation,0.581,14.38
