run,spectrum,cell_id,nhit_bin,predE_bin,N_on,B_on,excess,expected_counts,observed_over_expected,excess_minus_expected,pull_conservative,containment_r_opt
v3_nhit_only,official_pass5,1,"[125,200)",all,87336,85450.50342544659,1885.4965745534137,4257.8240945057205,0.44283101713536055,-2372.327519952307,-5.707155934607287,0.6899781227111816
v3_nhit_only,official_pass5,2,"[200,300)",all,25138,21458.499854253318,3679.5001457466824,3527.2447182777128,1.0431655412736185,152.25542746896963,0.7053361374568891,0.7787011861801147
v3_nhit_only,official_pass5,3,"[300,500)",all,11127,6680.631626694589,4446.368373305411,3346.3018871597747,1.3287409574033786,1100.0664861456366,8.243579914170372,0.8296118378639221
v3_nhit_only,official_pass5,4,"[500,800)",all,3472,1487.4795661129206,1984.5204338870794,1755.0185265194043,1.1307689371364238,229.50190736767513,3.2588790821565317,0.8649144768714905
v3_nhit_only,official_pass5,5,"[800,1100)",all,919,177.5556223030607,741.4443776969393,555.2009601448699,1.33545226129197,186.24341755206945,5.624262721575049,0.8770627379417419
v3_nhit_only,official_pass5,6,"[1100,2000)",all,384,45.8578788750886,338.1421211249114,289.78853952868934,1.1668581568990413,48.35358159622206,2.3322022099774498,0.7824383974075317
v3_nhit_only,official_pass5,7,"[2000,3000)",all,39,10.768262000165333,28.231737999834667,17.940292366120925,1.5736498282017113,10.291445633713742,1.458814753497178,0.7803881764411926
v3_nhit_only,tutorial_v099,1,"[125,200)",all,87336,85450.50342544659,1885.4965745534137,4543.96632132038,0.41494510329150686,-2658.4697467669666,-6.395534033403637,0.6899781227111816
v3_nhit_only,tutorial_v099,2,"[200,300)",all,25138,21458.499854253318,3679.5001457466824,3747.9766985127735,0.9817297282575788,-68.47655276609112,-0.31722341881205596,0.7787011861801147
v3_nhit_only,tutorial_v099,3,"[300,500)",all,11127,6680.631626694589,4446.368373305411,3544.7524716289568,1.254352288034974,901.6159016764545,6.756448661024515,0.8296118378639221
v3_nhit_only,tutorial_v099,4,"[500,800)",all,3472,1487.4795661129206,1984.5204338870794,1867.2178159461118,1.0628221394093387,117.3026179409676,1.6656726398251338,0.8649144768714905
v3_nhit_only,tutorial_v099,5,"[800,1100)",all,919,177.5556223030607,741.4443776969393,598.3060873887268,1.2392392344409056,143.1382903082125,4.322554648061018,0.8770627379417419
v3_nhit_only,tutorial_v099,6,"[1100,2000)",all,384,45.8578788750886,338.1421211249114,314.5845366931898,1.0748847501512668,23.55758443172158,1.1362353864948045,0.7824383974075317
v3_nhit_only,tutorial_v099,7,"[2000,3000)",all,39,10.768262000165333,28.231737999834667,19.75188205755098,1.4293188830095263,8.479855942283688,1.2020215037243664,0.7803881764411926
