cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form,annulus_inner_deg,annulus_outer_deg,surface_fit_chi2,surface_fit_ndof,surface_condition_number,annulus_residual_rms
17,"[200,300)","[3.5,3.75)",349353,105993,243360,9658,0.1295436864554551,43.47639258630079,0.0,0.09300305888934467,1.0330716371536255,0.6538428068161011,0.6527048945426941,1941.0854659134725,,,0.0,332,4400,30011.0,74554,28256,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,5091.1712855657315,4394,34.293375577271995,1.1862957435202766
18,"[200,300)","[3.75,4.0)",166678,49690,116988,7199,0.2137787676317743,43.47639258630079,0.0,0.044372207622542785,1.3009943962097168,0.8234142065048218,0.6388174891471863,1299.7191272601517,,,0.0,540,5032,15494.0,33675,13468,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,5213.954763464125,5026,48.46578055784654,1.357479397241868
19,"[200,300)","[4.0,4.25)",69627,19860,49767,3967,0.3111860684028867,43.47639258630079,0.0,0.018535761769008428,1.526131510734558,0.965906023979187,0.5858429074287415,720.0236054694769,,,0.0,732,5648,5947.0,12748,5500,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,3118.2574336640055,5642,66.02675138051845,1.0696341553111768
20,"[200,300)","[4.25,4.5)",26813,7019,19794,1727,0.3997685185185185,43.47639258630079,0.0,0.007138026632088456,1.7472426891326904,1.1058497428894043,0.5253807306289673,387.720727202619,,,0.0,952,6280,2140.0,4320,1954,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,1594.5008456631112,6274,87.23068941327786,0.5803615112508849
21,"[200,300)","[4.5,4.75)",9558,2345,7213,627,0.46410066617320506,43.47639258630079,0.0,0.002544484337802613,1.9039727449417114,1.2050460577011108,0.44638746976852417,175.71196750169543,,,0.0,1148,4928,507.0,1351,698,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,457.5621595790012,4922,127.1939479287811,0.3176025663714212
22,"[200,300)","[4.75,5.0)",3458,745,2713,223,0.5588972431077694,43.47639258630079,0.0,0.0009205719648589073,2.1119091510772705,1.3366514444351196,0.35407647490501404,48.721994318786635,,,0.0,1396,4928,139.0,399,240,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,134.96813774073547,4922,127.17771056436433,0.1690169576301051
23,"[200,300)","[5,6)",1980,407,1573,126,0.63,43.47639258630079,0.0,0.0005271059833489405,2.2743749618530273,1.439477801322937,0.1962374895811081,26.654963854808067,,,0.0,1632,4928,75.0,200,145,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,73.81516766521739,4922,127.17686181055885,0.12238761050364734
24,"[200,300)",>=6,2,0,2,0,0.0,43.47639258630079,0.0,5.324302862110511e-07,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
25,"[300,500)","[2,2.5)",1038,437,601,74,0.23270440251572327,43.47639258630079,0.0,0.0002763313185435355,1.5800000429153442,1.0,0.7129790186882019,16.09544635624667,,,0.0,788,5648,168.0,318,118,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,162.92396545232336,5642,65.47363612215538,0.17482068893498556
26,"[300,500)","[2.5,3)",688852,281862,406990,14737,0.07083904150743865,43.47639258630079,0.0,0.18338283375852749,0.4214111268520355,0.2667159140110016,0.5843835473060608,949.5708691528525,,,0.0,52,3760,70023.0,208035,72597,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4070.4532881495043,3754,23.57100295596837,1.0651319380288127
27,"[300,500)","[3,3.25)",1191475,461238,730237,24130,0.07139285598052007,43.47639258630079,0.0,0.31718868763165603,0.39609426259994507,0.25069257616996765,0.6196183562278748,1490.2521433497482,,,0.0,52,3760,112433.0,337989,120918,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4013.5265953528683,3754,23.279489950682898,1.0477031356598012
28,"[300,500)","[3.25,3.5)",782322,272242,510080,13470,0.06820460368416256,43.47639258630079,0.0,0.20826596318460094,0.4156150817871094,0.2630475163459778,0.7103378176689148,851.5580776600565,,,0.0,52,3760,65559.0,197494,72925,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3905.6412223576403,3754,23.330582149729658,1.0447849592717195
