variant,annulus,surface_order,fit_family,baseline_B_on,baseline_excess,baseline_formal_sigma,valid_baseline_background_cells,pl_phi0,pl_gamma,pl_chi2,logpar_phi0,logpar_alpha,logpar_beta,logpar_chi2,preferred_model,predE_high_energy_points
nominal_shifted_order2,PSF-shifted,2,weighted_least_squares,92981.26499719494,17562.735002805057,55.91247888732219,27,2.8177021295063572e-12,2.658005049877079,264.9646119004409,3.178958749569948e-12,2.7382222799767653,0.12022946613268608,220.95168132147967,logpar,5
default_annulus_order2,1.5-3.5 deg,2,weighted_least_squares,93020.515480694,17523.484519306003,55.77990103572545,27,2.804527418743443e-12,2.6567355059633044,267.29068778175423,3.1562521440139545e-12,2.7315732686804917,0.11565717469772413,226.1075659506622,logpar,5
shifted_annulus_order2,PSF-shifted,2,weighted_least_squares,92981.26499966744,17562.735000332556,55.91247887896965,27,2.8177021300234493e-12,2.6580050500847063,264.9646121915083,3.1789587505608774e-12,2.7382222804989524,0.12022946638415478,220.95168147088495,logpar,5
default_annulus_order1,1.5-3.5 deg,1,weighted_least_squares,91826.65427758584,18717.34572241416,59.82950755568952,27,2.8380107537951555e-12,2.675130956248816,280.5831590424231,3.136518543926415e-12,2.7405083454353565,0.09707018679776616,249.65139986473955,logpar,5
shifted_annulus_order1,PSF-shifted,1,weighted_least_squares,91309.56633893769,19234.433661062314,61.5945465036379,27,2.8491672471210747e-12,2.6821763708436457,298.27451311455565,3.1247011107233494e-12,2.7422041281026126,0.08867071177580817,271.61529443231166,logpar,5
shifted_annulus_log_link_order2,PSF-shifted,2,poisson_log_link_positive,96536.88503142886,14007.114968571143,44.05274684008524,27,2.448629634914944e-12,2.680801464594015,143.46870392888167,2.737911360346413e-12,2.7917370953569747,0.12728776046976062,110.90809473279216,logpar,5
