cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form,annulus_inner_deg,annulus_outer_deg,surface_fit_chi2,surface_fit_ndof,surface_condition_number,annulus_residual_rms
17,"[200,300)","[3.5,3.75)",178330,53415,124915,4866,0.12981538789883684,43.47639258630079,0.0,0.04747414647000837,1.0330716371536255,0.6538428068161011,0.6527048945426941,825.9928077330541,,,0.0,332,4400,15022.0,37484,14319,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,4685.124236847748,4394,34.00346398696371,1.3373452129854764
18,"[200,300)","[3.75,4.0)",85439,25266,60173,3649,0.21279449498483788,43.47639258630079,0.0,0.022745155611792994,1.3009943962097168,0.8234142065048218,0.6388174891471863,622.2962336921692,,,0.0,540,5032,7939.0,17148,6813,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,3530.4485244934413,5026,47.840580507350566,1.2861753606777544
19,"[200,300)","[4.0,4.25)",35706,10004,25702,2030,0.31394989174141663,43.47639258630079,0.0,0.009505477899725895,1.526131510734558,0.965906023979187,0.5858429074287415,413.6170078224977,,,0.0,732,5648,2983.0,6466,2732,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,1987.7447258116033,5642,65.74571886571387,0.736535994352749
20,"[200,300)","[4.25,4.5)",13893,3580,10313,864,0.3947007766103243,43.47639258630079,0.0,0.003698526983165066,1.7472426891326904,1.1058497428894043,0.5253807306289673,214.76311828178308,,,0.0,952,6280,1093.0,2189,1016,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,926.078826459348,6274,87.17785830796004,0.4119847425436812
21,"[200,300)","[4.5,4.75)",4949,1192,3757,314,0.46795827123695977,43.47639258630079,0.0,0.0013174987432292458,1.9039727449417114,1.2050460577011108,0.44638746976852417,65.00678065878503,,,0.0,1148,4928,248.0,671,358,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,236.08037602751259,4922,127.19112056724339,0.22583475554227705
22,"[200,300)","[4.75,5.0)",1814,395,1419,115,0.5275229357798165,43.47639258630079,0.0,0.0004829142695934233,2.1119091510772705,1.3366514444351196,0.35407647490501404,24.06161433509305,,,0.0,1396,4928,83.0,218,126,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,81.48081565340136,4922,127.17630210020947,0.13011595629706738
23,"[200,300)","[5,6)",983,207,776,58,0.6236559139784946,43.47639258630079,0.0,0.0002616894856727316,2.2743749618530273,1.439477801322937,0.1962374895811081,10.372639036840239,,,0.0,1632,4928,35.0,93,82,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,34.71623086455091,4922,127.17686181055885,0.08393264981315225
24,"[200,300)",>=6,1,0,1,0,0.0,43.47639258630079,0.0,2.6621514310552556e-07,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
25,"[300,500)","[2,2.5)",527,209,318,38,0.25333333333333335,43.47639258630079,0.0,0.00014029538041661195,1.5800000429153442,1.0,0.7129790186882019,7.538471031634993,,,0.0,788,5648,75.0,150,59,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,73.89974067206481,5642,65.466493013839,0.11590414949739762
26,"[300,500)","[2.5,3)",350582,141041,209541,7301,0.07013381235530879,43.47639258630079,0.0,0.09333023730022136,0.4214111268520355,0.2667159140110016,0.5843835473060608,449.1134947971239,,,0.0,52,3760,35108.0,104101,36379,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4362.76480753893,3754,23.74547754341032,1.1378108860134954
27,"[300,500)","[3,3.25)",607461,232104,375357,12212,0.07185346881858352,43.47639258630079,0.0,0.16171531704602565,0.39609426259994507,0.25069257616996765,0.6196183562278748,726.1836458057227,,,0.0,52,3760,56713.0,169957,60954,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3989.1639193057226,3754,23.293891882332975,1.0765124083078417
28,"[300,500)","[3.25,3.5)",398602,137228,261374,6705,0.06739912748034821,43.47639258630079,0.0,0.10611388847214868,0.4156150817871094,0.2630475163459778,0.7103378176689148,394.50732862007453,,,0.0,52,3760,33049.0,99482,36863,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4316.252143085905,3754,23.283105299881285,1.1367071858826767
29,"[300,500)","[3.5,3.75)",160237,47802,112435,2405,0.06978701178109221,43.47639258630079,0.0,0.04265751588580009,0.6477468013763428,0.4099663496017456,0.7223257422447205,260.3824989843462,,,0.0,124,3760,11407.0,34462,12890,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3897.7162372586454,3754,23.431901405689395,1.3617952671431515
30,"[300,500)","[3.75,4.0)",67959,19504,48455,1632,0.11757925072046109,43.47639258630079,0.0,0.01809171491030841,0.9900724291801453,0.6266281008720398,0.6642460227012634,280.09938854451667,,,0.0,308,4400,5462.0,13880,5185,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,2686.335830839987,4394,34.153284234553915,1.1631594091942743
31,"[300,500)","[4.0,4.25)",26816,7778,19038,1025,0.1935788479697828,43.47639258630079,0.0,0.007138825277517772,1.2538275718688965,0.7935617566108704,0.6733294129371643,234.85150664478647,,,0.0,492,5032,2450.0,5295,2084,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,1657.4397289096185,5026,47.94154982823474,0.6955970510805363
32,"[300,500)","[4.25,4.5)",10592,2999,7593,555,0.28316326530612246,43.47639258630079,0.0,0.0028197507957737266,1.4458905458450317,0.9151206016540527,0.6463560461997986,100.92670213036374,,,0.0,648,5648,910.0,1960,806,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,783.8475184924337,5642,65.44133690724618,0.4035776898232079
33,"[300,500)","[4.5,4.75)",4415,1184,3231,260,0.3601108033240997,43.47639258630079,0.0,0.0011753398568108953,1.646765112876892,1.0422563552856445,0.6165552139282227,63.20643428624176,,,0.0,848,5648,336.0,722,334,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,316.6912097472915,5642,65.45273256752843,0.24235812963327624
34,"[300,500)","[4.75,5.0)",1571,416,1155,118,0.48760330578512395,43.47639258630079,0.0,0.0004182239898187806,1.8282259702682495,1.1571050882339478,0.5390918254852295,24.29806892221178,,,0.0,1044,6280,105.0,242,123,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,103.20089698204455,6274,87.07227630909921,0.12940673438471842
35,"[300,500)","[5,6)",794,180,614,53,0.5353535353535354,43.47639258630079,0.0,0.00021137482362578727,2.085508346557617,1.3199419975280762,0.3362881541252136,27.74561998292554,,,0.0,1372,4928,37.0,99,61,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,36.67267129048181,4922,127.17686181055885,0.08626525716481892
36,"[300,500)",>=6,0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
37,"[500,800)","[2,2.5)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
