source_file_id	hour	interval_index	start_mjd	stop_mjd	duration_seconds	time_path
2730	20220505_20	0	59704.500129993757582	59704.540987213418703	3530.063778720796	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0505/Esg20220505_20.time.root
2731	20220505_21	0	59704.541477894745185	59704.583004754902504	3587.920717592351	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0505/Esg20220505_21.time.root
2732	20220505_22	0	59704.583483147325751	59704.624643227456545	3556.230923300609	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0505/Esg20220505_22.time.root
2733	20220505_23	0	59704.625129631232994	59704.665877542363887	3520.619521709159	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0505/Esg20220505_23.time.root
2734	20220506_00	0	59704.666371069986781	59704.707590669335332	3561.373383714817	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_00.time.root
2735	20220506_01	0	59704.708087513776263	59704.749229617213132	3554.677736945450	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_01.time.root
2736	20220506_02	0	59704.749737275917141	59704.787566418031929	3268.437878717668	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_02.time.root
2736	20220506_02	1	59704.788607899528870	59704.791286947212939	231.469719903544	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_02.time.root
2737	20220506_03	0	59704.791801625346125	59704.797135878201516	460.879446705803	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_03.time.root
2737	20220506_03	1	59704.799729298167222	59704.801329494526726	138.256965461187	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_03.time.root
2737	20220506_03	2	59704.807556831103284	59704.810221771615034	230.250860215165	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_03.time.root
2737	20220506_03	3	59704.814013784685812	59704.829412004546612	1330.406195973046	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_03.time.root
2738	20220506_04	0	59704.839825019771524	59704.839828825577570	0.328821642324	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_04.time.root
2738	20220506_04	1	59704.844294470640307	59704.874509497458348	2610.578317078762	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_04.time.root
2739	20220506_05	0	59704.875030211791454	59704.912176581143285	3209.446311998181	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_05.time.root
2740	20220506_08	0	59705.025062507767871	59705.041097982248175	1385.464995098300	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_08.time.root
2741	20220506_09	0	59705.041585775667045	59705.062492177850800	1806.313148676418	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_09.time.root
2741	20220506_09	1	59705.080196645911201	59705.082991539478826	241.478804242797	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_09.time.root
2742	20220506_11	0	59705.142053617499187	59705.165951609698823	2064.786526048556	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_11.time.root
2743	20220506_12	0	59705.166477575432509	59705.207761512559955	3566.932167811319	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_12.time.root
2744	20220506_13	0	59705.208284169086255	59705.249525997722230	3563.293994148262	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_13.time.root
2745	20220506_14	0	59705.250035533150367	59705.291240165781346	3560.080259316601	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_14.time.root
2746	20220506_15	0	59705.291737042352906	59705.332862800132716	3553.265472175553	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_15.time.root
2747	20220506_16	0	59705.333334379873122	59705.374328103760490	3541.857743868604	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_16.time.root
2748	20220506_17	0	59705.374815878014488	59705.416029987027287	3560.899018705823	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_17.time.root
2749	20220506_18	0	59705.416542067199771	59705.448818723234581	2788.703081407584	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_18.time.root
2749	20220506_18	1	59705.449861143992166	59705.457835573761258	688.990732049569	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_18.time.root
2750	20220506_19	0	59705.458343753351073	59705.467397358435846	782.231479324400	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_19.time.root
2750	20220506_19	1	59705.468432185567508	59705.499350598656747	2671.350890910253	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_19.time.root
2751	20220506_20	0	59705.499856282571272	59705.541169407028065	3569.453953066841	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_20.time.root
2752	20220506_21	0	59705.541658576941700	59705.582620199820667	3539.084216742776	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_21.time.root
2753	20220506_22	0	59705.583117962276447	59705.624209290144790	3550.290727824904	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_22.time.root
2754	20220506_23	0	59705.624731503376097	59705.665890989112086	3556.179567589425	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0506/Esg20220506_23.time.root
2755	20220507_00	0	59705.666399683177588	59705.707534769600898	3554.071466973983	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_00.time.root
2756	20220507_01	0	59705.708058919502946	59705.749672319099773	3595.397725165822	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_01.time.root
2757	20220507_02	0	59705.750199897280254	59705.791147859708872	3537.903953832574	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_02.time.root
2758	20220507_03	0	59705.791675701395434	59705.832549683895195	3531.512087979354	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_03.time.root
2759	20220507_04	0	59705.833078487790772	59705.874448651811690	3574.382171407342	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_04.time.root
2760	20220507_05	0	59705.874972813042405	59705.910392630401475	3060.272219823673	/mnt/mydisk/WCDA_observation_eval_64748/recovered_time/0507/Esg20220507_05.time.root
