cell_id,include,nhit_bin,predE_bin,mc_count_selector,response_count_in_true_range,logE_true_q16,logE_true_q50,logE_true_q84,logE_true_sigma68,peak_density
50,0,"[500,800)","[5,5.5)",13490,13280,4.970744757772957,5.140143577803648,5.462417195207893,0.24583621871746786,2.0828313253012123
51,0,"[500,800)","[5.5,6)",12351,12045,5.39698752228164,5.577612244897959,5.780269865067466,0.19164117139291292,2.3445413034454217
53,0,"[800,1100)","[2,2.5)",0,0,nan,nan,nan,nan,0.0
54,0,"[800,1100)","[2.5,3)",4,4,3.066,3.1,3.1340000000000003,0.03400000000000025,9.999999999999991
55,0,"[800,1100)","[3,3.25)",240,240,3.176046511627907,3.2709302325581397,3.384871794871795,0.10441264162194397,3.583333333333346
56,1,"[800,1100)","[3.25,3.5)",4962,4962,3.2706720516962844,3.395483870967742,3.527113553113553,0.12822075070863437,3.123740427247089
57,1,"[800,1100)","[3.5,3.75)",23789,23771,3.4010021042787,3.5325724137931034,3.6627735303565694,0.1308857130389347,3.049934794497494
58,1,"[800,1100)","[3.75,4.0)",33028,32794,3.5493526970954354,3.6899888765294775,3.841858898643256,0.1462531007739103,2.741355125937681
59,1,"[800,1100)","[4.0,4.25)",16745,16552,3.731698275862069,3.9212087912087914,4.077124349881797,0.17271303700986396,2.4993958434026187
60,1,"[800,1100)","[4.25,4.5)",4786,4763,3.973607476635514,4.156175059952039,4.399745283018868,0.21306890319167704,1.918958639512902
61,1,"[800,1100)","[4.5,4.75)",1869,1857,4.303383177570094,4.561401098901099,4.77201226993865,0.23431454618427816,1.9601507808292842
62,1,"[800,1100)","[4.75,5.0)",1760,1751,4.732267515923567,4.972010869565217,5.107838596491228,0.18778554028383043,3.152484294688761
63,0,"[800,1100)","[5,5.5)",4810,4756,5.0350730158730155,5.2672932330827065,5.529319461444309,0.24712322278564658,1.7178301093355821
64,0,"[800,1100)","[5.5,6)",3211,3111,5.457529411764706,5.608888888888889,5.799810945273632,0.17114076675446288,2.295081967213123
66,0,"[1100,2000)","[2,2.5)",0,0,nan,nan,nan,nan,0.0
67,0,"[1100,2000)","[2.5,3)",0,0,nan,nan,nan,nan,0.0
68,0,"[1100,2000)","[3,3.25)",3,3,3.374,3.4250000000000003,3.502,0.06399999999999983,6.66666666666669
69,0,"[1100,2000)","[3.25,3.5)",183,183,3.452961038961039,3.5337662337662334,3.653130434782609,0.100084697910785,4.20765027322404
70,1,"[1100,2000)","[3.5,3.75)",3067,3067,3.541677685950413,3.6503684210526317,3.7716846846846845,0.11500349936713583,3.257254646234102
71,1,"[1100,2000)","[3.75,4.0)",15535,15509,3.668795874049946,3.8006774766770324,3.949496740547588,0.14035043324882102,2.902830614481898
72,1,"[1100,2000)","[4.0,4.25)",30056,29947,3.865388606880993,4.0045458909370195,4.12883473227207,0.13172306269553857,3.478144722342818
73,1,"[1100,2000)","[4.25,4.5)",20877,20809,4.053184853420195,4.1899775939331265,4.3382476050110546,0.14253137579542985,2.7882166370320385
74,1,"[1100,2000)","[4.5,4.75)",8610,8536,4.274450039339103,4.443952588292211,4.57955611814346,0.15255303940217813,2.8432521087160363
75,0,"[1100,2000)","[4.75,5.0)",2279,2273,4.482300518134715,4.652854122621565,4.856303030303031,0.18700125608415785,2.1909370875494822
76,0,"[1100,2000)","[5,5.5)",1054,1030,4.835217391304348,5.076114649681529,5.492522522522522,0.32865256560908707,2.135922330097095
77,0,"[1100,2000)","[5.5,6)",186,173,5.452344827586207,5.626250000000001,5.832000000000001,0.189827586206897,2.312138728323687
79,0,"[2000,3000)","[2,2.5)",0,0,nan,nan,nan,nan,0.0
80,0,"[2000,3000)","[2.5,3)",0,0,nan,nan,nan,nan,0.0
81,0,"[2000,3000)","[3,3.25)",0,0,nan,nan,nan,nan,0.0
82,0,"[2000,3000)","[3.25,3.5)",0,0,nan,nan,nan,nan,0.0
83,0,"[2000,3000)","[3.5,3.75)",0,0,nan,nan,nan,nan,0.0
84,0,"[2000,3000)","[3.75,4.0)",3,3,4.074,4.125,4.202,0.06400000000000006,6.666666666666631
85,0,"[2000,3000)","[4.0,4.25)",417,417,4.0836,4.174202127659575,4.249617021276595,0.08300851063829784,4.508393285371678
86,1,"[2000,3000)","[4.25,4.5)",2144,2144,4.187309523809524,4.314330218068537,4.4528428571428575,0.13276666666666692,2.9944029850746374
87,1,"[2000,3000)","[4.5,4.75)",5114,5114,4.4516680955297,4.5582301980198014,4.682252206809584,0.11529205563994172,3.193195150567082
88,1,"[2000,3000)","[4.75,5.0)",6475,6475,4.652947224126114,4.797205528846154,4.974618149146451,0.16083546251016845,2.569884169884179
89,1,"[2000,3000)","[5,5.5)",7340,7306,4.960476507276508,5.06721268850754,5.235608445297505,0.13756596901049845,3.291814946619229
90,1,"[2000,3000)","[5.5,6)",1049,1034,5.388171428571429,5.516416040100251,5.64179746835443,0.12681301989150073,3.858800773694404
