selector,spectrum,nhit_bin,cells,N_on,B_on,excess,official_expected_counts,observed_over_expected,N_on_over_B_on
strict20,official_pass5,all,20,100208.0,85375.57046307238,14832.429536927648,12529.65823289981,1.1837856437282004,1.173731542366011
baseline26,official_pass5,all,26,100579.0,85476.10100347275,15102.898996527238,12787.171174598647,1.181097741659134,1.1766914824052823
loose36,official_pass5,all,36,111854.0,96332.33542770808,15521.66457229192,13399.067997052533,1.158413747561122,1.161126214820568
