energy_tev,e2_flux_scaled_1e14_tev_cm2_s,e2_flux_err_low_scaled_1e14,e2_flux_err_high_scaled_1e14,ts,wcda_tag,crab_status,root_open,sha256_verified,fit_cluster,sed_cluster,source_note,package_note,warning_note
0.581,4642.683,44.084,44.084,11739.53,1,ok,true,true,2832848,2832858,final_wcda_crab_sed_v099_20250731/results/SED_Mor/Crab_SED.txt,/home/lhaaso/liushijie/energy/wcda_crab_sed_v099_20250731_20260616_123624/final_wcda_crab_sed_v099_20250731.tar.gz,Halo_2_Ecut and Halo_2_F0 have boundary/upper-limit related warnings; Crab SED points and TS are OK.
0.879,4280.919,23.824,23.824,37587.35,1,ok,true,true,2832848,2832858,final_wcda_crab_sed_v099_20250731/results/SED_Mor/Crab_SED.txt,/home/lhaaso/liushijie/energy/wcda_crab_sed_v099_20250731_20260616_123624/final_wcda_crab_sed_v099_20250731.tar.gz,Halo_2_Ecut and Halo_2_F0 have boundary/upper-limit related warnings; Crab SED points and TS are OK.
1.423,3429.829,13.369,13.369,106354.55,1,ok,true,true,2832848,2832858,final_wcda_crab_sed_v099_20250731/results/SED_Mor/Crab_SED.txt,/home/lhaaso/liushijie/energy/wcda_crab_sed_v099_20250731_20260616_123624/final_wcda_crab_sed_v099_20250731.tar.gz,Halo_2_Ecut and Halo_2_F0 have boundary/upper-limit related warnings; Crab SED points and TS are OK.
2.361,2538.750,14.451,14.451,78318.46,1,ok,true,true,2832848,2832858,final_wcda_crab_sed_v099_20250731/results/SED_Mor/Crab_SED.txt,/home/lhaaso/liushijie/energy/wcda_crab_sed_v099_20250731_20260616_123624/final_wcda_crab_sed_v099_20250731.tar.gz,Halo_2_Ecut and Halo_2_F0 have boundary/upper-limit related warnings; Crab SED points and TS are OK.
3.813,1830.229,12.151,12.151,77558.22,1,ok,true,true,2832848,2832858,final_wcda_crab_sed_v099_20250731/results/SED_Mor/Crab_SED.txt,/home/lhaaso/liushijie/energy/wcda_crab_sed_v099_20250731_20260616_123624/final_wcda_crab_sed_v099_20250731.tar.gz,Halo_2_Ecut and Halo_2_F0 have boundary/upper-limit related warnings; Crab SED points and TS are OK.
7.106,1107.714,13.309,13.309,33531.55,1,ok,true,true,2832848,2832858,final_wcda_crab_sed_v099_20250731/results/SED_Mor/Crab_SED.txt,/home/lhaaso/liushijie/energy/wcda_crab_sed_v099_20250731_20260616_123624/final_wcda_crab_sed_v099_20250731.tar.gz,Halo_2_Ecut and Halo_2_F0 have boundary/upper-limit related warnings; Crab SED points and TS are OK.
14.380,581.427,11.811,11.811,12055.07,1,ok,true,true,2832848,2832858,final_wcda_crab_sed_v099_20250731/results/SED_Mor/Crab_SED.txt,/home/lhaaso/liushijie/energy/wcda_crab_sed_v099_20250731_20260616_123624/final_wcda_crab_sed_v099_20250731.tar.gz,Halo_2_Ecut and Halo_2_F0 have boundary/upper-limit related warnings; Crab SED points and TS are OK.
