cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,core_fit_events,core_fit_effective_events,core_fit_weight_fraction,tail_weight_fraction_above_core_fit,theta_missing_crab_probability_mass,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,sigma_full_rayleigh_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning
1,"[30,60)","[2,3)",10000,184894,118501,117240,109246,46407581.07263374,63552.092164655296,40522,29193.206008495312,0.33339392196763606,0.6666060780323639,0.0,0.8573217636541307,0.859044388508112,0.8604733170576654,19.66479378288043,1.3545683865735265,0.24797915802144735,30.017221406668032,47.45786646947999,54.23967584043587,True,False
2,"[60,100)","[2,3)",10000,490043,390387,388899,355574,158276395.70693684,125243.81550880782,259964,139079.96191442187,0.6307819599028722,0.3692180400971278,0.0,0.6875714771556003,0.6738092645270427,0.6757027709466086,15.599661545436202,1.0863629339058485,0.4873748646629353,8.866132083028335,42.88738104487049,52.811911630681365,True,False
3,"[60,100)","[3,3.25)",9228,26973,21918,21608,20705,8439195.082318306,13748.980860517713,10005,6828.95793568087,0.48275792170347515,0.5172420782965248,0.0,0.838479045898929,0.8108980048116458,0.814693968881108,15.161534182448351,1.3247968925203077,0.358812126705805,18.631807317252434,38.60126487278598,46.75260069511923,True,False
4,"[100,200)","[2,3)",10000,931828,861239,859976,781052,358710033.44108874,148878.40151255336,703161,215851.88501386298,0.8000136397753937,0.19998636022460625,0.0,0.5014884639141022,0.47466305947863086,0.47648666710747506,12.67483587519733,0.7923517729842815,0.6310978646663702,0.9098888304478651,35.20545021433561,49.80631761812906,False,False
5,"[100,200)","[3,3.25)",9999,110139,101408,101032,98308,39612775.74634266,45907.269887551025,82244,39893.70545594855,0.797605045801442,0.20239495419855802,0.0,0.5310044429039609,0.4924558362028173,0.4943626606510966,10.249148257207588,0.8389870197882582,0.632865154456569,0.9781251573422977,24.302073084982013,38.13510471774348,False,False
6,"[200,300)","[2,3)",10000,273691,268801,268692,239116,113918111.0558348,11046.079952233975,232323,29982.737142124013,0.8279542521470387,0.17204574785296134,0.0,0.35298106168402654,0.317337082803657,0.31804902616292813,13.186906846065174,0.557710077460762,0.6482004213934978,0.5989151190489895,38.955989070999735,51.34134228880157,False,False
7,"[200,300)","[3,3.25)",10000,122642,118158,118044,114480,46072345.917634964,21172.244750206977,108468,26629.5394056838,0.8894264297444522,0.11057357025554782,0.0,0.34611909830415244,0.31824032614452924,0.3183879962864365,9.567945142651846,0.5468681753205609,0.7028691821618863,0.5222606927827262,6.40363619011822,36.029854111361686,False,False
8,"[300,500)","[3,3.25)",10000,151506,149416,149370,137085,57652938.92592143,4796.24503426343,134356,15669.358988859383,0.8351318832622502,0.16486811673774981,0.0,0.2506925644004648,0.23727332210184637,0.2368408697706515,13.751768824053073,0.3960942517527343,0.6196183744876244,0.4464733044577372,42.43579147868897,53.36947012984908,False,False
9,"[300,500)","[3.25,3.5)",10000,112141,109549,109489,106570,40027315.04636859,11407.744140751092,103421,15861.435675403605,0.9149429523042844,0.08505704769571565,0.0,0.2630475256256551,0.24395920978013097,0.24376375251977217,9.426443949120632,0.41561509048853507,0.7103378415602245,0.39468575094079306,0.8537484158190003,35.14042168962255,False,False
10,"[500,800)","[3.25,3.5)",10000,89513,89007,88998,81229,31914320.715462685,740.4660309063212,80614,7463.49485073808,0.8023279087945407,0.19767209120545925,0.0,0.19667968990530443,0.18607003403981984,0.18586369443684247,13.698130423495186,0.310753910050381,0.5905650475161462,0.373915031643206,40.619807876794944,50.74142510828612,True,False
