run,spectrum,cells,total_excess,total_expected_counts,total_observed_over_expected,source_visible_live_days,valid_ratio_cells,median_observed_over_expected,cells_observed_over_expected_gt_1,cells_observed_over_expected_gt_1p5,spectrum_method,energy_min_tev,energy_max_tev
annnorm_active30,official_pass5,30,15533.600584879026,10925.098601889915,1.4218270379904758,15.611713218574396,30,1.3120184348577018,27,11,loglog_piecewise_powerlaw_interpolation_with_endpoint_slope_extrapolation,0.56,15.85
annnorm_active30,tutorial_v099,30,15533.600584879026,11623.547836515374,1.3363906445225116,15.611713218574396,30,1.2367204701460017,22,9,loglog_piecewise_powerlaw_interpolation_with_endpoint_slope_extrapolation,0.581,14.38
