nhit_bin,n_cells,n_used_cells,used_cell_ids,excluded_cell_ids,total_baseline_weight,effective_events,sigma_deg,sigma_error_deg,empirical_r68_deg,model_r68_deg,kl_divergence,total_variation,max_cdf_difference,multinomial_deviance,multinomial_ndof,multinomial_deviance_per_ndof,optimizer_success,boundary_flag
"[100,200)",13,12,"1,2,3,4,5,6,7,8,9,10,11,12",13,438781391.93095875,214154.0991602765,0.6853641611548502,0.0007408324469133936,0.6993883447460346,1.034620381865322,0.45384218757794603,0.3104208033102355,0.2771369787336587,194384.32968336853,98,1983.513568197638,True,False
"[200,300)",13,11,"14,15,16,17,18,19,20,21,22,23,24","25,26",198760073.1018689,48126.01158264813,0.5645657630924669,0.0012875840548642928,0.5122631769127077,0.8522640641379432,0.6711520039417558,0.37188909170452306,0.3427884608951346,64599.73823083688,98,659.1810023554784,True,False
"[300,500)",13,11,"28,29,30,31,32,33,34,35,36,37,38","27,39",160482167.95746094,17007.63472487769,0.45660904762511995,0.0017523325744219261,0.39630631481893974,0.6892934501014075,0.7764754016125278,0.394311017272381,0.3695471424767671,26412.02000695716,98,269.5104082342567,True,False
"[500,800)",13,10,"42,43,44,45,46,47,48,49,50,51","40,41,52",76983510.9293784,5666.882145698503,0.31901901972247715,0.0021230408601126825,0.30710340869006175,0.48158861918350165,0.6328539227890735,0.334920172512606,0.31026359331266323,7172.617191777319,98,73.18997134466652,True,False
"[800,1100)",13,9,"56,57,58,59,60,61,62,63,64","53,54,55,65",24259599.385797925,2974.25718922182,0.24648766832369484,0.0022668677980666194,0.2567397764035506,0.3720958579116513,0.5855920396166339,0.29764336842551903,0.2783032116135832,3483.4026675616847,98,35.54492517920087,True,False
"[1100,2000)",13,5,"70,71,72,73,74","66,67,68,69,75,76,77,78",16429481.134001156,3428.6937732389774,0.15581265798846905,0.0013403774072971329,0.20610379222989272,0.23521357089384562,0.22066137766363242,0.1029856322388807,0.0998001211212376,1513.1605831792617,98,15.4404141140741,True,False
"[2000,3000)",13,4,"86,87,88,89","79,80,81,82,83,84,85,90,91",1575984.9267424676,2535.637264111033,0.1384730427728608,0.0013888927669888774,0.18512679297202056,0.20903782326562462,0.14320084950749265,0.10157403521915681,0.09368888338292214,726.2108205271088,98,7.41031449517458,True,False
