source_file_id	hour	interval_index	start_mjd	stop_mjd	duration_seconds
0	20220101_00	0	59579.666907754974090	59579.708053377806209	3554.981812695041
1	20220101_01	0	59579.708516691069235	59579.749595284309180	3549.190455931239
2	20220101_02	0	59579.750063667845097	59579.791616351423727	3590.151861193590
3	20220101_03	0	59579.792087302237633	59579.833050038454530	3539.180409139954
4	20220101_04	0	59579.833531974742073	59579.874512468268222	3540.714640659280
5	20220101_05	0	59579.874957639840432	59579.916357842012076	3576.977467630059
6	20220101_06	0	59579.916794033480983	59579.958257327511092	3582.428604201414
7	20220101_07	0	59579.958698184389505	59579.999818423588295	3552.788666775450
8	20220101_08	0	59580.000275266313110	59580.041434375270910	3556.147013953887
9	20220101_09	0	59580.041929062710551	59580.083067743325955	3554.382005170919
10	20220101_10	0	59580.083537733815319	59580.124792042319314	3564.372254745103
11	20220101_11	0	59580.125270407552307	59580.166461028653430	3558.869663137011
12	20220101_12	0	59580.166940049261029	59580.192446829743858	2203.785833716393
12	20220101_12	1	59580.193441678420641	59580.207916349892912	1250.611615204252
13	20220101_13	0	59580.208395142974041	59580.249514092647587	3552.677251794375
14	20220101_14	0	59580.249994242250978	59580.254440276105015	384.137324988842
15	20220101_16	0	59580.366441556114296	59580.374798385426402	722.030052565970
16	20220101_17	0	59580.375284169094812	59580.416142901682178	3530.194495548494
17	20220101_18	0	59580.416625583646237	59580.458130480205000	3586.023062677123
18	20220101_19	0	59580.458619231409102	59580.499786910499097	3556.887473375537
19	20220101_20	0	59580.500269796910288	59580.541577494390367	3568.985062278807
20	20220101_21	0	59580.542070031333424	59580.582897020307428	3527.451847353950
21	20220101_22	0	59580.583379062300082	59580.624741747582448	3573.736008396372
22	20220101_23	0	59580.625212154205656	59580.666169493946654	3538.714153622277
23	20220102_00	0	59580.666610096486693	59580.689123868214665	1945.189877296798
23	20220102_00	1	59580.690059146450949	59580.708066050683556	1555.796525697224
24	20220102_01	0	59580.708508991308918	59580.749906580524112	3576.751708192751
25	20220102_02	0	59580.750360325342626	59580.771340083869291	1812.651136703789
25	20220102_02	1	59580.772275581861322	59580.791225555149140	1637.277692067437
26	20220102_03	0	59580.791674190390040	59580.833017878583632	3572.094659926370
27	20220102_04	0	59580.833454295192496	59580.874822300676897	3574.195673852228
28	20220102_05	0	59580.875245966344664	59580.916603068930272	3573.253663396463
29	20220102_06	0	59580.917020962537208	59580.957857277244329	3528.257590695284
30	20220102_07	0	59580.958283502950508	59580.987708701017254	2542.337112966925
30	20220102_07	1	59580.988695041480241	59580.999741687737696	954.430236644112
31	20220102_08	0	59581.000182776726433	59581.041210516799765	3544.796742335893
32	20220102_09	0	59581.041651292638562	59581.083252865333634	3594.375880854204
33	20220102_10	0	59581.083681144758884	59581.100775094229903	1476.917234295979
33	20220102_10	1	59581.101707292022184	59581.124858156494156	2000.234690378420
34	20220102_11	0	59581.125293421595416	59581.166350445433636	3547.326859622262
35	20220102_12	0	59581.166847122061881	59581.208212037905469	3573.928728885949
36	20220102_13	0	59581.208648504485609	59581.247225334918767	3333.038149424829
36	20220102_13	1	59581.248151978070382	59581.249686623727030	132.593384734355
37	20220102_14	0	59581.250117948096886	59581.250178082605998	5.195621587336
37	20220102_14	1	59581.251101287554775	59581.251650065787544	47.414439311251
38	20220102_16	0	59581.360092039052688	59581.360095346266462	0.285743270069
38	20220102_16	1	59581.363561347236100	59581.374776735283376	969.009527284652
39	20220102_17	0	59581.375198268266104	59581.416302603967779	3551.414604624733
40	20220102_18	0	59581.416788049325987	59581.458269962946360	3584.037336800247
41	20220102_19	0	59581.458695736037043	59581.476463072838669	1535.097899660468
41	20220102_19	1	59581.477375663649582	59581.499623451818479	1922.208897792734
42	20220102_20	0	59581.500047811787226	59581.541553567418305	3586.097286525182
43	20220102_21	0	59581.541990870318841	59581.583234536265081	3563.452737755142
44	20220102_22	0	59581.583665164675040	59581.624876637200941	3560.671226237901
45	20220102_23	0	59581.625288796793029	59581.666474413053948	3558.437244943343
46	20220103_00	0	59581.666853830596665	59581.707895202926011	3545.974569255486
47	20220103_01	0	59581.708301045910048	59581.749818577744009	3587.114750454202
48	20220103_02	0	59581.750248733085755	59581.791237513803935	3541.430654050782
49	20220103_03	0	59581.791690863254189	59581.833101495067240	3577.878588647582
50	20220103_04	0	59581.833555713390524	59581.874865516707359	3569.167006574571
51	20220103_05	0	59581.875299914972857	59581.916519024300214	3561.331045883708
52	20220103_06	0	59581.916959715177654	59581.958088307197613	3553.510350524448
53	20220103_07	0	59581.958551510084362	59581.999705896021624	3555.738944979385
54	20220103_08	0	59582.000168183163623	59582.041327881932375	3556.197973620147
55	20220103_09	0	59582.041802229789027	59582.082975081160839	3557.334358524531
56	20220103_10	0	59582.083443188312231	59582.124701028806157	3564.677418675274
57	20220103_11	0	59582.125155702597112	59582.166294529393781	3554.394635232165
58	20220103_12	0	59582.166759621701203	59582.179990576194541	1143.154468224384
58	20220103_12	1	59582.180949199959286	59582.207896795145643	2328.272224101238
59	20220103_13	0	59582.208378641786112	59582.248762127965165	3489.133205870166
60	20220103_16	0	59582.361033831883105	59582.374542642348388	1167.161224200390
61	20220103_17	0	59582.375016093617887	59582.416579462034861	3591.075031226501
62	20220103_18	0	59582.417045731090184	59582.458174596118624	3553.533938457258
63	20220103_19	0	59582.458623751837877	59582.499913764797384	3567.457119701430
64	20220103_20	0	59582.500377435266273	59582.541155817300023	3523.252207715996
65	20220103_21	0	59582.541633229433501	59582.582854471540486	3561.515318043530
66	20220103_22	0	59582.583320031801122	59582.624583249053103	3565.141970571131
67	20220103_23	0	59582.625038905964175	59582.666271938920545	3562.534047430381
68	20220104_00	0	59582.666699771019921	59582.707915481310920	3561.037369142286
69	20220104_01	0	59582.708361348333710	59582.749561708522378	3559.711120300926
70	20220104_02	0	59582.750030215160223	59582.791355287568877	3570.486256107688
71	20220104_03	0	59582.791801164341450	59582.833144884039939	3572.097381949425
72	20220104_04	0	59582.833586811888381	59582.874844200159714	3564.638346643187
73	20220104_05	0	59582.875252797079156	59582.916297131290776	3546.230475883931
74	20220104_06	0	59582.916693982457218	59582.957867538942082	3557.395280292258
75	20220104_07	0	59582.958287063847820	59582.999563133715128	3566.252436535433
76	20220104_08	0	59583.000000929023372	59583.004844843489991	418.514209915884
76	20220104_08	1	59583.005767607137386	59583.041431665929849	3081.374679668806
77	20220104_09	0	59583.041860955832817	59583.082856136643386	3541.983622033149
78	20220104_10	0	59583.083333219175984	59583.124859680567170	3587.886264198460
79	20220104_11	0	59583.125325021224853	59583.166322644487082	3542.194649856538
80	20220104_12	0	59583.166799312653893	59583.208188614378741	3576.035669026896
81	20220104_13	0	59583.208660421703826	59583.246515952552727	3270.717865345068
