label,family,parameter,value,chi2,ndof,chi2_over_ndof,delta_chi2_vs_baseline,max_abs_pull,low_mid_chi2,target_chi2,total_excess,total_model,total_obs_over_model,pull_cell_15,pull_cell_16,pull_cell_29,pull_cell_55,pull_cell_65,pull_cell_69,model_cell_15,model_cell_16,model_cell_29,model_cell_55,model_cell_65,model_cell_69
baseline,background_none,all,0.0,117.29485852619563,23,5.099776457660679,0.0,5.537946645622887,64.5076386916858,84.20927829139596,15102.898996527238,13959.41094528175,1.0819152080075403,5.537946645622887,2.1299056935916694,3.0098080955853352,3.970955641329186,-3.9240914092000083,2.962768994137671,829.4025670917723,257.56518379739805,202.80116670706394,19.439929058068643,76.08880391802298,3.1977526998855077
all_bkg_plus_0.01,background_all_cells,all,0.01,108.60899533608675,23,4.722130232003772,-8.685863190108876,5.367556416216057,54.59440727255389,79.78902692990857,14248.13798649251,13427.573361262317,1.061110418327519,5.367556416216057,1.8165932342343638,2.843186048288043,3.9769196763345267,-3.865256783385947,2.972969399652942,812.8110105386,255.5988033708502,202.3965931316697,18.987956049481912,75.53076809733477,2.9262721187108975
all_bkg_plus_0.02,background_all_cells,all,0.02,103.16889774241173,23,4.485604249670075,-14.125960783783896,5.202844135338357,47.89714559531265,75.73754516234017,13393.376976457783,12910.891358013667,1.0373704343925598,5.202844135338357,1.5050009018874497,2.677636664491932,3.9819068107218967,-3.8071632108512232,2.980456119567856,795.7244047693221,253.50576731017344,201.94595800898895,18.547667677371994,74.97861778164877,2.6766579738525986
all_bkg_plus_0.05,background_all_cells,all,0.05,107.82354630449726,23,4.687980274108576,-9.47131222169837,4.730959981133847,48.539946306644445,65.49559697035733,10829.093946353592,11452.87072484134,0.9455353340246152,4.730959981133847,0.5783030878701316,2.1893488763095803,3.999261153747895,-3.610887452547765,2.9922121737579666,742.5244191231678,246.63177628350772,200.23504791605313,17.198180783242037,73.14748044473387,2.014067477380855
all_bkg_plus_0.10,background_all_cells,all,0.1,195.14637176280658,23,8.48462485925246,77.85151323661096,6.510685091180891,130.07103136138596,54.70272202359647,6555.288896179955,9350.3870216562,0.7010713974723626,4.016726145178751,-0.9309299447057829,1.405344699148217,4.005386907106595,-3.2973680289418112,2.968374743685757,647.5593336239084,232.5786310280955,196.10350283400516,15.221722976035885,70.20365150741694,1.2597087245977239
all_bkg_plus_0.15,background_all_cells,all,0.15,398.77953766604884,23,17.33824076808908,281.4846791398532,10.736029831119614,330.3431061526755,50.93606670907687,2281.4838460063343,7637.368320808656,0.29872643954989553,3.341269034750959,-2.3985701063990894,0.6563395314388415,3.967211801045187,-3.0689564515765757,2.903584790328134,549.2133813420493,215.46293782997154,190.46905537196605,13.77514449167322,67.93575595942832,0.8353387303852153
all_bkg_plus_0.20,background_all_cells,all,0.2,735.5685975463201,23,31.981243371579136,618.2737390201245,16.006447071682075,665.6325362548644,53.35717128999888,-1992.3212041673107,6252.445130470809,-0.31864673141358524,2.6366324426613192,-3.837408426111957,-0.06319737603235696,3.891407145994811,-2.932784366859058,2.8162687366052084,453.41153093941006,196.2265200934408,183.56920299877035,12.778650276513877,66.40043391258264,0.5924803818209289
"nhit_[125,200)_bkg_plus_0.02",background_nhit_row,"[125,200)",0.02,115.68779624891444,23,5.02990418473541,-1.6070622772811873,5.64801693657933,57.29413308001196,85.36650930672849,13790.745245884971,13315.974655415917,1.0356542125345631,5.64801693657933,2.1030746917480068,2.9523179268057658,4.050203860223235,-3.835101759016752,3.0356470281393557,819.8057539162043,259.5407923032195,205.26986833141822,18.492046937635788,75.38204092823494,2.610513378887466
"nhit_[125,200)_bkg_plus_0.05",background_nhit_row,"[125,200)",0.05,145.44504212070345,23,6.3236974835088455,28.150183594507823,5.829039271367261,77.8657067334582,87.0453218459365,11822.514619921569,12445.84815814866,0.9499163471780767,5.829039271367261,2.0708221964195057,2.881357662073673,4.172288276091567,-3.6482251755008,3.1240294625453457,804.0227709471452,261.91559382856786,208.3169931621072,17.031804214202534,73.89785200721862,1.8983421261952247
"nhit_[125,200)_bkg_plus_0.10",background_nhit_row,"[125,200)",0.1,288.4616937797898,23,12.541812773034339,171.16683525359417,7.698128863057809,205.6111053278173,90.21949527299795,8542.130243315909,11242.75148634982,0.759790008138771,6.1696922739365085,2.041131211932419,2.7972084231538883,4.353588928056039,-3.294078401896474,3.218557418892099,774.3219025752511,264.10178731626115,211.93046946978635,14.86328044397497,71.08518972547078,1.1366512592446067
