cell_id,nhit_bin,predE_bin,N_on,B_on,excess,logpar_model,logpar_pull,required_delta_b_to_logpar,required_delta_b_over_b_to_logpar,official_expected_aperture_response,required_delta_b_to_official,required_delta_b_over_b_to_official,annulus_residual_rms,annulus_surface_scale,surface_fit_chi2_over_ndof,source_masked_fraction,offsource_mean_sigma,sigma_obs_over_mc
15,"[200,300)","[3,3.25)",4457.0,3144.754706932895,1312.2452930671052,829.4025670917723,5.537946645622887,482.8427259753329,0.1535390741003941,767.4085088068825,544.8367842602227,0.1732525538666278,0.9941459536367622,1.0296347702205082,1.022866583474922,0.06812397481682551,-4.93339919989098,0.9597922841630846
55,"[800,1100)","[4.0,4.25)",105.0,38.063762432081,66.936237567919,19.439929058068643,3.970955641329186,47.49630850985035,1.2478090833663724,21.26322103818768,45.67301652973131,1.199908091356651,0.7080824476092764,1.215309132513752,0.336826305027857,0.07432067662407774,-1.2805742694543518,
65,"[1100,2000)","[3.5,3.75)",54.0,9.076647017636056,44.923352982363944,76.08880391802298,-3.9240914092000083,-31.16545093565903,-3.43358630947134,76.53973782787769,-31.616384845513743,-3.483266979985302,0.7578004547050247,1.24552248442574,0.36617528127638516,0.07376152523831848,-7.736840178177459,
29,"[300,500)","[3.5,3.75)",1088.0,755.9538111908837,332.0461888091163,202.80116670706394,3.0098080955853352,129.24502210205236,0.17096946954794448,194.10731113373853,137.93887767537777,0.18246998114617247,0.984825853828393,1.2390987949611916,1.1763851793859887,0.06980892092220874,-2.0266574242220905,0.7702957290254532
69,"[1100,2000)","[4.5,4.75)",46.0,18.928737590024877,27.071262409975123,3.1977526998855077,2.962768994137671,23.873509710089614,1.2612309509045414,5.031199711141823,22.0400626988333,1.1643704496409755,0.4729877367178125,1.105225634760089,0.1848367000802006,0.06985146527498996,-0.8728025420851868,
26,"[300,500)","[2.5,3)",1834.0,1008.1763984630026,825.8236015369974,952.4781802210179,-2.3757206914307054,-126.65457868402041,-0.12562739901182907,860.182911404161,-34.359309867163574,-0.03408065286942389,1.0028095792072311,1.061717909160002,1.0842976257084849,0.07083904150743865,-2.890582830139497,1.0117708794536815
16,"[200,300)","[3.25,3.5)",2918.0,2503.606538623724,414.3934613762758,257.56518379739805,2.1299056935916694,156.82827757887776,0.06264094423762329,241.9765753897253,172.4168859865505,0.06886740521189526,0.9956027111257506,1.0760657185379803,1.061423097054503,0.06695521490832582,-2.8997603934640797,0.6348777296010917
67,"[1100,2000)","[4.0,4.25)",93.0,17.83737579388189,75.16262420611811,55.03192172536555,1.9121229447379533,20.13070248075256,1.1285686142048579,63.86368538841751,11.298938817700602,0.6334417656646595,1.0182339197241992,1.3837446587759115,0.5778300289195694,0.06965370355762404,-0.42612495765336733,
2,"[125,200)","[2.5,3)",40293.0,36636.02456968762,3656.9754303123773,3132.7673476234922,1.8899860562601962,524.208082688885,0.014308541629339635,2779.8193230031366,877.1561073092407,0.023942447839577913,0.9917339211546792,1.004509191606418,0.9904926923530535,0.06806580069377179,-18.591920133067646,0.8572492351991611
3,"[125,200)","[3,3.25)",9462.0,8804.991051593839,657.0089484061609,443.50526368195426,1.5796899916584755,213.50368472420666,0.024248029722365158,408.8878176227195,248.1211307834414,0.02817960056172092,0.9970613765014931,1.022853395704503,1.0154302765628884,0.07500832500832501,-4.794674227822843,0.7254728227710241
28,"[300,500)","[3.25,3.5)",1706.0,905.5029146436214,800.4970853563786,720.8720854954908,1.5581317854490113,79.6249998608879,0.08793455942902834,677.9500923150175,122.54699304136113,0.13533583499241628,0.9821728820810561,1.0633483933179235,1.0403945714664602,0.06820460368416256,-1.7982860527604205,0.963507579857613
