label,mode,fraction,cell_id,nhit_bin,predE_bin,excess,model,pull
baseline,baseline,0.0,1,"[125,200)","[2,2.5)",1117.3280891682298,1339.7695506177995,-1.0925717130726595
baseline,baseline,0.0,2,"[125,200)","[2.5,3)",3656.9754303123773,3132.7673476234922,1.8899860562601962
baseline,baseline,0.0,3,"[125,200)","[3,3.25)",657.0089484061609,443.50526368195426,1.5796899916584755
baseline,baseline,0.0,14,"[200,300)","[2.5,3)",2347.257471674584,2542.0596273299184,-1.42557379638255
baseline,baseline,0.0,15,"[200,300)","[3,3.25)",1312.2452930671052,829.4025670917723,5.537946645622887
baseline,baseline,0.0,16,"[200,300)","[3.25,3.5)",414.3934613762758,257.56518379739805,2.1299056935916694
baseline,baseline,0.0,26,"[300,500)","[2.5,3)",825.8236015369974,952.4781802210179,-2.3757206914307054
baseline,baseline,0.0,27,"[300,500)","[3,3.25)",1521.580954995197,1430.882423120127,1.3354753580229233
baseline,baseline,0.0,28,"[300,500)","[3.25,3.5)",800.4970853563786,720.8720854954908,1.5581317854490113
baseline,baseline,0.0,29,"[300,500)","[3.5,3.75)",332.0461888091163,202.80116670706394,3.0098080955853352
baseline,baseline,0.0,30,"[300,500)","[3.75,4.0)",105.27744444227983,62.43689598920566,1.0462233747755785
baseline,baseline,0.0,40,"[500,800)","[3.25,3.5)",758.121180063778,813.7700959330975,-1.4126279830731432
baseline,baseline,0.0,41,"[500,800)","[3.5,3.75)",363.4486411893382,387.7901410636949,-0.8861412067670631
baseline,baseline,0.0,42,"[500,800)","[3.75,4.0)",79.48698952925884,91.7217427843557,-0.6144216271313404
baseline,baseline,0.0,52,"[800,1100)","[3.25,3.5)",142.15595782924356,157.6579538468538,-1.0804843235591695
baseline,baseline,0.0,53,"[800,1100)","[3.5,3.75)",207.45185401129478,224.42294147057785,-0.9038585155604794
baseline,baseline,0.0,54,"[800,1100)","[3.75,4.0)",96.97117325892498,94.54149140322698,0.1688628053530341
baseline,baseline,0.0,55,"[800,1100)","[4.0,4.25)",66.936237567919,19.439929058068643,3.970955641329186
baseline,baseline,0.0,65,"[1100,2000)","[3.5,3.75)",44.923352982363944,76.08880391802298,-3.9240914092000083
baseline,baseline,0.0,66,"[1100,2000)","[3.75,4.0)",110.29316035381666,99.36640402734066,0.8871328833365206
baseline,baseline,0.0,67,"[1100,2000)","[4.0,4.25)",75.16262420611811,55.03192172536555,1.9121229447379533
baseline,baseline,0.0,68,"[1100,2000)","[4.25,4.5)",23.9886827604404,17.781689242246987,0.7758055992295868
baseline,baseline,0.0,69,"[1100,2000)","[4.5,4.75)",27.071262409975123,3.1977526998855077,2.962768994137671
baseline,baseline,0.0,81,"[2000,3000)","[4.5,4.75)",4.110992663272295,2.7384356101005825,0.48867399207097056
baseline,baseline,0.0,82,"[2000,3000)","[4.75,5.0)",4.207423108797498,1.0553940692107264,0.7472583632475023
baseline,baseline,0.0,83,"[2000,3000)","[5,6)",8.135495447995465,0.2659567544592347,1.3523120316887232
left_0.05,left,0.05,1,"[125,200)","[2,2.5)",1117.3280891682298,1440.8492444348055,-1.5890475656894776
left_0.05,left,0.05,2,"[125,200)","[2.5,3)",3656.9754303123773,3178.8823600105225,1.723722442107798
left_0.05,left,0.05,3,"[125,200)","[3,3.25)",657.0089484061609,592.6016279263619,0.47654259308407637
left_0.05,left,0.05,14,"[200,300)","[2.5,3)",2347.257471674584,2514.410767861802,-1.2232377933490493
left_0.05,left,0.05,15,"[200,300)","[3,3.25)",1312.2452930671052,932.7162793951237,4.3529938738037215
left_0.05,left,0.05,16,"[200,300)","[3.25,3.5)",414.3934613762758,287.82481134000045,1.71894566786202
left_0.05,left,0.05,26,"[300,500)","[2.5,3)",825.8236015369974,932.5364579581768,-2.001664240453201
left_0.05,left,0.05,27,"[300,500)","[3,3.25)",1521.580954995197,1426.9469868700114,1.3934220306585814
left_0.05,left,0.05,28,"[300,500)","[3.25,3.5)",800.4970853563786,759.1681192636007,0.8087406699077846
left_0.05,left,0.05,29,"[300,500)","[3.5,3.75)",332.0461888091163,227.72959406091516,2.429284519206598
