group,cell_ids,cells_present,nhit_bin,predE_span,excess,logpar_model,error_quadrature,group_pull,individual_chi2_sum,group_chi2,chi2_relief,obs_over_logpar,official_expected_aperture_response,obs_over_official,required_delta_b_over_b_to_logpar,required_delta_b_over_b_to_official
nhit_200_300_cells_14_15_16,"14,15,16",3,"[200,300)","[2.5,3)..[3.25,3.5)",4073.896226117965,3629.027378219089,178.03399611838753,2.4987859487412223,37.23761196229256,6.24393121762657,30.99368074466599,1.1225862473700023,3280.444446751083,1.2418732559707597,0.032210955415465106,0.05745028003245956
nhit_1100_2000_cells_65_to_69,"65,66,67,68,69",5,"[1100,2000)","[3.5,3.75)..[4.5,4.75)",281.43908271271425,251.46657161286169,21.32043426591695,1.4058114729758064,29.221586736667142,1.9763058975504066,27.245280839116734,1.1191908368083052,274.5991910630405,1.0249086372876586,0.34625916682903485,0.07901824361418132
nhit_800_1100_cells_52_to_55,"52,53,54,55",4,"[800,1100)","[3.25,3.5)..[4.0,4.25)",513.5152226673823,496.0623157787273,30.141081223682367,0.5790405048556118,17.781409942044096,0.33528790626344174,17.446122035780654,1.035182892014801,486.78220804459943,1.054917813718314,0.08837596053927554,0.135367469755693
nhit_300_500_cells_26_to_30,"26,27,28,29,30",5,"[300,500)","[2.5,3)..[3.75,4.0)",3585.225275139969,3369.4707515329055,116.56232120569679,1.850979985430481,20.00884601858279,3.4261269064642232,16.582719112118568,1.064032169891639,3124.833953150042,1.1473330515772917,0.043144219741492656,0.0920639995441533
low_125_200_cells_1_2_3,"1,2,3",3,"[125,200)","[2,2.5)..[3,3.25)",5431.312467886768,4916.042161923247,369.6575273575708,1.3939126565251814,7.261180710810449,1.9429924940210883,5.318188216789361,1.10481405345839,4379.20169500293,1.2402517276343752,0.007853809901641638,0.016036394704033084
nhit_200_300_cells_15_16,"15,16",2,"[200,300)","[3,3.25)..[3.25,3.5)",1726.638754443381,1086.9677508891705,114.11994236572598,5.605251722825309,35.20535131336,31.418846876236096,3.7865044371239023,1.588491243673919,1009.3850841966079,1.7105847723296321,0.1132489541205281,0.12698438344590887
nhit_300_500_cells_27_28_29,"27,28,29",3,"[300,500)","[3,3.25)..[3.5,3.75)",2654.124229160692,2354.555675322682,95.22539456909227,3.1458893417412224,13.270213864964003,9.89661975048102,3.373594114482982,1.1272293354443426,2201.894312207518,1.2053822086037314,0.09341445545288657,0.14101884490362268
nhit_300_500_cells_28_29_30,"28,29,30",3,"[300,500)","[3.25,3.5)..[3.75,4.0)",1237.8207186077748,986.1101481917605,78.30823252629462,3.2143564258265447,12.581302783004347,10.332087232252398,2.2492155507519485,1.2552560389704723,934.814132987119,1.3241356489256575,0.10285742950259599,0.12381871157730308
low_125_200_cells_2_3,"2,3",2,"[125,200)","[2.5,3)..[3,3.25)",4313.984378718538,3576.2726113054464,308.5385156204675,2.390987607915212,6.067467762603924,5.716821741204107,0.3506460213998164,1.2062795115453475,3188.707140625856,1.3528945081710517,0.016234491182182075,0.024763470241754
nhit_2000_3000_cells_81_to_83,"81,82,83",3,"[2000,3000)","[4.5,4.75)..[5,6)",16.453911220065258,4.059786433770544,7.7166112238426745,1.606161620271801,2.6259451630199973,2.579755150434137,0.046190012585860085,4.052900685414532,9.11182379264999,1.805775835276548,0.5752378036164507,0.34076195927739544
nhit_500_800_cells_40_41_42,"40,41,42",3,"[500,800)","[3.25,3.5)..[3.75,4.0)",1201.056810782375,1293.281979781148,51.98983736479299,-1.7739076264398381,3.158277992778607,3.14674826714142,0.011529725637186683,0.9286890481421696,1232.197856794305,0.9747272356949663,-0.12281244483335486,-0.04146924355805733
