cell_id,nhit_bin,predE_bin,predE_width_dex,logE_p16,logE_p50,logE_p84,sigma68_dex,E_p16_TeV,E_p50_TeV,E_p84_TeV,predE_width_over_sigma68,too_fine_flag
30,"[300,500)","[3.75,4.0)",0.25,3.4859162324714865,3.715882364724782,3.9061582772792782,0.21012102240389585,3.061372893434971,5.198551667715338,8.056720123706725,1.189790517578239,False
3,"[125,200)","[3,3.25)",0.25,2.804761546391579,3.010519521405046,3.2069694125224295,0.20110393306542518,0.6379131376068546,1.0245178310407024,1.610532200966142,1.2431382926691317,False
16,"[200,300)","[3.25,3.5)",0.25,3.0412542740453676,3.241967242411516,3.4252366446251696,0.191991185289901,1.0996494821568878,1.745690475523506,2.6621752690168052,1.3021431146565787,False
29,"[300,500)","[3.5,3.75)",0.25,3.2649873138646073,3.459033507970779,3.6325592064595957,0.18378594629749423,1.840718231635943,2.877620428842667,4.291006836515129,1.3602781117731664,False
42,"[500,800)","[3.75,4.0)",0.25,3.507233935127282,3.692410976152659,3.863666634149904,0.17821634951131093,3.2153920609880586,4.92505376794929,7.305780741001346,1.402789366326534,False
15,"[200,300)","[3,3.25)",0.25,2.8584675904004966,3.036096754704608,3.205238855494293,0.17338563254689832,0.7218842896905815,1.0866676909350104,1.604127394289616,1.4418726415083938,False
55,"[800,1100)","[4.0,4.25)",0.25,3.774438362038781,3.9452495945727284,4.114359795217805,0.16996071658951184,5.948923196927465,8.815553685528396,13.012471616636706,1.4709281357279669,False
69,"[1100,2000)","[4.5,4.75)",0.25,4.253993167180913,4.413603148075881,4.573046802374682,0.15952681759688447,17.947053902460066,25.918099218330756,37.41509070146208,1.5671346283089298,False
28,"[300,500)","[3.25,3.5)",0.25,3.090051013628058,3.2539338485986162,3.406644617723433,0.15829680204768737,1.2304132906307745,1.7944602752060468,2.550613286889411,1.579311753402869,False
27,"[300,500)","[3,3.25)",0.25,2.908121674160639,3.070865578697259,3.220253462686869,0.156065894263115,0.8093226113756948,1.1772415414575612,1.660555757252329,1.6018874667037717,False
82,"[2000,3000)","[4.75,5.0)",0.25,4.614853964858618,4.767361211704207,4.909710245213215,0.14742814017729833,41.195897116505975,58.52766684772296,81.22883886631486,1.6957413944132231,False
81,"[2000,3000)","[4.5,4.75)",0.25,4.458107143571631,4.599799127892144,4.748491115884401,0.14519198615638507,28.714889116090312,39.792307856307424,56.03909536474152,1.721858117780186,False
41,"[500,800)","[3.5,3.75)",0.25,3.352551132482657,3.4967990079768554,3.638298820141238,0.14287384382929047,2.2519105340853622,3.139055598843094,4.348092956337533,1.7497954370059978,False
40,"[500,800)","[3.25,3.5)",0.25,3.169129549426907,3.3162240798380584,3.452869749451517,0.14187010001230504,1.476146800100309,2.0712097405154553,2.837068027332967,1.7621753983278814,False
68,"[1100,2000)","[4.25,4.5)",0.25,4.09649745754434,4.2415520454065145,4.378535379844479,0.14101896115006962,12.488131337415437,17.44022346797307,23.907566906504744,1.7728112443968076,False
54,"[800,1100)","[3.75,4.0)",0.25,3.633327086042941,3.7691273214768706,3.910129440031795,0.1384011769944269,4.298600511622822,5.8766161117155935,8.130728137132584,1.806343019828993,False
67,"[1100,2000)","[4.0,4.25)",0.25,3.9319525335447425,4.065072638120683,4.202982728312119,0.13551509738368805,8.549732630029723,11.616428887017076,15.958156811334572,1.8448129014892511,False
66,"[1100,2000)","[3.75,4.0)",0.25,3.7642135243156973,3.8910170932717514,4.025315550992985,0.13055101333864405,5.810500251437633,7.780671741595454,10.600236406098253,1.9149602412622422,False
53,"[800,1100)","[3.5,3.75)",0.25,3.47319450511334,3.6065905196607613,3.7336127603789646,0.13020912763281234,2.9729972337577113,4.041946117026879,5.415178295199272,1.9199882876490504,False
52,"[800,1100)","[3.25,3.5)",0.25,3.3388722193348874,3.4639434599706664,3.591200240740326,0.12616401070271932,2.1820877907381426,2.91033820162652,3.901218192069269,1.9815476585400875,False
65,"[1100,2000)","[3.5,3.75)",0.25,3.6164432437012475,3.7336426691906826,3.8572698012820346,0.12041327879039354,4.134692760850699,5.415551238287147,7.198960676425248,2.0761829800779807,False
1,"[125,200)","[2,2.5)",0.5,2.203821058104248,2.436513579914623,2.658760392656694,0.22746966727622286,0.1598899100171115,0.2732206875670897,0.45578538234676685,2.198095271282196,False
2,"[125,200)","[2.5,3)",0.5,2.490607947840375,2.719285348800944,2.926631350413031,0.21801170128632807,0.3094624416887092,0.5239445760060973,0.8445616371546606,2.293454879026514,False
14,"[200,300)","[2.5,3)",0.5,2.5692925819793895,2.7842193926097507,2.9799390791758475,0.20532324859822904,0.3709305316342976,0.608442290540338,0.9548586334674003,2.4351845366443934,False
26,"[300,500)","[2.5,3)",0.5,2.6783335114051976,2.8580815261826586,3.0258984433945284,0.1737824659946654,0.47679699696898664,0.7212428588868491,1.0614473164413811,2.877160230971452,False
83,"[2000,3000)","[5,6)",1.0,4.788440392300539,4.943221583608459,5.119780757196026,0.16567018244774356,61.43847005124253,87.74483943869072,131.75914172682727,6.0360892058257045,False
