variant,stage_e_N_on,stage_e_B_on,stage_e_excess,stage_e_sigma,stage_f_model,stage_f_error,stage_f_phi0,stage_f_gamma_or_alpha,stage_f_beta,stage_f_chi2,stage_f_ndof,stage_g_points,stage_g_run
active_reference,134334,110801.38715800525,23532.61284199475,68.39246261837944,logpar,conservative,3.013386785068258e-12,2.8015747382288296,0.13279850950123362,264.2942827621865,27,18,v3_stage_g_psfborrow_slurm_42029
annulus_normalized_surface,128987,113387.29360551314,15599.706394486857,45.321365390198594,logpar,conservative,2.741443517901979e-12,2.8394291043506046,0.14570224072463314,105.61958919158393,27,18,v3_stage_g_annnorm_from_directpsf
