scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
file,202201,3,9,"[300,500)","[3.25,3.5)",1209
file,202201,3,10,"[500,800)","[3.25,3.5)",417
file,202201,3,11,"[500,800)","[3.5,3.75)",436
file,202201,3,12,"[500,800)","[3.75,4.0)",174
file,202201,3,13,"[800,1100)","[3.5,3.75)",101
file,202201,3,14,"[800,1100)","[3.75,4.0)",110
file,202201,3,15,"[800,1100)","[4.0,4.25)",35
file,202201,3,16,"[1100,2000)","[3.75,4.0)",44
file,202201,3,17,"[1100,2000)","[4.0,4.25)",39
file,202201,3,18,"[1100,2000)","[4.25,4.5)",24
file,202201,4,1,"[30,60)","[2,3)",20290
file,202201,4,2,"[60,100)","[2,3)",31041
file,202201,4,3,"[60,100)","[3,3.25)",1342
file,202201,4,4,"[100,200)","[2,3)",34410
file,202201,4,5,"[100,200)","[3,3.25)",3403
file,202201,4,6,"[200,300)","[2,3)",5467
file,202201,4,7,"[200,300)","[3,3.25)",2040
file,202201,4,8,"[300,500)","[3,3.25)",1916
file,202201,4,9,"[300,500)","[3.25,3.5)",970
file,202201,4,10,"[500,800)","[3.25,3.5)",797
file,202201,4,11,"[500,800)","[3.5,3.75)",325
file,202201,4,12,"[500,800)","[3.75,4.0)",47
file,202201,4,13,"[800,1100)","[3.5,3.75)",193
file,202201,4,14,"[800,1100)","[3.75,4.0)",94
file,202201,4,15,"[800,1100)","[4.0,4.25)",10
file,202201,4,16,"[1100,2000)","[3.75,4.0)",76
file,202201,4,17,"[1100,2000)","[4.0,4.25)",73
file,202201,4,18,"[1100,2000)","[4.25,4.5)",31
file,202201,5,1,"[30,60)","[2,3)",53669
file,202201,5,2,"[60,100)","[2,3)",51415
file,202201,5,3,"[60,100)","[3,3.25)",2118
file,202201,5,4,"[100,200)","[2,3)",47302
file,202201,5,5,"[100,200)","[3,3.25)",3259
file,202201,5,6,"[200,300)","[2,3)",7664
file,202201,5,7,"[200,300)","[3,3.25)",1936
file,202201,5,8,"[300,500)","[3,3.25)",2292
file,202201,5,9,"[300,500)","[3.25,3.5)",748
file,202201,5,10,"[500,800)","[3.25,3.5)",885
file,202201,5,11,"[500,800)","[3.5,3.75)",268
file,202201,5,12,"[500,800)","[3.75,4.0)",36
file,202201,5,13,"[800,1100)","[3.5,3.75)",245
file,202201,5,14,"[800,1100)","[3.75,4.0)",95
file,202201,5,15,"[800,1100)","[4.0,4.25)",20
file,202201,5,16,"[1100,2000)","[3.75,4.0)",97
file,202201,5,17,"[1100,2000)","[4.0,4.25)",71
file,202201,5,18,"[1100,2000)","[4.25,4.5)",27
file,202201,6,1,"[30,60)","[2,3)",32352
file,202201,6,2,"[60,100)","[2,3)",39916
file,202201,6,3,"[60,100)","[3,3.25)",1716
file,202201,6,4,"[100,200)","[2,3)",39639
file,202201,6,5,"[100,200)","[3,3.25)",3102
file,202201,6,6,"[200,300)","[2,3)",6468
file,202201,6,7,"[200,300)","[3,3.25)",1916
file,202201,6,8,"[300,500)","[3,3.25)",2061
file,202201,6,9,"[300,500)","[3.25,3.5)",775
file,202201,6,10,"[500,800)","[3.25,3.5)",796
file,202201,6,11,"[500,800)","[3.5,3.75)",279
file,202201,6,12,"[500,800)","[3.75,4.0)",50
file,202201,6,13,"[800,1100)","[3.5,3.75)",210
file,202201,6,14,"[800,1100)","[3.75,4.0)",73
file,202201,6,15,"[800,1100)","[4.0,4.25)",21
file,202201,6,16,"[1100,2000)","[3.75,4.0)",79
file,202201,6,17,"[1100,2000)","[4.0,4.25)",45
file,202201,6,18,"[1100,2000)","[4.25,4.5)",27
file,202201,7,1,"[30,60)","[2,3)",8592
file,202201,7,2,"[60,100)","[2,3)",19201
file,202201,7,3,"[60,100)","[3,3.25)",1028
file,202201,7,4,"[100,200)","[2,3)",23514
file,202201,7,5,"[100,200)","[3,3.25)",3389
file,202201,7,6,"[200,300)","[2,3)",3467
file,202201,7,7,"[200,300)","[3,3.25)",2071
file,202201,7,8,"[300,500)","[3,3.25)",1403
file,202201,7,9,"[300,500)","[3.25,3.5)",1075
file,202201,7,10,"[500,800)","[3.25,3.5)",510
file,202201,7,11,"[500,800)","[3.5,3.75)",424
file,202201,7,12,"[500,800)","[3.75,4.0)",66
file,202201,7,13,"[800,1100)","[3.5,3.75)",142
file,202201,7,14,"[800,1100)","[3.75,4.0)",88
file,202201,7,15,"[800,1100)","[4.0,4.25)",24
file,202201,7,16,"[1100,2000)","[3.75,4.0)",48
file,202201,7,17,"[1100,2000)","[4.0,4.25)",70
file,202201,7,18,"[1100,2000)","[4.25,4.5)",20
file,202201,8,1,"[30,60)","[2,3)",3978
file,202201,8,2,"[60,100)","[2,3)",8283
file,202201,8,3,"[60,100)","[3,3.25)",750
file,202201,8,4,"[100,200)","[2,3)",10227
file,202201,8,5,"[100,200)","[3,3.25)",2845
file,202201,8,6,"[200,300)","[2,3)",1188
file,202201,8,7,"[200,300)","[3,3.25)",1183
file,202201,8,8,"[300,500)","[3,3.25)",512
file,202201,8,9,"[300,500)","[3.25,3.5)",715
file,202201,8,10,"[500,800)","[3.25,3.5)",194
file,202201,8,11,"[500,800)","[3.5,3.75)",295
file,202201,8,12,"[500,800)","[3.75,4.0)",145
file,202201,8,13,"[800,1100)","[3.5,3.75)",64
file,202201,8,14,"[800,1100)","[3.75,4.0)",69
file,202201,8,15,"[800,1100)","[4.0,4.25)",32
file,202201,8,16,"[1100,2000)","[3.75,4.0)",28
file,202201,8,17,"[1100,2000)","[4.0,4.25)",25
file,202201,8,18,"[1100,2000)","[4.25,4.5)",31
file,202201,9,1,"[30,60)","[2,3)",2936
file,202201,9,2,"[60,100)","[2,3)",4486
file,202201,9,3,"[60,100)","[3,3.25)",413
file,202201,9,4,"[100,200)","[2,3)",4773
file,202201,9,5,"[100,200)","[3,3.25)",1158
file,202201,9,6,"[200,300)","[2,3)",617
file,202201,9,7,"[200,300)","[3,3.25)",434
file,202201,9,8,"[300,500)","[3,3.25)",198
file,202201,9,9,"[300,500)","[3.25,3.5)",219
file,202201,9,10,"[500,800)","[3.25,3.5)",70
file,202201,9,11,"[500,800)","[3.5,3.75)",82
file,202201,9,12,"[500,800)","[3.75,4.0)",69
file,202201,9,13,"[800,1100)","[3.5,3.75)",27
file,202201,9,14,"[800,1100)","[3.75,4.0)",11
file,202201,9,15,"[800,1100)","[4.0,4.25)",14
file,202201,9,16,"[1100,2000)","[3.75,4.0)",11
file,202201,9,17,"[1100,2000)","[4.0,4.25)",13
file,202201,9,18,"[1100,2000)","[4.25,4.5)",9
file,202201,10,1,"[30,60)","[2,3)",2971
file,202201,10,2,"[60,100)","[2,3)",3992
file,202201,10,3,"[60,100)","[3,3.25)",207
file,202201,10,4,"[100,200)","[2,3)",4438
file,202201,10,5,"[100,200)","[3,3.25)",742
file,202201,10,6,"[200,300)","[2,3)",601
file,202201,10,7,"[200,300)","[3,3.25)",346
file,202201,10,8,"[300,500)","[3,3.25)",250
file,202201,10,9,"[300,500)","[3.25,3.5)",192
file,202201,10,10,"[500,800)","[3.25,3.5)",108
file,202201,10,11,"[500,800)","[3.5,3.75)",63
file,202201,10,12,"[500,800)","[3.75,4.0)",25
file,202201,10,13,"[800,1100)","[3.5,3.75)",30
file,202201,10,14,"[800,1100)","[3.75,4.0)",13
file,202201,10,15,"[800,1100)","[4.0,4.25)",7
file,202201,10,16,"[1100,2000)","[3.75,4.0)",5
file,202201,10,17,"[1100,2000)","[4.0,4.25)",7
file,202201,10,18,"[1100,2000)","[4.25,4.5)",6
file,202201,11,1,"[30,60)","[2,3)",2752
file,202201,11,2,"[60,100)","[2,3)",4037
file,202201,11,3,"[60,100)","[3,3.25)",219
file,202201,11,4,"[100,200)","[2,3)",4197
file,202201,11,5,"[100,200)","[3,3.25)",697
file,202201,11,6,"[200,300)","[2,3)",586
file,202201,11,7,"[200,300)","[3,3.25)",316
file,202201,11,8,"[300,500)","[3,3.25)",212
file,202201,11,9,"[300,500)","[3.25,3.5)",179
file,202201,11,10,"[500,800)","[3.25,3.5)",81
file,202201,11,11,"[500,800)","[3.5,3.75)",61
file,202201,11,12,"[500,800)","[3.75,4.0)",15
file,202201,11,13,"[800,1100)","[3.5,3.75)",17
file,202201,11,14,"[800,1100)","[3.75,4.0)",9
file,202201,11,15,"[800,1100)","[4.0,4.25)",11
file,202201,11,16,"[1100,2000)","[3.75,4.0)",14
file,202201,11,17,"[1100,2000)","[4.0,4.25)",9
file,202201,11,18,"[1100,2000)","[4.25,4.5)",6
file,202201,12,1,"[30,60)","[2,3)",2659
file,202201,12,2,"[60,100)","[2,3)",3854
file,202201,12,3,"[60,100)","[3,3.25)",226
file,202201,12,4,"[100,200)","[2,3)",4103
file,202201,12,5,"[100,200)","[3,3.25)",655
file,202201,12,6,"[200,300)","[2,3)",571
file,202201,12,7,"[200,300)","[3,3.25)",333
file,202201,12,8,"[300,500)","[3,3.25)",225
file,202201,12,9,"[300,500)","[3.25,3.5)",195
file,202201,12,10,"[500,800)","[3.25,3.5)",87
file,202201,12,11,"[500,800)","[3.5,3.75)",66
file,202201,12,12,"[500,800)","[3.75,4.0)",27
file,202201,12,13,"[800,1100)","[3.5,3.75)",27
file,202201,12,14,"[800,1100)","[3.75,4.0)",8
file,202201,12,15,"[800,1100)","[4.0,4.25)",4
file,202201,12,16,"[1100,2000)","[3.75,4.0)",8
file,202201,12,17,"[1100,2000)","[4.0,4.25)",6
file,202201,12,18,"[1100,2000)","[4.25,4.5)",5
file,202201,13,1,"[30,60)","[2,3)",2750
file,202201,13,2,"[60,100)","[2,3)",3927
file,202201,13,3,"[60,100)","[3,3.25)",238
file,202201,13,4,"[100,200)","[2,3)",4326
file,202201,13,5,"[100,200)","[3,3.25)",685
file,202201,13,6,"[200,300)","[2,3)",646
file,202201,13,7,"[200,300)","[3,3.25)",306
file,202201,13,8,"[300,500)","[3,3.25)",230
file,202201,13,9,"[300,500)","[3.25,3.5)",176
file,202201,13,10,"[500,800)","[3.25,3.5)",86
file,202201,13,11,"[500,800)","[3.5,3.75)",80
file,202201,13,12,"[500,800)","[3.75,4.0)",28
file,202201,13,13,"[800,1100)","[3.5,3.75)",19
file,202201,13,14,"[800,1100)","[3.75,4.0)",18
file,202201,13,15,"[800,1100)","[4.0,4.25)",7
file,202201,13,16,"[1100,2000)","[3.75,4.0)",13
file,202201,13,17,"[1100,2000)","[4.0,4.25)",5
file,202201,13,18,"[1100,2000)","[4.25,4.5)",7
file,202201,14,1,"[30,60)","[2,3)",350
file,202201,14,2,"[60,100)","[2,3)",467
file,202201,14,3,"[60,100)","[3,3.25)",29
file,202201,14,4,"[100,200)","[2,3)",543
file,202201,14,5,"[100,200)","[3,3.25)",87
file,202201,14,6,"[200,300)","[2,3)",68
file,202201,14,7,"[200,300)","[3,3.25)",36
file,202201,14,8,"[300,500)","[3,3.25)",23
file,202201,14,9,"[300,500)","[3.25,3.5)",24
file,202201,14,10,"[500,800)","[3.25,3.5)",12
file,202201,14,11,"[500,800)","[3.5,3.75)",8
file,202201,14,12,"[500,800)","[3.75,4.0)",0
file,202201,14,13,"[800,1100)","[3.5,3.75)",2
file,202201,14,14,"[800,1100)","[3.75,4.0)",1
file,202201,14,15,"[800,1100)","[4.0,4.25)",1
file,202201,14,16,"[1100,2000)","[3.75,4.0)",1
file,202201,14,17,"[1100,2000)","[4.0,4.25)",0
file,202201,14,18,"[1100,2000)","[4.25,4.5)",1
file,202201,15,1,"[30,60)","[2,3)",570
file,202201,15,2,"[60,100)","[2,3)",860
file,202201,15,3,"[60,100)","[3,3.25)",42
file,202201,15,4,"[100,200)","[2,3)",966
file,202201,15,5,"[100,200)","[3,3.25)",138
file,202201,15,6,"[200,300)","[2,3)",131
file,202201,15,7,"[200,300)","[3,3.25)",78
file,202201,15,8,"[300,500)","[3,3.25)",36
file,202201,15,9,"[300,500)","[3.25,3.5)",34
file,202201,15,10,"[500,800)","[3.25,3.5)",23
file,202201,15,11,"[500,800)","[3.5,3.75)",17
file,202201,15,12,"[500,800)","[3.75,4.0)",3
file,202201,15,13,"[800,1100)","[3.5,3.75)",2
file,202201,15,14,"[800,1100)","[3.75,4.0)",7
file,202201,15,15,"[800,1100)","[4.0,4.25)",0
file,202201,15,16,"[1100,2000)","[3.75,4.0)",4
file,202201,15,17,"[1100,2000)","[4.0,4.25)",2
file,202201,15,18,"[1100,2000)","[4.25,4.5)",3
file,202201,16,1,"[30,60)","[2,3)",2860
file,202201,16,2,"[60,100)","[2,3)",3982
file,202201,16,3,"[60,100)","[3,3.25)",245
file,202201,16,4,"[100,200)","[2,3)",4354
file,202201,16,5,"[100,200)","[3,3.25)",716
file,202201,16,6,"[200,300)","[2,3)",590
file,202201,16,7,"[200,300)","[3,3.25)",330
file,202201,16,8,"[300,500)","[3,3.25)",214
file,202201,16,9,"[300,500)","[3.25,3.5)",152
file,202201,16,10,"[500,800)","[3.25,3.5)",81
file,202201,16,11,"[500,800)","[3.5,3.75)",64
file,202201,16,12,"[500,800)","[3.75,4.0)",25
file,202201,16,13,"[800,1100)","[3.5,3.75)",25
file,202201,16,14,"[800,1100)","[3.75,4.0)",17
file,202201,16,15,"[800,1100)","[4.0,4.25)",10
file,202201,16,16,"[1100,2000)","[3.75,4.0)",9
file,202201,16,17,"[1100,2000)","[4.0,4.25)",8
file,202201,16,18,"[1100,2000)","[4.25,4.5)",3
file,202201,17,1,"[30,60)","[2,3)",2805
file,202201,17,2,"[60,100)","[2,3)",4042
file,202201,17,3,"[60,100)","[3,3.25)",226
file,202201,17,4,"[100,200)","[2,3)",4389
file,202201,17,5,"[100,200)","[3,3.25)",748
file,202201,17,6,"[200,300)","[2,3)",616
file,202201,17,7,"[200,300)","[3,3.25)",354
file,202201,17,8,"[300,500)","[3,3.25)",210
file,202201,17,9,"[300,500)","[3.25,3.5)",160
file,202201,17,10,"[500,800)","[3.25,3.5)",86
file,202201,17,11,"[500,800)","[3.5,3.75)",65
file,202201,17,12,"[500,800)","[3.75,4.0)",26
file,202201,17,13,"[800,1100)","[3.5,3.75)",18
file,202201,17,14,"[800,1100)","[3.75,4.0)",21
file,202201,17,15,"[800,1100)","[4.0,4.25)",8
file,202201,17,16,"[1100,2000)","[3.75,4.0)",13
file,202201,17,17,"[1100,2000)","[4.0,4.25)",10
file,202201,17,18,"[1100,2000)","[4.25,4.5)",5
file,202201,18,1,"[30,60)","[2,3)",2874
file,202201,18,2,"[60,100)","[2,3)",3998
file,202201,18,3,"[60,100)","[3,3.25)",251
file,202201,18,4,"[100,200)","[2,3)",4406
file,202201,18,5,"[100,200)","[3,3.25)",701
file,202201,18,6,"[200,300)","[2,3)",615
file,202201,18,7,"[200,300)","[3,3.25)",387
file,202201,18,8,"[300,500)","[3,3.25)",231
file,202201,18,9,"[300,500)","[3.25,3.5)",182
file,202201,18,10,"[500,800)","[3.25,3.5)",99
file,202201,18,11,"[500,800)","[3.5,3.75)",57
file,202201,18,12,"[500,800)","[3.75,4.0)",30
file,202201,18,13,"[800,1100)","[3.5,3.75)",16
file,202201,18,14,"[800,1100)","[3.75,4.0)",18
file,202201,18,15,"[800,1100)","[4.0,4.25)",10
file,202201,18,16,"[1100,2000)","[3.75,4.0)",10
file,202201,18,17,"[1100,2000)","[4.0,4.25)",7
file,202201,18,18,"[1100,2000)","[4.25,4.5)",10
file,202201,19,1,"[30,60)","[2,3)",2894
file,202201,19,2,"[60,100)","[2,3)",4314
file,202201,19,3,"[60,100)","[3,3.25)",354
file,202201,19,4,"[100,200)","[2,3)",4869
file,202201,19,5,"[100,200)","[3,3.25)",1033
file,202201,19,6,"[200,300)","[2,3)",629
file,202201,19,7,"[200,300)","[3,3.25)",380
file,202201,19,8,"[300,500)","[3,3.25)",221
file,202201,19,9,"[300,500)","[3.25,3.5)",207
file,202201,19,10,"[500,800)","[3.25,3.5)",88
file,202201,19,11,"[500,800)","[3.5,3.75)",55
file,202201,19,12,"[500,800)","[3.75,4.0)",58
file,202201,19,13,"[800,1100)","[3.5,3.75)",11
file,202201,19,14,"[800,1100)","[3.75,4.0)",16
file,202201,19,15,"[800,1100)","[4.0,4.25)",14
file,202201,19,16,"[1100,2000)","[3.75,4.0)",3
file,202201,19,17,"[1100,2000)","[4.0,4.25)",7
file,202201,19,18,"[1100,2000)","[4.25,4.5)",8
file,202201,20,1,"[30,60)","[2,3)",3939
file,202201,20,2,"[60,100)","[2,3)",8058
file,202201,20,3,"[60,100)","[3,3.25)",753
