cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,cell_role,exclusion_source
51,0,v3_high_energy_probes,excluded from high-energy probe selector,"[800,1100)","[3,3.25)",1093,1,0,excluded,MC_prefit_selector
52,0,v3_high_energy_probes,excluded from high-energy probe selector,"[800,1100)","[3.25,3.5)",15783,1,0,excluded,MC_prefit_selector
53,0,v3_high_energy_probes,excluded from high-energy probe selector,"[800,1100)","[3.5,3.75)",32787,1,1,excluded,MC_prefit_selector
54,0,v3_high_energy_probes,excluded from high-energy probe selector,"[800,1100)","[3.75,4.0)",22615,1,1,excluded,MC_prefit_selector
55,0,v3_high_energy_probes,excluded from high-energy probe selector,"[800,1100)","[4.0,4.25)",9020,1,1,excluded,MC_prefit_selector
56,0,v3_high_energy_probes,excluded from high-energy probe selector,"[800,1100)","[4.25,4.5)",2841,1,1,excluded,MC_prefit_selector
57,0,v3_high_energy_probes,excluded from high-energy probe selector,"[800,1100)","[4.5,4.75)",1287,1,1,excluded,MC_prefit_selector
58,0,v3_high_energy_probes,excluded from high-energy probe selector,"[800,1100)","[4.75,5.0)",1482,1,0,excluded,MC_prefit_selector
59,1,v3_high_energy_probes,high-energy probe selector cell,"[800,1100)","[5,6)",8235,1,0,probe,
60,1,v3_high_energy_probes,high-energy probe selector cell,"[800,1100)",>=6,71,0,0,probe,
61,0,v3_high_energy_probes,excluded from high-energy probe selector,"[1100,2000)","[2,2.5)",0,0,0,excluded,MC_prefit_selector
62,0,v3_high_energy_probes,excluded from high-energy probe selector,"[1100,2000)","[2.5,3)",0,0,0,excluded,MC_prefit_selector
63,0,v3_high_energy_probes,excluded from high-energy probe selector,"[1100,2000)","[3,3.25)",16,0,0,excluded,MC_prefit_selector
64,0,v3_high_energy_probes,excluded from high-energy probe selector,"[1100,2000)","[3.25,3.5)",1565,1,0,excluded,MC_prefit_selector
65,0,v3_high_energy_probes,excluded from high-energy probe selector,"[1100,2000)","[3.5,3.75)",10960,1,0,excluded,MC_prefit_selector
66,0,v3_high_energy_probes,excluded from high-energy probe selector,"[1100,2000)","[3.75,4.0)",23726,1,1,excluded,MC_prefit_selector
67,0,v3_high_energy_probes,excluded from high-energy probe selector,"[1100,2000)","[4.0,4.25)",23998,1,1,excluded,MC_prefit_selector
68,0,v3_high_energy_probes,excluded from high-energy probe selector,"[1100,2000)","[4.25,4.5)",13380,1,1,excluded,MC_prefit_selector
69,0,v3_high_energy_probes,excluded from high-energy probe selector,"[1100,2000)","[4.5,4.75)",5650,1,1,excluded,MC_prefit_selector
70,0,v3_high_energy_probes,excluded from high-energy probe selector,"[1100,2000)","[4.75,5.0)",1641,1,1,excluded,MC_prefit_selector
71,0,v3_high_energy_probes,excluded from high-energy probe selector,"[1100,2000)","[5,6)",910,1,0,excluded,MC_prefit_selector
72,1,v3_high_energy_probes,high-energy probe selector cell,"[1100,2000)",>=6,4,0,0,probe,
73,0,v3_high_energy_probes,excluded from high-energy probe selector,"[2000,3000)","[2,2.5)",0,0,0,excluded,MC_prefit_selector
74,0,v3_high_energy_probes,excluded from high-energy probe selector,"[2000,3000)","[2.5,3)",0,0,0,excluded,MC_prefit_selector
75,0,v3_high_energy_probes,excluded from high-energy probe selector,"[2000,3000)","[3,3.25)",0,0,0,excluded,MC_prefit_selector
76,0,v3_high_energy_probes,excluded from high-energy probe selector,"[2000,3000)","[3.25,3.5)",0,0,0,excluded,MC_prefit_selector
77,0,v3_high_energy_probes,excluded from high-energy probe selector,"[2000,3000)","[3.5,3.75)",4,0,0,excluded,MC_prefit_selector
78,0,v3_high_energy_probes,excluded from high-energy probe selector,"[2000,3000)","[3.75,4.0)",156,1,0,excluded,MC_prefit_selector
79,1,v3_high_energy_probes,high-energy probe selector cell,"[2000,3000)","[4.0,4.25)",1175,1,0,probe,
80,1,v3_high_energy_probes,high-energy probe selector cell,"[2000,3000)","[4.25,4.5)",3127,1,1,probe,
81,1,v3_high_energy_probes,high-energy probe selector cell,"[2000,3000)","[4.5,4.75)",5515,1,1,probe,
82,1,v3_high_energy_probes,high-energy probe selector cell,"[2000,3000)","[4.75,5.0)",5332,1,1,probe,
83,1,v3_high_energy_probes,high-energy probe selector cell,"[2000,3000)","[5,6)",7233,1,1,probe,
84,0,v3_high_energy_probes,excluded from high-energy probe selector,"[2000,3000)",>=6,0,0,0,excluded,MC_prefit_selector
