cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,cell_role,raw_ledger_version
51,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[800,1100)","[4.5,4.75)",diagnostic_response_tail,v2_raw65
52,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[800,1100)","[4.75,5.0)",diagnostic_response_tail,v2_raw65
53,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[800,1100)",>=5,diagnostic_response_tail,v2_raw65
54,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[1100,2000)","[3.5,3.75)",diagnostic_response_tail,v2_raw65
55,1,v2_baseline24,included in frozen v2 baseline24,"[1100,2000)","[3.75,4.0)",baseline_fit,v2_raw65
56,1,v2_baseline24,included in frozen v2 baseline24,"[1100,2000)","[4.0,4.25)",baseline_fit,v2_raw65
57,1,v2_baseline24,included in frozen v2 baseline24,"[1100,2000)","[4.25,4.5)",baseline_fit,v2_raw65
58,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[1100,2000)","[4.5,4.75)",diagnostic_response_tail,v2_raw65
59,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[1100,2000)","[4.75,5.0)",diagnostic_response_tail,v2_raw65
60,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[1100,2000)",>=5,diagnostic_response_tail,v2_raw65
61,0,v2_baseline24,excluded from baseline24: diagnostic_low_stat_high_energy,"[2000,3000)","[4.0,4.25)",diagnostic_low_stat_high_energy,v2_raw65
62,0,v2_baseline24,excluded from baseline24: diagnostic_low_stat_high_energy,"[2000,3000)","[4.25,4.5)",diagnostic_low_stat_high_energy,v2_raw65
63,0,v2_baseline24,excluded from baseline24: diagnostic_low_stat_high_energy,"[2000,3000)","[4.5,4.75)",diagnostic_low_stat_high_energy,v2_raw65
64,0,v2_baseline24,excluded from baseline24: diagnostic_low_stat_high_energy,"[2000,3000)","[4.75,5.0)",diagnostic_low_stat_high_energy,v2_raw65
65,0,v2_baseline24,excluded from baseline24: diagnostic_low_stat_high_energy,"[2000,3000)",>=5,diagnostic_low_stat_high_energy,v2_raw65
