cell_id,nhit_bin,predE_bin,mc_count,candidate_version,central99_flag,selection_version,selection_reason,raw_ledger_version,cell_role,role_reason,source_pool,source_nhit_bin,source_predE_bin
26,"[300,500)","[2.5,3)",80182,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,filtered_existing_cache,"[300,500)","[2,3)"
27,"[300,500)","[3,3.25)",151506,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[300,500)","[3,3.25)"
28,"[300,500)","[3.25,3.5)",112141,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[300,500)","[3.25,3.5)"
29,"[300,500)","[3.5,3.75)",46983,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[300,500)","[3.5,3.75)"
30,"[300,500)","[3.75,4.0)",20906,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[300,500)","[3.75,4.0)"
31,"[300,500)","[4.0,4.25)",13417,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.0,4.25)"
32,"[300,500)","[4.25,4.5)",11186,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.25,4.5)"
33,"[300,500)","[4.5,4.75)",10057,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.5,4.75)"
34,"[300,500)","[4.75,5.0)",8426,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.75,5.0)"
35,"[300,500)","[5,6)",34776,v3_candidate,1,v3_candidate,high-energy low-stat/upper-limit probe; not default baseline,v3_candidate,diagnostic_high_energy_probe,high-energy low-stat/upper-limit probe; not default baseline,filtered_existing_cache,"[300,500)",>=5
36,"[300,500)",>=6,433,v3_candidate,0,v3_candidate,high-energy low-stat/upper-limit probe; not default baseline,v3_candidate,diagnostic_high_energy_probe,high-energy low-stat/upper-limit probe; not default baseline,filtered_existing_cache,"[300,500)",>=5
37,"[500,800)","[2,2.5)",0,v3_candidate,0,v3_candidate,outside MC central-99 reconstructed-energy population,v3_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[500,800)","[2,3)"
38,"[500,800)","[2.5,3)",913,v3_candidate,0,v3_candidate,outside MC central-99 reconstructed-energy population,v3_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[500,800)","[2,3)"
39,"[500,800)","[3,3.25)",27769,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell; PSF requires follow-up,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell; PSF requires follow-up,existing_cache_symlink,"[500,800)","[3,3.25)"
40,"[500,800)","[3.25,3.5)",89513,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[500,800)","[3.25,3.5)"
41,"[500,800)","[3.5,3.75)",68604,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[500,800)","[3.5,3.75)"
42,"[500,800)","[3.75,4.0)",26703,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[500,800)","[3.75,4.0)"
43,"[500,800)","[4.0,4.25)",10601,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[500,800)","[4.0,4.25)"
44,"[500,800)","[4.25,4.5)",5257,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[500,800)","[4.25,4.5)"
45,"[500,800)","[4.5,4.75)",5154,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[500,800)","[4.5,4.75)"
46,"[500,800)","[4.75,5.0)",5397,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[500,800)","[4.75,5.0)"
47,"[500,800)","[5,6)",27712,v3_candidate,1,v3_candidate,high-energy low-stat/upper-limit probe; not default baseline,v3_candidate,diagnostic_high_energy_probe,high-energy low-stat/upper-limit probe; not default baseline,filtered_existing_cache,"[500,800)",>=5
48,"[500,800)",>=6,426,v3_candidate,0,v3_candidate,high-energy low-stat/upper-limit probe; not default baseline,v3_candidate,diagnostic_high_energy_probe,high-energy low-stat/upper-limit probe; not default baseline,filtered_existing_cache,"[500,800)",>=5
49,"[800,1100)","[2,2.5)",0,v3_candidate,0,v3_candidate,outside MC central-99 reconstructed-energy population,v3_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[800,1100)","[2,3)"
50,"[800,1100)","[2.5,3)",5,v3_candidate,0,v3_candidate,outside MC central-99 reconstructed-energy population,v3_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[800,1100)","[2,3)"
51,"[800,1100)","[3,3.25)",1093,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[800,1100)","[3,3.25)"
52,"[800,1100)","[3.25,3.5)",15783,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell; PSF requires follow-up,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell; PSF requires follow-up,existing_cache_symlink,"[800,1100)","[3.25,3.5)"
