cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source
29,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[3,3.25)",141726,1,1,1.0,1,0,1,baseline_fit,
30,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[3.25,3.5)",131613,1,1,0.928644003217476,1,0,1,baseline_fit,
31,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[3.5,3.75)",55871,1,1,0.39421842146112923,1,0,1,baseline_fit,
32,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[3.75,4.0)",22548,1,1,0.15909571991024934,1,0,1,baseline_fit,
33,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[4.0,4.25)",15896,1,1,0.11216008354148145,1,0,1,baseline_fit,
34,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[300,500)","[4.25,4.5)",12400,1,0,0.08749276773492513,1,0,1,excluded,MC_prefit_selector
35,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[300,500)","[4.5,4.75)",10742,1,0,0.07579413798456176,1,0,1,excluded,MC_prefit_selector
36,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[300,500)","[4.75,5.0)",8785,1,0,0.06198580359284817,1,0,1,excluded,MC_prefit_selector
37,1,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[5,5.5)",17728,1,1,0.12508643438748007,1,0,1,baseline_fit,
38,1,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,split56 high-energy probe excluded except preserved highest-Nhit baseline split,"[300,500)","[5.5,6)",13883,1,0,0.09795662052128755,1,0,1,high_energy_probe,
