cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source,split_child_gate_exception,split_child_effective_min_mc_count,split_child_default_min_mc_count,split_child_original_prefit_physical_ridge_flag,psf_systematic_variant,psf_borrowed_from,psf_borrow_method
27,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[300,500)","[2,2.5)",227,0,0,0.0017973458742128166,1,0,1,excluded,MC_prefit_selector,0,,,,,,
28,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[300,500)","[2.5,3)",80182,1,1,0.45870158652936566,1,0,1,drop4_fit,,0,,,,,,
29,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[300,500)","[3,3.25)",151506,1,1,1.0,1,0,1,drop4_fit,,0,,,,,,
30,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[300,500)","[3.25,3.5)",112141,1,1,0.8345090407848861,1,0,1,drop4_fit,,0,,,,,,
31,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[300,500)","[3.5,3.75)",46983,1,1,0.34244844455255546,1,0,1,drop4_fit,,0,,,,,,
32,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[300,500)","[3.75,4.0)",20906,1,1,0.14559852968999162,1,0,1,drop4_fit,,0,,,,,,
33,0,v6_64748_split56_drop4_psfborrow,excluded to preserve v4 drop4 cell-selection contract for v6 comparability,"[300,500)","[4.0,4.25)",13417,1,1,0.1046244493094408,1,0,1,excluded,MC_prefit_selector,0,,,,,,
34,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[300,500)","[4.25,4.5)",11186,1,0,0.08364415254466337,1,0,1,excluded,MC_prefit_selector,0,,,,,,
35,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[300,500)","[4.5,4.75)",10057,1,0,0.07133300900024325,1,0,1,excluded,MC_prefit_selector,0,,,,,,
36,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[300,500)","[4.75,5.0)",8426,1,0,0.060177302089245654,1,0,1,excluded,MC_prefit_selector,0,,,,,,
37,0,v6_64748_split56_drop4_psfborrow,split56 high-energy probe excluded outside preserved highest-Nhit baseline split,"[300,500)","[5,5.5)",17631,1,1,0.11887483445498527,1,0,1,high_energy_probe,high_energy_probe,0,,,,,,
38,0,v6_64748_split56_drop4_psfborrow,split56 high-energy probe excluded outside preserved highest-Nhit baseline split,"[300,500)","[5.5,6)",17145,1,0,0.08951593286305035,1,0,1,high_energy_probe,high_energy_probe,0,,,,,,
39,0,v6_64748_split56_drop4_psfborrow,>=6 tail retained in candidate cache but excluded from fit,"[300,500)",>=6,433,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range,0,,,,,,
40,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[500,800)","[2,2.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector,0,,,,,,
41,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[500,800)","[2.5,3)",913,0,0,0.01517881099313887,1,0,1,excluded,MC_prefit_selector,0,,,,,,
42,0,v6_64748_split56_drop4_psfborrow,central99 MC-occupancy-ridge prefit cell; excluded for v4 cell-selection-bias drop4 control,"[500,800)","[3,3.25)",27769,1,1,0.28053969105753385,1,0,1,drop4_control_excluded,v4_drop4_bias_control,0,,,,,,
43,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[500,800)","[3.25,3.5)",89513,1,1,0.9777811849182925,1,0,1,drop4_fit,,0,,,,,,
44,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[500,800)","[3.5,3.75)",68604,1,1,1.0,1,0,1,drop4_fit,,0,,,,,,
45,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[500,800)","[3.75,4.0)",26703,1,1,0.42975966882594197,1,0,1,drop4_fit,,0,,,,,,
