cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source
35,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[300,500)","[4.5,4.75)",10057,1,0,0.06638020936464563,1,0,1,excluded,MC_prefit_selector
36,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[300,500)","[4.75,5.0)",8426,1,0,0.05561495914353227,1,0,1,excluded,MC_prefit_selector
37,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[300,500)","[5,5.5)",17631,1,0,0.11637162884638232,1,0,1,high_energy_probe,high_energy_probe
38,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[300,500)","[5.5,6)",17145,1,0,0.11316383509563978,1,0,1,high_energy_probe,high_energy_probe
39,0,v5_predbin_split56_selector,diagnostic tail bin excluded from main fit,"[300,500)",>=6,433,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
40,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[500,800)","[2,2.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
41,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[500,800)","[2.5,3)",913,0,0,0.010199635807089474,1,0,1,excluded,MC_prefit_selector
42,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[3,3.25)",27769,1,1,0.3102230960866019,1,0,1,baseline_fit,
43,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[3.25,3.5)",89513,1,1,1.0,1,0,1,baseline_fit,
44,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[3.5,3.75)",68604,1,1,0.7664138169874767,1,0,1,baseline_fit,
45,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[3.75,4.0)",26703,1,1,0.2983142113436037,1,0,1,baseline_fit,
46,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[4.0,4.25)",10601,1,1,0.11842972529129847,1,0,1,baseline_fit,
47,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[500,800)","[4.25,4.5)",5257,1,0,0.058728899712890865,1,0,1,excluded,MC_prefit_selector
48,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[500,800)","[4.5,4.75)",5154,1,0,0.057578228860612424,1,0,1,excluded,MC_prefit_selector
49,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[500,800)","[4.75,5.0)",5397,1,0,0.06029291834705573,1,0,1,excluded,MC_prefit_selector
50,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[500,800)","[5,5.5)",13235,1,0,0.14785561873694325,1,0,1,high_energy_probe,high_energy_probe
51,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[500,800)","[5.5,6)",14477,1,0,0.16173069833432016,1,0,1,high_energy_probe,high_energy_probe
52,0,v5_predbin_split56_selector,diagnostic tail bin excluded from main fit,"[500,800)",>=6,426,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
53,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[800,1100)","[2,2.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
54,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[800,1100)","[2.5,3)",5,0,0,0.00015249946625186812,1,0,1,excluded,MC_prefit_selector
55,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[800,1100)","[3,3.25)",1093,1,0,0.03333638332265837,1,0,1,excluded,MC_prefit_selector
56,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[800,1100)","[3.25,3.5)",15783,1,1,0.48137981517064693,1,0,1,baseline_fit,
57,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[800,1100)","[3.5,3.75)",32787,1,1,1.0,1,0,1,baseline_fit,
58,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[800,1100)","[3.75,4.0)",22615,1,1,0.6897550858571995,1,0,1,baseline_fit,
59,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[800,1100)","[4.0,4.25)",9020,1,1,0.2751090371183701,1,0,1,baseline_fit,
60,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[800,1100)","[4.25,4.5)",2841,1,0,0.08665019672431147,1,0,1,excluded,MC_prefit_selector
61,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[800,1100)","[4.5,4.75)",1287,1,0,0.039253362613230855,1,0,1,excluded,MC_prefit_selector
62,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[800,1100)","[4.75,5.0)",1482,1,0,0.04520084179705371,1,0,1,excluded,MC_prefit_selector
63,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[800,1100)","[5,5.5)",4644,1,0,0.1416415042547351,1,0,1,high_energy_probe,high_energy_probe
64,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[800,1100)","[5.5,6)",3591,1,0,0.10952511666209168,1,0,1,high_energy_probe,high_energy_probe
65,0,v5_predbin_split56_selector,diagnostic tail bin excluded from main fit,"[800,1100)",>=6,71,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
66,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[1100,2000)","[2,2.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
67,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[1100,2000)","[2.5,3)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
68,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[1100,2000)","[3,3.25)",16,0,0,0.0006667222268522376,1,0,1,excluded,MC_prefit_selector
69,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[1100,2000)","[3.25,3.5)",1565,1,0,0.0652137678139845,1,0,1,excluded,MC_prefit_selector
70,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[1100,2000)","[3.5,3.75)",10960,1,1,0.4567047253937828,1,0,1,baseline_fit,
71,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[1100,2000)","[3.75,4.0)",23726,1,1,0.988665722143512,1,0,1,baseline_fit,
72,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[1100,2000)","[4.0,4.25)",23998,1,1,1.0,1,0,1,baseline_fit,
73,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[1100,2000)","[4.25,4.5)",13380,1,1,0.5575464622051838,1,0,1,baseline_fit,
74,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[1100,2000)","[4.5,4.75)",5650,1,1,0.23543628635719643,1,0,1,baseline_fit,
75,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[1100,2000)","[4.75,5.0)",1641,1,0,0.06838069839153263,1,0,1,excluded,MC_prefit_selector
76,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[1100,2000)","[5,5.5)",687,1,0,0.028627385615467956,1,0,1,high_energy_probe,high_energy_probe
77,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[1100,2000)","[5.5,6)",223,0,0,0.009292441036753063,1,0,1,high_energy_probe,high_energy_probe
78,0,v5_predbin_split56_selector,diagnostic tail bin excluded from main fit,"[1100,2000)",>=6,4,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
79,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[2,2.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
80,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[2.5,3)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
81,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[3,3.25)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
82,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[3.25,3.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
83,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[3.5,3.75)",4,0,0,0.0006216972334473111,1,0,1,excluded,MC_prefit_selector
84,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[3.75,4.0)",156,1,0,0.024246192104445136,1,0,1,excluded,MC_prefit_selector
85,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[2000,3000)","[4.0,4.25)",1175,1,1,0.18262356232514765,1,0,1,baseline_fit,
86,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[2000,3000)","[4.25,4.5)",3127,1,1,0.4860118122474355,1,0,1,baseline_fit,
87,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[2000,3000)","[4.5,4.75)",5515,1,1,0.8571650606154803,1,0,1,baseline_fit,
88,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[2000,3000)","[4.75,5.0)",5332,1,1,0.8287224121852658,1,0,1,baseline_fit,
89,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[2000,3000)","[5,5.5)",6434,1,1,1.0,1,0,1,baseline_fit,
90,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[2000,3000)","[5.5,6)",799,1,1,0.1241840223811004,1,0,1,baseline_fit,
91,0,v5_predbin_split56_selector,diagnostic tail bin excluded from main fit,"[2000,3000)",>=6,0,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
