cell_id,nhit_bin,predE_bin,mc_count,candidate_version,strategy,central99_flag,fit_predE_range_flag,tail_bin_flag,selection_version,selection_reason,raw_ledger_version,cell_role,role_reason,source_pool,source_nhit_bin,source_predE_bins
1,"[125,200)","[2,2.5)",181708,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[100,200)","[2,3)"
2,"[125,200)","[2.5,3)",422911,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[100,200)","[2,3)"
3,"[125,200)","[3,3.25)",93047,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[100,200)","[3,3.25)"
4,"[125,200)","[3.25,3.5)",41310,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[3.25,3.5)"
5,"[125,200)","[3.5,3.75)",23204,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[3.5,3.75)"
6,"[125,200)","[3.75,4.0)",15040,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[3.75,4.0)"
7,"[125,200)","[4.0,4.25)",9876,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.0,4.25)"
8,"[125,200)","[4.25,4.5)",6719,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.25,4.5)"
9,"[125,200)","[4.5,4.75)",5392,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.5,4.75)"
10,"[125,200)","[4.75,5.0)",4808,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.75,5.0)"
11,"[125,200)","[5,5.5)",10152,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64670_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[100,200)",>=5
12,"[125,200)","[5.5,6)",8843,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64670_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[100,200)",>=5
13,"[125,200)",>=6,187,v6_64670_split56_candidate,split56,0,0,1,v6_64670_split56_candidate,"diagnostic >=6 tail bin outside [2,6); not used in main fit",v6_64670_split56_candidate,diagnostic_tail,"diagnostic >=6 tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[100,200)",>=5
14,"[200,300)","[2,2.5)",16110,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[200,300)","[2,3)"
15,"[200,300)","[2.5,3)",240687,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[200,300)","[2,3)"
16,"[200,300)","[3,3.25)",133861,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[200,300)","[3,3.25)"
17,"[200,300)","[3.25,3.5)",59826,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[200,300)","[3.25,3.5)"
18,"[200,300)","[3.5,3.75)",27202,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64670_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[200,300)","[3.5,3.75)"
19,"[200,300)","[3.75,4.0)",17297,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[3.75,4.0)"
20,"[200,300)","[4.0,4.25)",13679,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.0,4.25)"
21,"[200,300)","[4.25,4.5)",10230,v6_64670_split56_candidate,split56,1,1,0,v6_64670_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64670_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.25,4.5)"
